combo_id,domain,rtb_account_id,country,network_spend_7d,network_daily_spend
Combo1,casino.draftkings.com,5f6413c9612b1a0015099993,US,104400.22925094949,14914.3185
Combo2,draftkings.com,5f6413c9612b1a0015099993,US,55374.7289447116,7910.6756
Combo3,casino.draftkings.com,5f6413c9612b1a0015099993,CA,55315.96630799446,7902.2809
Combo4,draftkings.com,602442ef9f0893001526406b,US,26813.50157612196,3830.5002
Combo5,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,24256.199761000025,3465.1714
Combo6,draftkings.com,5f6413c9612b1a0015099993,CA,9074.656956338233,1296.3796
Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,8577.195083377985,1225.3136
Combo8,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,8252.195856000004,1178.8851
Combo9,draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,3762.0469020000064,537.4353
Combo10,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,2559.701940000004,365.6717
