Publisher Account ID,Publisher Account Name,Publisher App ID,Publisher App Name,Report Ad Spend (Unified)
6107c3b4abaef100175b9029,Lessmore UG (haftungsbeschränkt),686eb03d675b99fe079dac34,Arrows Android,"$207,876"
67078359be02e20011a686ec,365scores,67078f17c81241f35a6237cb,iOS 365Scores: Live Scores & News,"$202,591"
684c3af4806ba9001147f9cd,Livesport sro,684fe5259f7ebc7d027585c8,IOS | Flashscore: Live Scores & News,"$183,670"
6297c4bc012073001b3df035,Yandex Inc.,69b7c74fe797e72329f6938f,zhouwu19894325-gmail-com_com-toplinkc-foxexcellent,"$172,358"
5c05196699e4374b87bda3b9,Tripledot Studios,5f3fcad2f503650001352dfc,Woodoku,"$155,069"
6021599b8b3e5600159fcc76,HITAPPS GAMES LTD,68887aeb5f7b35e31f06647a,Word Solitaire: Associations IOS,"$134,003"
5c05196699e4374b87bda3b9,Tripledot Studios,5efb5d6c93032a0001e65bce,Woodoku,"$118,864"
670cfa366f113e00119a799f,Vinted,6716548809f72ec0f50798ed,Vinted IOS,"$104,682"
6862932aaff9d800114174ac,Flightradar24 AB,686295a9394e0109dd4a2580,Flightradar24 | Flight Tracker,"$101,798"
6570788bee73b50011dbb6f6,Eyecon Global Ltd,6571c9ecba6511036ea4df55,Eyecon,"$100,825"
6247027c20721a0018bb6528,First Touch Games,62f26eace36b0fcf8cd64d02,Dream League Soccer,"$99,559"
57d1b461ae2b57d903000027,Easybrain Ltd,592fc29cc10833a4760012c6,Sudoku - Classic Sudoku Puzzle Game,"$98,534"
5af5b8f9e408f136156e7cae,"Zedge, Inc.",5ee8976e2df77a0001480c94,ZEDGE Wallpapers & Ringtones,"$97,025"
6107c3b4abaef100175b9029,Lessmore UG (haftungsbeschränkt),689c4f436dce1f7513be19b9,Arrows – Puzzle Escape,"$96,978"
5c05196699e4374b87bda3b9,Tripledot Studios,5c093910a4a7ea3d70999820,Solitaire - A Classic Card Game,"$85,793"
5b1526a7de961d3317b1d475,X-FLOW LTD,603cf6d080c4a228357168ea,Happy Color iOS (NEW),"$82,525"
5fe2fafd6013fb0015208652,GamoVation,667c14204d6765df32fe9234,Tile Club,"$79,085"
684c3af4806ba9001147f9cd,Livesport sro,684fe594c195c4600e876f24,AND | Flashscore: Live Scores & News,"$74,990"
