campaign_id,dest_app_id,dest_app_name,customer_id,customer_name,campaign_group_id,campaign_group_name,campaign_name,revenue_30d,daily_revenue
48310,9100,Kalshi: Trade the Future (iOS),3043,Kalshi,nan,,Kalshi - Liftoff - iOS - Tier 1,3124568.7780219996,34717.4309
70140,9858,Polymarket (iOS),3092,Polymarket,nan,,Polymarket_US_iOS_Q2_26,1838719.3825199998,20430.2154
38386,5757,Royal Kingdom (iOS),1704,Dream Games,638.0,Liftoff,RK-LO-US-iOS-ROAS,1798677.3012170002,19985.3033
41252,7291,Magic Sort! (iOS),2806,Grand Games A.Ş.,nan,,MS_iOS_US_D7_IAPROAS_ACCELERATE,1658402.2006009999,18426.6911
38469,6870,CrownCoins Casino (iOS),2726,SunFlower,nan,,CCC_Liftoff_iOS_US_CPA_D7,1624587.7801459997,18050.9753
21191,4319,Royal Match (iOS),1704,Dream Games,638.0,Liftoff,RM-LO-UnitedStates-iOS-Install-001,1505586.4729590002,16728.7386
52431,9007,Modo Casino iOS (iOS),3034,ARB Gaming LLC,nan,,ARB Interactive_UA_iOS_CPA_First Purchase,1240010.951962,13777.8995
53499,7291,Magic Sort! (iOS),2806,Grand Games A.Ş.,nan,,MS_LO_iOS_US_DIRECT_IAPROAS_D7,1119273.5836470001,12436.3732
76972,9100,Kalshi: Trade the Future (iOS),3043,Kalshi,nan,,Kalshi - Liftoff - iOS - FIFA ROS,1063819.874275,11820.2208
63158,10444,Disney Solitaire (iOS),1596,SuperPlay,nan,,DS_iOS_US_ROAS_D7_230226,1041828.073343,11575.8675
61625,6926,Temu: Shop Like a Billionaire (Android),2725,Temu,855.0,US,c4b1f6a0-a200-4890-a9bc-02298e00f0f5,1027211.3245219998,11413.4592
60410,10224,Pixel Flow! (iOS),3121,Loom Games,nan,,Liftoff_PixelFlow_iOS_US_ROAS_05022026_Direct,1018267.439618,11314.0827
16298,1578,Candy Crush Saga (iOS),417,King,446.0,Accelerate King (ALL),CCS_iOS_US_Combined_Traffic_CPR_BAU,922654.2407170001,10251.7138
76973,9100,Kalshi: Trade the Future (iOS),3043,Kalshi,nan,,Kalshi - Liftoff - iOS - FIFA CA,908340.5175190001,10092.6724
50106,9476,Cider Casino (iOS),2364,Good Luck Studio,nan,,CiderCasino_iOS_US_1112,897966.664077,9977.4074
33909,6231,Vita Mahjong for Seniors (iOS),2560,Daily Innovation,nan,,VM_LFTO_iOS_ROAS_US_20240411_D1,872830.1665340001,9698.113
41425,7150,Gleaming Slots - Win Real Cash (iOS),2364,Good Luck Studio,nan,,GleamingSlots_iOS_US_ROAS_pic_250306,814347.331311,9048.3037
60411,10224,Pixel Flow! (iOS),3121,Loom Games,nan,,Liftoff_PixelFlow_iOS_US_ROAS_05022026,812612.172639,9029.0241
46054,7286,Lavish Luck Casino (iOS),2364,Good Luck Studio,nan,,LavishLuckCasino_iOS_US_HighValue_250908,801832.8420879999,8909.2538
48212,8602,Kingshot (iOS),1465,Century Games,881.0,Kingshot,GOT_Liftoff_iOS_US/T1_D30ROAS_Purchase_LQ_20251029,735610.7729089999,8173.453
63365,6710,PrizePicks - Fantasy Sports (iOS),2683,SidePrize,nan,,260220_Tier-1_Acquisition_FTD_CBO_EVG_X_X_X_iOS_Probabilistic_Liftoff_LOC_Combo,725151.3244589999,8057.2369
