blocklist_id,exchange,source_app_id,applies_to,blocklist_created_at_date,blocklist_expires_at_date,blocklist_origin,blocklist_reason_code,blocklist_comment,is_auto_blocklist,blocklist_creator_email,campaign_id,campaign_group_id,app_id,customer_id,block_level,is_indefinite
442079,All exchanges,com.mast.status.video.edit,all,2023-08-14,,internal,traffic-quality,Exceptionally high click volume,No,matt.johnson@liftoff.io,None,None,None,None,global,True
6178758,All exchanges,mingle.android.mingle2,all,2024-03-22,,internal,traffic-quality,DoubleVerify blocklist,No,matt.johnson@liftoff.io,None,None,None,None,global,True
8299290,All exchanges,6670163770,all,2025-02-04,,internal,traffic-quality,"Fraudulent apps: Poor ROAS (<5%), high spend DV IVT, high reject rates, low RPI / high % easy target events",No,plaw@liftoff.io,None,None,None,None,global,True
8308574,All exchanges,com.hotplay.eatingballs,all,2025-02-07,,internal,traffic-quality,Fraudulent apps,No,plaw@liftoff.io,None,None,None,None,global,True
8308574,All exchanges,com.hotplay.babyexcavator,all,2025-02-07,,internal,traffic-quality,Fraudulent apps,No,plaw@liftoff.io,None,None,None,None,global,True
8412369,All exchanges,6740261141,all,2025-03-17,,internal,traffic-quality,Install farming apps,No,plaw@liftoff.io,None,None,None,None,global,True
8442927,VUNGLE,com.gm11.bingocraze,all,2025-03-31,,internal,traffic-quality,Extremely high blocklist recidivism (>=10 blocks in 2024),No,matt.johnson@liftoff.io,None,None,None,None,global,True
8710936,All exchanges,com.sh.triple.match.master.tile.games,all,2025-06-21,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
8710918,All exchanges,com.sh.fidget.toys.mini.relaxing.antistress.games,all,2025-06-21,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
8756129,All exchanges,com.yg.templeballs,all,2025-07-09,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
8756115,All exchanges,com.yg.sf.minigames,all,2025-07-09,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
8790542,All exchanges,6478136569,all,2025-07-30,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
8790853,All exchanges,6745766164,all,2025-07-30,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
8791041,All exchanges,6741000770,all,2025-07-30,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
8790215,All exchanges,com.sogame.goo.qddm,all,2025-07-30,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
8791123,All exchanges,6473073392,all,2025-07-30,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
8790633,All exchanges,6746161378,all,2025-07-30,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
8791329,All exchanges,6745195682,all,2025-07-30,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
8790581,All exchanges,1523445785,all,2025-07-30,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
8793576,All exchanges,6744578718,all,2025-08-01,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
8819173,All exchanges,com.sh.mini.kitchen.set.fever.restaurants.chef.cooking.games,all,2025-08-13,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
8833146,All exchanges,6746799256,all,2025-08-22,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
8835998,All exchanges,6749830206,all,2025-08-23,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
9163248,All exchanges,com.meteor.downloader.videodownloader,all,2025-09-10,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
9714857,All exchanges,6458049689,all,2025-10-15,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
10336730,All exchanges,com.yg.ticfungames,all,2025-11-18,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
10349625,All exchanges,com.comfun.callbreak.card.game,all,2025-11-19,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
10349567,All exchanges,com.mindyourlogic.brain.test.logic.puzzle.emoji.iq,all,2025-11-19,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
10349703,All exchanges,endless.nightmare.weird.hospital.horror.scary.free.android,all,2025-11-19,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
10349659,All exchanges,free.video.downloader.freevideodownloader2021.video.saver.videosaverlite,all,2025-11-19,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
10349639,All exchanges,com.cash_earning_app.earnking,all,2025-11-19,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
10349540,All exchanges,com.gameone.candycruiseswap.free,all,2025-11-19,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
10349590,All exchanges,com.match.cheftreat.android,all,2025-11-19,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
10349652,All exchanges,com.horus.zombie.war,all,2025-11-19,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
10391301,All exchanges,com.rayole.games.dungeon.escape,all,2025-11-25,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
10391077,All exchanges,com.rayole.games.stack.blocks,all,2025-11-25,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
10479955,All exchanges,com.goodtimegames.blackjack.blackjack21.cash.win.money.poker.casino,all,2025-12-05,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
10877481,VUNGLE,1574142720,all,2026-01-22,,internal,traffic-quality,Anomaly rejections,No,plaw@liftoff.io,None,None,None,None,global,True
11196868,All exchanges,com.rayole.games.bird.climb,all,2026-03-04,,internal,traffic-quality,Fraudulent Developers ABL,Yes,-,None,None,None,None,global,True
11508493,All exchanges,com.akxgames.akx.com,all,2026-03-26,,internal,traffic-quality,"Fraudulent bundles
https://liftoffio.slack.com/archives/C02QR6T98SU/p1774378444334859?thread_ts=1774282238.086299&cid=C02QR6T98SU",No,plaw@liftoff.io,None,None,None,None,global,True
11508493,All exchanges,com.fusionmind.obby1jumpperclick,all,2026-03-26,,internal,traffic-quality,"Fraudulent bundles
https://liftoffio.slack.com/archives/C02QR6T98SU/p1774378444334859?thread_ts=1774282238.086299&cid=C02QR6T98SU",No,plaw@liftoff.io,None,None,None,None,global,True
11508493,All exchanges,com.fusionmind.memecatstamagochi,all,2026-03-26,,internal,traffic-quality,"Fraudulent bundles
https://liftoffio.slack.com/archives/C02QR6T98SU/p1774378444334859?thread_ts=1774282238.086299&cid=C02QR6T98SU",No,plaw@liftoff.io,None,None,None,None,global,True
11508493,All exchanges,com.hospital.smart.organize.game,all,2026-03-26,,internal,traffic-quality,"Fraudulent bundles
https://liftoffio.slack.com/archives/C02QR6T98SU/p1774378444334859?thread_ts=1774282238.086299&cid=C02QR6T98SU",No,plaw@liftoff.io,None,None,None,None,global,True
11508493,All exchanges,com.flashlight.bright.led.torch.android,all,2026-03-26,,internal,traffic-quality,"Fraudulent bundles
https://liftoffio.slack.com/archives/C02QR6T98SU/p1774378444334859?thread_ts=1774282238.086299&cid=C02QR6T98SU",No,plaw@liftoff.io,None,None,None,None,global,True
11508493,All exchanges,com.nuts.girl.and,all,2026-03-26,,internal,traffic-quality,"Fraudulent bundles
https://liftoffio.slack.com/archives/C02QR6T98SU/p1774378444334859?thread_ts=1774282238.086299&cid=C02QR6T98SU",No,plaw@liftoff.io,None,None,None,None,global,True
11508493,All exchanges,com.sparktube,all,2026-03-26,,internal,traffic-quality,"Fraudulent bundles
https://liftoffio.slack.com/archives/C02QR6T98SU/p1774378444334859?thread_ts=1774282238.086299&cid=C02QR6T98SU",No,plaw@liftoff.io,None,None,None,None,global,True
11508493,All exchanges,com.record.health.bp,all,2026-03-26,,internal,traffic-quality,"Fraudulent bundles
https://liftoffio.slack.com/archives/C02QR6T98SU/p1774378444334859?thread_ts=1774282238.086299&cid=C02QR6T98SU",No,plaw@liftoff.io,None,None,None,None,global,True
11508493,All exchanges,com.mahjong.tile.and,all,2026-03-26,,internal,traffic-quality,"Fraudulent bundles
https://liftoffio.slack.com/archives/C02QR6T98SU/p1774378444334859?thread_ts=1774282238.086299&cid=C02QR6T98SU",No,plaw@liftoff.io,None,None,None,None,global,True
11508493,All exchanges,com.natural.stands.dutch.setting,all,2026-03-26,,internal,traffic-quality,"Fraudulent bundles
https://liftoffio.slack.com/archives/C02QR6T98SU/p1774378444334859?thread_ts=1774282238.086299&cid=C02QR6T98SU",No,plaw@liftoff.io,None,None,None,None,global,True
11508493,All exchanges,com.xphygame.birdshuffle,all,2026-03-26,,internal,traffic-quality,"Fraudulent bundles
https://liftoffio.slack.com/archives/C02QR6T98SU/p1774378444334859?thread_ts=1774282238.086299&cid=C02QR6T98SU",No,plaw@liftoff.io,None,None,None,None,global,True
11594877,All exchanges,bc.ball.cleanerx,all,2026-03-30,,internal,traffic-quality,Poor quality apps / malware discovered when unblocking sources for TEMU,No,matt.johnson@liftoff.io,None,None,None,None,global,True
11594877,All exchanges,heartratemonitor.heartrate.pulse.pulseapp,all,2026-03-30,,internal,traffic-quality,Poor quality apps / malware discovered when unblocking sources for TEMU,No,matt.johnson@liftoff.io,None,None,None,None,global,True
11571006,VUNGLE,me.funkin.fnf,all,2026-03-30,2026-06-28,internal,traffic-quality,Exchange level install farming ABL,Yes,-,None,None,None,None,global,False
11704193,VUNGLE,6758976553,all,2026-04-05,2026-07-04,internal,traffic-quality,Exchange level install farming ABL,Yes,-,None,None,None,None,global,False
11704198,VUNGLE,6758753238,all,2026-04-05,2026-07-04,internal,traffic-quality,Exchange level install farming ABL,Yes,-,None,None,None,None,global,False
11708629,VUNGLE,6758688072,all,2026-04-06,2026-07-05,internal,traffic-quality,Exchange level install farming ABL,Yes,-,None,None,None,None,global,False
11764463,All exchanges,dk.tactile.cookiecats,all,2026-04-13,,internal,traffic-quality,High UUIDv4 noncompliance (Malformed GAID investigation),No,matt.johnson@liftoff.io,None,None,None,None,global,True
