market_id,am_user_region,is_managed
1004216430,-,No
1006186775,EMEA,Yes
1009442510,Americas,Yes
1011626777,APAC,Yes
1015322991,EMEA,Yes
1017311881,-,No
1022267439,APAC,Yes
1023494154,-,No
1024506959,EMEA,Yes
1025707485,APAC,Yes
1028294311,APAC,Yes
1034630958,-,No
1035199024,APAC,Yes
1037758394,APAC,Yes
1037773731,EMEA,Yes
1044534198,Americas,Yes
1045516045,-,No
1045901853,EMEA,Yes
1046846443,EMEA,Yes
1047246341,Americas,Yes
1057889290,EMEA,Yes
1058370552,Americas,Yes
1061534032,-,No
1066752474,APAC,Yes
1067644352,EMEA,Yes
1068095192,Americas,Yes
1068204657,EMEA,Yes
1073082439,EMEA,Yes
1073286211,Americas,Yes
1073936461,EMEA,Yes
1075567730,APAC,Yes
1075939556,-,No
1076859004,APAC,Yes
1078160821,-,Yes
1080465358,EMEA,Yes
1084662006,APAC,Yes
1085652055,EMEA,Yes
1086101495,EMEA,Yes
1089336971,EMEA,Yes
1090274263,APAC,Yes
1090501422,EMEA,Yes
1091150912,EMEA,Yes
1093094653,-,No
1095254858,Americas,Yes
1095569891,Americas,Yes
1101848914,-,No
1103438575,Americas,Yes
1104692136,Americas,Yes
1105577194,EMEA,Yes
1109408248,EMEA,Yes
1112307917,EMEA,Yes
1115974495,-,No
1116645064,EMEA,Yes
1118431695,EMEA,Yes
1123582513,EMEA,Yes
1125011102,-,No
1126201781,APAC,Yes
1126477246,-,Yes
1130153523,APAC,Yes
1131995698,-,Yes
1132762804,Americas,Yes
1133138987,-,Yes
1134529728,-,No
1134789937,-,No
1138106620,Americas,Yes
1138284260,EMEA,Yes
1139609950,EMEA,Yes
1141379201,-,No
1146465836,EMEA,Yes
1152486011,-,No
1154402178,EMEA,Yes
1155324155,-,No
1162693632,APAC,Yes
1163163344,EMEA,Yes
1163678414,Americas,Yes
1163786766,APAC,Yes
1173486161,-,No
1174039276,EMEA,Yes
1175031987,EMEA,Yes
1176027022,Americas,Yes
1176147574,EMEA,Yes
1182341536,EMEA,Yes
1183839711,EMEA,Yes
1184806605,-,No
1186801988,EMEA,Yes
1187205113,-,Yes
1190849728,EMEA,Yes
1191435163,EMEA,Yes
1193154948,-,No
1193508329,EMEA,Yes
1193550697,-,Yes
1193933380,EMEA,Yes
1195638343,-,No
1196764367,Americas,Yes
1197354394,Americas,Yes
1197961218,-,No
1198143062,Americas,Yes
1200391796,EMEA,Yes
1201054588,APAC,Yes
1205265602,EMEA,Yes
1205558961,-,Yes
1206192281,-,No
1206967173,Americas,Yes
1207472156,Americas,Yes
1211118856,Americas,Yes
1212039074,EMEA,Yes
1212951043,-,Yes
1214190989,-,No
1214223596,Americas,Yes
1215254633,EMEA,Yes
1215477266,-,Yes
1215644103,-,No
1215668882,EMEA,Yes
1215933788,Americas,Yes
1216575026,APAC,Yes
1220307907,APAC,Yes
1221235593,-,Yes
1222511829,EMEA,Yes
1223338261,EMEA,Yes
1224933860,-,Yes
1225336402,-,No
1225867923,Americas,Yes
1226926872,Americas,Yes
1229618961,EMEA,Yes
1230057073,EMEA,Yes
1230892664,-,No
1234436634,-,No
1235581326,EMEA,Yes
1236817216,-,No
1239458501,EMEA,Yes
1241887528,-,No
1241932094,EMEA,Yes
1246165006,APAC,Yes
1247069377,-,No
1247362774,-,No
1250312807,APAC,Yes
1250783151,Americas,Yes
1252381815,EMEA,Yes
1252850847,Americas,Yes
1252857347,-,No
1256255831,-,No
1266569652,-,No
1269540854,Americas,Yes
1270598321,Americas,Yes
1274410503,APAC,Yes
1274972321,EMEA,Yes
1275023828,EMEA,Yes
1275760266,Americas,Yes
1275931502,-,No
1277486668,Americas,Yes
1278869953,EMEA,Yes
1282216562,Americas,Yes
1286370741,APAC,Yes
1286538410,-,Yes
1288430163,APAC,Yes
1289152098,EMEA,Yes
1294190634,-,No
1294957719,APAC,Yes
1297180034,-,No
1299421779,APAC,Yes
1300027167,APAC,Yes
1300500620,EMEA,Yes
1305241374,-,No
1306947001,-,No
1308012908,-,No
1308181322,EMEA,Yes
1313499187,EMEA,Yes
1314725881,-,No
1316004998,APAC,Yes
1317690198,APAC,Yes
1317978215,Americas,Yes
1318181304,EMEA,Yes
1318207091,-,Yes
1318233975,-,No
1318292856,EMEA,Yes
1319771553,APAC,Yes
1320730220,APAC,Yes
1324044770,EMEA,Yes
1324210753,-,No
1324604053,EMEA,Yes
1329183062,-,Yes
1331794412,Americas,Yes
1333256716,Americas,Yes
1334311990,EMEA,Yes
1337578317,EMEA,Yes
1340819732,EMEA,Yes
1340929016,EMEA,Yes
1342112505,APAC,Yes
1342468799,EMEA,Yes
1344700142,APAC,Yes
1345968745,EMEA,Yes
1347072403,-,Yes
1347123739,EMEA,Yes
1348676585,-,No
1349245161,-,No
1351283922,-,Yes
1351585483,-,No
1354796403,Americas,Yes
1355464544,EMEA,Yes
1356980152,APAC,Yes
1357131935,EMEA,Yes
1357464684,APAC,Yes
1357967682,EMEA,Yes
1359212059,-,No
1359706682,-,No
1360309966,EMEA,Yes
1365309175,APAC,Yes
1365548683,APAC,Yes
1366502697,EMEA,Yes
1369521645,EMEA,Yes
1370293473,Americas,Yes
1374403536,Americas,Yes
1375812275,APAC,Yes
1379080711,Americas,Yes
1380831764,Americas,Yes
1382466301,Americas,Yes
1385287093,APAC,Yes
1385421494,EMEA,Yes
1386718098,APAC,Yes
1386727308,-,Yes
1388988209,APAC,Yes
1389111413,EMEA,Yes
1389760587,EMEA,Yes
1390423469,APAC,Yes
1392685721,Americas,Yes
1397824035,APAC,Yes
1402384531,APAC,Yes
1404165333,APAC,Yes
1407852246,EMEA,Yes
1408624516,-,No
1409781798,-,Yes
1410235921,EMEA,Yes
1411304149,EMEA,Yes
1413770650,EMEA,Yes
1419918066,EMEA,Yes
1420058690,APAC,Yes
1420294918,Americas,Yes
1422791215,EMEA,Yes
1423046460,EMEA,Yes
1425793208,Americas,Yes
1432579280,EMEA,Yes
1434505322,Americas,Yes
1434648535,APAC,Yes
1435266087,-,No
1435567547,APAC,Yes
1435807944,EMEA,Yes
1436251125,EMEA,Yes
1436584861,APAC,Yes
1437615191,APAC,Yes
1437783446,EMEA,Yes
1437880869,APAC,Yes
1438413584,EMEA,Yes
1438522702,-,No
1439734180,-,No
1439776386,EMEA,Yes
1441501929,-,Yes
1441648201,EMEA,Yes
1441941417,APAC,Yes
1441949789,APAC,Yes
1441957412,APAC,Yes
1442571346,-,No
1442749804,APAC,Yes
1442895889,APAC,Yes
1443525538,EMEA,Yes
1444277220,-,No
1444318808,EMEA,Yes
1444813385,Americas,Yes
1444990764,APAC,Yes
1445135380,EMEA,Yes
1445472541,Americas,Yes
1445691600,EMEA,Yes
1445894754,-,No
1446254576,EMEA,Yes
1446458226,-,Yes
1447924266,APAC,Yes
1450264153,EMEA,Yes
1450525958,-,Yes
1450542818,Americas,Yes
1451505313,EMEA,Yes
1451810395,EMEA,Yes
1452526406,EMEA,Yes
1452992954,EMEA,Yes
1454010667,EMEA,Yes
1454213029,EMEA,Yes
1454365869,APAC,Yes
1454637812,APAC,Yes
1454709572,APAC,Yes
1455654495,EMEA,Yes
1456596043,EMEA,Yes
1456732568,EMEA,Yes
1456989345,APAC,Yes
1458095674,EMEA,Yes
1458740001,APAC,Yes
1458847618,-,No
1459059300,APAC,Yes
1459090715,APAC,Yes
1459096306,-,No
1459550704,-,No
1459576037,Americas,Yes
1459645446,EMEA,Yes
1459833443,EMEA,Yes
1460130689,-,No
1460772578,-,Yes
1461037869,APAC,Yes
1461749632,EMEA,Yes
1462123372,Americas,Yes
1462275913,-,No
1462582860,EMEA,Yes
1462762106,EMEA,Yes
1462911602,EMEA,Yes
1463360096,-,No
1463509237,APAC,Yes
1464110272,-,No
1464689103,EMEA,Yes
1465731199,EMEA,Yes
1466180579,APAC,Yes
1466197423,APAC,Yes
1466292431,EMEA,Yes
1466297045,Americas,Yes
1466346433,-,Yes
1467648713,-,No
1468882189,-,No
1469506430,APAC,Yes
1470015029,-,No
1470373330,EMEA,Yes
1470916090,-,No
1471490637,-,No
1471508186,-,No
1471592644,APAC,Yes
1471955633,APAC,Yes
1472148728,APAC,Yes
1472419762,EMEA,Yes
1473024868,EMEA,Yes
1473424857,EMEA,Yes
1473774730,-,No
1474134013,-,No
1474895183,-,No
1475514684,EMEA,Yes
1476189685,-,No
1476429715,EMEA,Yes
1477336151,-,No
1477606785,-,No
1477775889,-,No
1477841973,APAC,Yes
1477939455,-,No
1478225590,-,No
1478629374,-,Yes
1478739003,-,No
1478861703,-,No
1479008577,-,No
1479140024,-,No
1479825634,-,No
1480191929,EMEA,Yes
1480338372,Americas,Yes
1480383173,-,Yes
1480804805,-,No
1481457207,EMEA,Yes
1481463413,-,Yes
1482382774,EMEA,Yes
1482887935,APAC,Yes
1483791820,-,No
1483885448,APAC,Yes
1483901554,EMEA,Yes
1483965969,-,No
1484442152,EMEA,Yes
1484461621,EMEA,Yes
1484468651,EMEA,Yes
1484750572,APAC,Yes
1486214495,EMEA,Yes
1487212912,EMEA,Yes
1487607878,Americas,Yes
1487708678,Americas,Yes
1487882541,Americas,Yes
1487907763,APAC,Yes
1488212261,EMEA,Yes
1488430631,APAC,Yes
1488473484,APAC,Yes
1489653183,EMEA,Yes
1490398089,-,Yes
1490819262,-,No
1492055041,-,No
1492160489,EMEA,Yes
1492285103,EMEA,Yes
1492451796,EMEA,Yes
1492458803,-,No
1492887856,APAC,Yes
1492890563,-,No
1494293929,EMEA,Yes
1494648714,APAC,Yes
1494685132,-,No
1494686273,EMEA,Yes
1494889863,EMEA,Yes
1495369374,EMEA,Yes
1496007149,-,No
1496354836,EMEA,Yes
1496599497,EMEA,Yes
1496661753,Americas,Yes
1497532365,EMEA,Yes
1498222593,EMEA,Yes
1498438583,EMEA,Yes
1498533791,Americas,Yes
1498647947,APAC,Yes
1498731586,EMEA,Yes
1498889847,APAC,Yes
1498901771,EMEA,Yes
1499037600,APAC,Yes
1499081620,EMEA,Yes
1499114408,-,Yes
1499756879,APAC,Yes
1499936245,APAC,Yes
1500251668,Americas,Yes
1500726361,EMEA,Yes
1500848920,-,No
1500855883,APAC,Yes
1501316113,-,No
1501771464,-,Yes
1502088179,-,No
1502193377,APAC,Yes
1502370160,APAC,Yes
1502383491,EMEA,Yes
1502447854,Americas,Yes
1503082253,Americas,Yes
1503221765,Americas,Yes
1503251395,EMEA,Yes
1504361627,EMEA,Yes
1504434984,EMEA,Yes
1505684382,-,No
1505735640,EMEA,Yes
1508418993,Americas,Yes
1508490923,-,Yes
1508864310,APAC,Yes
1509042572,EMEA,Yes
1509154892,APAC,Yes
1509325230,-,No
1509432873,-,Yes
1509450845,APAC,Yes
1509453185,APAC,Yes
1509517244,EMEA,Yes
1509907307,APAC,Yes
1510322856,EMEA,Yes
1512265589,Americas,Yes
1512407890,Americas,Yes
1514542157,APAC,Yes
1516617231,EMEA,Yes
1516779222,EMEA,Yes
1517375267,-,Yes
1517805311,EMEA,Yes
1518047412,-,Yes
1518389230,EMEA,Yes
1518975917,EMEA,Yes
1519174001,EMEA,Yes
1519726590,APAC,Yes
1519736382,EMEA,Yes
1520136416,APAC,Yes
1521236603,EMEA,Yes
1522266397,EMEA,Yes
1522443519,APAC,Yes
1522699215,-,Yes
1523254222,-,No
1523297725,EMEA,Yes
1523445785,APAC,Yes
1523673634,EMEA,Yes
1524272623,-,No
1524477967,-,No
1524804183,EMEA,Yes
1525692339,EMEA,Yes
1525880838,EMEA,Yes
1526098139,EMEA,Yes
1526121033,EMEA,Yes
1526599527,APAC,Yes
1526814040,EMEA,Yes
1527000173,-,No
1528066727,EMEA,Yes
1528286345,-,No
1528333833,EMEA,Yes
1528940523,EMEA,Yes
1528941310,APAC,Yes
1529595468,EMEA,Yes
1529860201,APAC,Yes
1530149106,-,No
1530351754,EMEA,Yes
1531533468,Americas,Yes
1531594277,-,No
1531670603,APAC,Yes
1532195192,-,No
1532689217,APAC,Yes
1532851708,EMEA,Yes
1532887006,EMEA,Yes
1532957173,EMEA,Yes
1533234933,EMEA,Yes
1534126062,-,Yes
1534740597,EMEA,Yes
1536578421,-,Yes
1536584509,EMEA,Yes
1536804215,Americas,Yes
1538433480,Americas,Yes
1538912205,APAC,Yes
1539641263,APAC,Yes
1540199322,APAC,Yes
1540312859,Americas,Yes
1540919737,EMEA,Yes
1541995347,APAC,Yes
1542336300,EMEA,Yes
1542340137,-,No
1542776143,EMEA,Yes
1543158709,APAC,Yes
1543160727,EMEA,Yes
1543351744,APAC,Yes
1543659588,APAC,Yes
1543845882,EMEA,Yes
1544022385,EMEA,Yes
1544706956,APAC,Yes
1544750895,Americas,Yes
1545567989,EMEA,Yes
1546650805,EMEA,Yes
1547126459,-,No
1547974558,EMEA,Yes
1550569446,APAC,Yes
1550617374,EMEA,Yes
1550617472,-,No
1550945606,APAC,Yes
1551079603,APAC,Yes
1552170684,-,No
1552406178,EMEA,Yes
1552855579,EMEA,Yes
1553126598,-,No
1553882885,EMEA,Yes
1553900372,EMEA,Yes
1554995201,-,No
1556321339,-,No
1556385751,APAC,Yes
1556387896,-,No
1557357811,Americas,Yes
1557392270,APAC,Yes
1557618225,-,No
1558723050,EMEA,Yes
1558953048,-,No
1559784375,APAC,Yes
1560124228,EMEA,Yes
1561787250,Americas,Yes
1561931423,-,No
1562663583,APAC,Yes
1562817072,EMEA,Yes
1563215345,Americas,Yes
1563680484,APAC,Yes
1564045421,APAC,Yes
1564143097,-,Yes
1564386657,-,No
1564391515,APAC,Yes
1564657118,EMEA,Yes
1564694267,-,Yes
1565310917,APAC,Yes
1565374299,EMEA,Yes
1567396557,-,Yes
1567518591,-,No
1567905012,-,No
1568048467,EMEA,Yes
1568107572,-,Yes
1569717591,Americas,Yes
1569776448,EMEA,Yes
1570364249,Americas,Yes
1570525877,EMEA,Yes
