blocklist id,source app id,Advertise entity (block applied level),Advertiser entity ID
6129583,1500855883,advertiser_app,1269
145560,569077959,advertiser_app,1269
145560,587366035,advertiser_app,1269
145560,1579356887,advertiser_app,1269
145560,725215120,advertiser_app,1269
476213,1617391485,advertiser_app,4565
145560,1518389230,advertiser_app,1269
145560,949701151,advertiser_app,1269
145437,com.craftsman.go,advertiser_app,4832
11115499,ball.sort.color.puz.game.puzzle,advertiser_app,2732
6129583,805603214,advertiser_app,1269
332388,1496354836,advertiser_app,4565
11115499,com.goldendragon.luckyblessing,advertiser_app,2732
6129583,1658495567,advertiser_app,1269
6129583,571393580,advertiser_app,1269
332388,569077959,advertiser_app,4565
476213,1557392270,advertiser_app,4565
332388,1132762804,advertiser_app,4565
476213,1269540854,advertiser_app,4565
476213,366247306,advertiser_app,4565
476213,1514542157,advertiser_app,4565
476213,1197354394,advertiser_app,4565
332388,1589762792,advertiser_app,4565
332388,1214223596,advertiser_app,4565
332388,1226926872,advertiser_app,4565
146397,1206967173,advertiser_app,4565
6058391,com.wodol.dol,advertiser_app,4821
476213,1578906034,advertiser_app,4565
476213,1494648714,advertiser_app,4565
476213,6446669987,advertiser_app,4565
476213,1487607878,advertiser_app,4565
476213,1498229533,advertiser_app,4565
145560,1557970162,advertiser_app,1269
11109760,1617391485,campaign,48212
11109766,1617391485,campaign,49635
10217209,1636235979,campaign,33909
11438973,359917414,campaign,49635
11109792,570060128,campaign,48212
11109757,1617391485,campaign,34378
11109310,6748950306,campaign,48212
11109794,570060128,campaign,50529
10079833,570060128,campaign,37685
11109758,1617391485,campaign,38274
11109772,1617391485,campaign,10082
11109113,359917414,campaign,40609
11487070,com.vitastudio.mahjong,campaign,56285
11108016,6449190344,campaign,48212
11108614,1407852246,campaign,41252
10120099,359917414,campaign,44949
11507138,com.block.juggle,campaign,56283
8833044,880047117,campaign,41252
11202878,6743385713,campaign,48212
11113234,6449190344,campaign,50529
11269299,6748950306,campaign,41330
9333558,com.block.juggle,campaign,38732
11333420,1423046460,campaign,48212
11217220,6504849169,campaign,50529
8813649,1617391485,campaign,40624
11109490,6482849843,campaign,48212
11109311,6748950306,campaign,40609
11112025,com.block.juggle,campaign,47541
11108231,1500855883,campaign,48212
8803506,com.vitastudio.mahjong,campaign,39538
10379683,com.oakever.tiletrip,campaign,39539
11107987,1636235979,campaign,40609
11109049,301987699,campaign,48212
11113041,6754243057,campaign,33909
11108615,1407852246,campaign,48212
11109793,570060128,campaign,41535
11109767,1617391485,campaign,45035
11109110,359917414,campaign,34378
10321787,com.vitastudio.mahjong,campaign,39540
8831843,1423046460,campaign,37685
11587455,com.vitastudio.mahjong,campaign,55352
9620885,com.vitastudio.mahjong,campaign,44361
11131899,1671705818,campaign,50529
11108233,1500855883,campaign,50529
11235779,512939461,campaign,48212
11109051,301987699,campaign,49635
11269329,1617391485,campaign,52908
11108017,6449190344,campaign,40609
11109108,359917414,campaign,40653
10314252,6504332779,campaign,33909
8826862,1191435163,campaign,41425
11438946,com.oakever.tiletrip,campaign,55771
11109769,1617391485,campaign,38762
11507127,395979574,campaign,40609
11202880,1463509237,campaign,38262
11112259,com.easybrain.art.puzzle,campaign,39175
11327778,com.newleaf.app.android.victor,campaign,38732
11154115,com.newleaf.app.android.victor,campaign,39538
11563079,com.block.juggle,campaign,47677
10120093,1617391485,campaign,43834
10382644,com.easybrain.crossword.puzzles,campaign,39539
10349154,com.snaptube.premium,campaign,46103
9191381,1636235979,campaign,34378
11109791,570060128,campaign,38274
10321783,com.oakever.tiletrip,campaign,39538
11196345,6754243057,campaign,37685
11109795,570060128,campaign,10082
11109833,6474685600,campaign,33909
11109319,6748950306,campaign,36629
11112266,com.easybrain.sudoku.android,campaign,39175
11154071,1579356887,campaign,48212
8808772,com.flightradar24free,campaign,39175
11248023,6505095234,campaign,48212
10334182,com.oakever.tiletrip,campaign,39540
8826870,1459645446,campaign,41425
11507124,1638139403,campaign,44949
11154120,com.tripledot.solitaire,campaign,39539
11109312,6748950306,campaign,49702
11113092,6755425214,campaign,48212
9958491,359917414,campaign,44438
11108510,395979574,campaign,45795
11144281,6741408932,campaign,37685
11108971,6446354191,campaign,33909
11109320,6748950306,campaign,49924
11507128,395979574,campaign,49589
11112029,com.block.juggle,campaign,51561
11226990,com.wood.block.sudoku.puzzle.bm,campaign,56285
11108483,1538433480,campaign,37685
11112270,com.freereels.app,campaign,46103
9728797,com.oakever.tiletrip,campaign,44361
10372998,com.vitastudio.mahjong,campaign,46330
11438986,395979574,campaign,41689
11507125,1638139403,campaign,45795
9174320,359917414,campaign,40624
11507135,6744975195,campaign,45795
10349074,com.vitastudio.mahjong,campaign,28712
11108666,1550945606,campaign,48212
9191500,359917414,campaign,43853
11487057,1641107226,campaign,53499
11112028,com.block.juggle,campaign,39746
11112669,com.ecffri.arrows,campaign,29402
11108015,6449190344,campaign,34378
11108677,1638139403,campaign,43199
11144482,6499306806,campaign,37685
11487055,1470373330,campaign,50529
11507126,1638139403,campaign,48516
10201382,526641427,campaign,41425
11548763,6482849843,campaign,45795
8849275,com.block.juggle,campaign,35927
11248022,1579356887,campaign,49635
11487053,1388988209,campaign,44949
11196201,1407852246,campaign,44949
11131914,com.newleaf.app.android.victor,campaign,33889
8823759,359917414,campaign,43163
10120076,com.dywx.larkplayer,campaign,43696
11188737,1389111413,campaign,48212
8813635,1103438575,campaign,43199
11487066,6504332779,campaign,49635
11109317,6748950306,campaign,50803
11108232,1500855883,campaign,41535
8820549,com.snaptube.premium,campaign,41288
11109109,359917414,campaign,50800
8825314,com.fugo.wow,campaign,39539
11166207,1617391485,campaign,25831
8808754,com.blockchainvault,campaign,39175
11269267,6744317674,campaign,50529
8849370,com.vitastudio.mahjong,campaign,35927
11112987,com.miniclip.eightballpool,campaign,47914
11113356,com.vitastudio.mahjong,campaign,45751
11166219,847492141,campaign,48212
11438995,com.storymatrix.drama,campaign,39539
10303883,500962489,campaign,33909
8826888,395979574,campaign,41238
11196570,6744317674,campaign,37685
11112311,com.tripledot.solitaire,campaign,29402
11107984,1635760774,campaign,50529
8826874,1514542157,campaign,41425
11226989,com.badoo.mobile,campaign,56285
11333456,395979574,campaign,48514
11548753,1146465836,campaign,48212
11435186,com.tripledot.solitaire,campaign,55771
11108033,6449486871,campaign,45500
11154105,com.block.juggle,campaign,44285
11112261,com.easybrain.crossword.puzzles,campaign,39538
11568414,1073936461,campaign,48212
11108681,1641107226,campaign,50529
11109061,306310789,campaign,41535
11144458,net.zedge.android,campaign,39538
11112142,com.wood.block.sudoku.puzzle.bm,campaign,39538
11108929,1671991909,campaign,33909
9958509,1617391485,campaign,41297
10294413,359917414,campaign,44974
11217112,6743385713,campaign,36629
11336103,6737214802,campaign,49635
11108725,512939461,campaign,41535
11108678,1638139403,campaign,36629
10479735,com.oakever.tiletrip,campaign,33342
11112263,com.easybrain.crossword.puzzles,campaign,47541
11112116,com.samsung.android.app.spage,campaign,36220
11114161,com.gamovation.tileclub,campaign,39538
8826898,6478063606,campaign,41425
11196583,com.macrovideo.v380pro,campaign,55352
11217185,1423046460,campaign,36629
11248024,847492141,campaign,49635
10266328,1636235979,campaign,40624
11196285,6446354191,campaign,37685
11108139,6473152241,campaign,33909
11108277,1103438575,campaign,36629
11563075,1370293473,campaign,42136
11253750,1638139403,campaign,49924
11175214,570060128,campaign,46563
11196597,359917414,campaign,54544
11196209,com.nebula.mahjongtile,campaign,51338
11188784,1073936461,campaign,49635
11109116,359917414,campaign,41555
10120088,com.oakever.tiletrip,campaign,28712
9744977,1602508478,campaign,34848
8825312,com.duolingo,campaign,42112
11333366,1407852246,campaign,48514
11109048,301987699,campaign,47462
11438962,1103438575,campaign,49924
8826861,1176147574,campaign,41238
11112553,893677096,campaign,48212
11269221,1104692136,campaign,48212
11108927,1671705818,campaign,49702
10372990,com.miniclip.eightballpool,campaign,45631
11113040,6754243057,campaign,46474
10237135,1407852246,campaign,36629
4489246,561941526,campaign,21191
11417016,6504849169,campaign,46361
11175398,6748950306,campaign,46563
8820548,com.oakever.tiletrip,campaign,36359
10237369,solitaire.patience.card.games.klondike.free,campaign,3582
11111880,com.oakever.tiletrip,campaign,51314
10273874,com.newleaf.app.android.victor,campaign,44747
11111878,com.oakever.tiletrip,campaign,33338
11336101,1229618961,campaign,48212
8803516,com.badoo.mobile,campaign,39538
11114259,com.imo.android.imoim,campaign,44876
11435210,com.lenovo.anyshare.gps,campaign,50042
9191498,570060128,campaign,39543
11108236,1500855883,campaign,10082
8826902,com.block.juggle,campaign,42531
11415883,1176147574,campaign,36629
8813648,1602508478,campaign,43199
11217158,306310789,campaign,36629
10266335,359917414,campaign,26829
10321781,com.badoo.mobile,campaign,39540
11109359,1494648714,campaign,33909
8831758,com.easybrain.number.puzzle.game,campaign,28624
11107921,1370293473,campaign,40624
8801150,com.oakever.tiletrip,campaign,40057
11112264,com.easybrain.number.puzzle.game,campaign,39540
11108909,1557392270,campaign,46474
11112947,com.camerasideas.trimmer,campaign,46811
11108201,6744547461,campaign,50529
11109765,1617391485,campaign,51793
10150019,395979574,campaign,42700
11109060,306310789,campaign,38274
11109497,6498701816,campaign,33909
11112422,com.flightradar24free,campaign,39538
11154104,com.block.juggle,campaign,44251
11108273,1073286211,campaign,33909
11108548,6504332779,campaign,45795
11113252,com.badoo.mobile,campaign,46103
8813662,com.dywx.larkplayer,campaign,40057
11108341,6599838025,campaign,41425
8825316,com.intsig.camscanner,campaign,42112
10402214,com.dywx.larkplayer,campaign,40105
10379672,1617391485,campaign,45110
11175386,1191435163,campaign,43199
9167492,395979574,campaign,40624
11112304,com.tranzmate,campaign,44561
11417027,6754243057,campaign,36629
10446507,solitaire.patience.card.games.klondike.free,campaign,49658
11112708,com.resultadosfutbol.mobile,campaign,39538
10349128,com.intsig.camscanner,campaign,28712
10120091,1182341536,campaign,33909
11435318,eu.livesport.FlashScore_com,campaign,47541
9664360,6449190344,campaign,44198
11119775,solitaire.patience.card.games.klondike.free,campaign,27728
8788936,6449190344,campaign,16333
9958497,1103438575,campaign,44438
10321790,in.playsimple.wordtrip,campaign,39539
11119778,solitaire.patience.card.games.klondike.free,campaign,43473
11109613,1563215345,campaign,33909
11417031,6444946155,campaign,43839
11563084,com.tmobile.m1,campaign,36220
9182653,1423046460,campaign,40624
11253746,com.wood.block.sudoku.puzzle.bm,campaign,51338
11451022,6450917563,campaign,49635
10360069,6504849169,campaign,44198
11175226,6449190344,campaign,46563
9580427,579581125,campaign,40624
11487056,1564391515,campaign,49635
11144548,1564391515,campaign,37685
11112186,com.duolingo,campaign,49575
11196431,6473152241,campaign,37685
9177273,free.vpn.unblock.proxy.turbovpn,campaign,43696
11417017,6741408932,campaign,36629
11154110,com.easybrain.block.puzzle.games,campaign,39538
8826887,393048976,campaign,41238
11109111,359917414,campaign,25831
11568416,1407852246,campaign,51337
9363150,1557392270,campaign,36629
11438975,com.camerasideas.instashot,campaign,39538
11112262,com.easybrain.crossword.puzzles,campaign,28712
11336092,1410235921,campaign,44949
11109434,6737214802,campaign,41535
11217207,6502341730,campaign,36629
10237330,1572726361,campaign,43199
8903500,6449190344,campaign,44974
9744921,500962489,campaign,41095
9182677,301987699,campaign,40624
11109436,6737799378,campaign,33909
11109697,6741506922,campaign,33909
10079720,com.tripledot.woodoku,campaign,8363
11108973,6446354191,campaign,45795
11107922,1370293473,campaign,44770
11217206,6499306806,campaign,36629
9958496,com.snaptube.premium,campaign,44381
11196297,com.camerasideas.instashot,campaign,44876
8834879,359917414,campaign,41297
10360084,com.oakever.tiletrip,campaign,42895
11111851,com.bigwinepot.nwdn.international,campaign,51830
8831780,jigsaw.puzzle.game.banana,campaign,28624
11438983,1191435163,campaign,47462
10237344,1191435163,campaign,36629
11116342,videoplayer.videodownloader.downloader,campaign,46479
11435237,6471572249,campaign,49589
10419912,587366035,campaign,45304
11109210,1163786766,campaign,52649
11108611,1308181322,campaign,37685
11108851,6746736282,campaign,33909
9205606,com.opera.app.news,campaign,39175
10484341,1389111413,campaign,34660
11112425,com.handmark.expressweather,campaign,44561
11109479,1470373330,campaign,38274
11108354,6633436144,campaign,33909
11507117,1073936461,campaign,53752
11217162,357218860,campaign,36629
9673691,1370293473,campaign,44252
11109062,306310789,campaign,40624
11109677,6740766025,campaign,49635
11119777,solitaire.patience.card.games.klondike.free,campaign,27973
11112383,840919914,campaign,33909
10516562,com.vitastudio.mahjong,campaign,40317
