account_id,account_name,account_daily_spend,blocked_match_key,creative_daily_spend,creative_pct_of_network,potential_uplift
634d301fa3774b001b7c0dbc,ToGather Fun Limited,29597.45,5f6413c9612b1a0015099993_1406460,44360.43,4.24,1254.68
57d1b461ae2b57d903000027,Easybrain Ltd,91776.99,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_ASzpF,6951.66,0.66,609.68
57d1b461ae2b57d903000027,Easybrain Ltd,91776.99,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_0vpIp,5484.4,0.52,481.0
622b9915ac4bf1001715b790,Activision Blizzard Media (King),121803.95,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_45VaL,2625.67,0.25,305.62
622b9915ac4bf1001715b790,Activision Blizzard Media (King),121803.95,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_LJOnN,2587.97,0.25,301.23
622b9915ac4bf1001715b790,Activision Blizzard Media (King),121803.95,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_THgDb,2534.4,0.24,295.0
622b9915ac4bf1001715b790,Activision Blizzard Media (King),121803.95,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_xrBfE,2531.99,0.24,294.72
622b9915ac4bf1001715b790,Activision Blizzard Media (King),121803.95,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_MtQWX,2517.61,0.24,293.04
622b9915ac4bf1001715b790,Activision Blizzard Media (King),121803.95,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_uTlPO,2508.93,0.24,292.03
622b9915ac4bf1001715b790,Activision Blizzard Media (King),121803.95,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_UDind,2508.25,0.24,291.95
622b9915ac4bf1001715b790,Activision Blizzard Media (King),121803.95,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_J6PKz,2498.46,0.24,290.81
622b9915ac4bf1001715b790,Activision Blizzard Media (King),121803.95,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_cDBKw,2458.02,0.23,286.11
622b9915ac4bf1001715b790,Activision Blizzard Media (King),121803.95,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_puQqY,2426.4,0.23,282.43
56c3a378adccd1cb7e00000a,Zynga,60331.72,5f6413c9612b1a0015099993_434137,4484.02,0.43,258.52
561e8d936b8d90f61a000455,Mobility Ware,121011.13,5f6413c9612b1a0015099993_742454,2030.81,0.19,234.84
56c3a378adccd1cb7e00000a,Zynga,60331.72,5f6413c9612b1a0015099993_408880,3362.48,0.32,193.86
561e8d936b8d90f61a000455,Mobility Ware,121011.13,5f6413c9612b1a0015099993_983410,1581.98,0.15,182.94
561e8d926b8d90f61a00013e,Miniclip SA,17473.37,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_8egc0,8407.87,0.8,140.39
561e8d926b8d90f61a00013e,Miniclip SA,17473.37,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20260320_t6fNB,8283.77,0.79,138.32
561e8d926b8d90f61a00013e,Miniclip SA,17473.37,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_VvE8g,8142.18,0.78,135.96
561e8d926b8d90f61a00013e,Miniclip SA,17473.37,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20260320_OS9al,7853.14,0.75,131.13
561e8d926b8d90f61a00013e,Miniclip SA,17473.37,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_v5IrW,7766.19,0.74,129.68
56d55c72562b9c353800000d,Voodoo,40194.59,5f6413c9612b1a0015099993_682668,3239.52,0.31,124.43
622b9915ac4bf1001715b790,Activision Blizzard Media (King),121803.95,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250620_fJC53,1014.23,0.1,118.05
561e8d926b8d90f61a00013e,Miniclip SA,17473.37,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_cJM73,6975.39,0.67,116.47
5c05196699e4374b87bda3b9,Tripledot Studios,80807.46,5f6413c9612b1a0015099993_1051024,1469.08,0.14,113.44
561e8d956b8d90f61a0030ab,Dobest,1973.75,5f6413c9612b1a0015099993_1406460,44360.43,4.24,83.67
5bb6123fa4ae3604537ad781,Fugo Games,11753.16,5f6413c9612b1a0015099993_821039,7389.27,0.71,82.99
5b1526a7de961d3317b1d475,X-FLOW LTD,9993.82,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_PaaiY,8199.41,0.78,78.31
5b1526a7de961d3317b1d475,X-FLOW LTD,9993.82,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_WRYyu,8142.91,0.78,77.77
5b1526a7de961d3317b1d475,X-FLOW LTD,9993.82,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_MJpBg,8125.69,0.78,77.6
5b1526a7de961d3317b1d475,X-FLOW LTD,9993.82,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_v5IrW,7766.19,0.74,74.17
638ac9a1a59060001b45b712,"FUN CRADLE CO, LIMITED",1647.47,5f6413c9612b1a0015099993_1406460,44360.43,4.24,69.84
