pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,level,block_type,block_value,category_name,network_share,category_daily_spend,est_uplift_daily
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,category,V1-6,Gambling,0.04606324,205701.4536,9927.1426
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,category,V1-6,Gambling,0.04606324,205701.4536,4461.9646
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,category,V1-6,Gambling,0.04606324,205701.4536,4020.9695
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,category,V1-6,Gambling,0.04606324,205701.4536,3858.4938
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,,,,79135.9541,account,category,V1-6,Gambling,0.04606324,205701.4536,3645.2582
Lessmore UG (haftungsbeschränkt),6107c3b4abaef100175b9029,EMEA,Tori Edwards,,,,72656.859,account,category,V1-6,Gambling,0.04606324,205701.4536,3346.8101
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,category,V2-11,Society,0.01449973,64750.4676,3124.8546
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,category,V1-6,Gambling,0.04606324,205701.4536,2082.2469
The Weather Company,685efaf2892f9d0011d7b87f,Americas,Lisa Tolentino,,,,31265.5923,account,category,V1-6,Gambling,0.04606324,205701.4536,1440.1944
Particle Media Inc,69379d46192ce0aadaecc874,Americas,Natalie Kenyon,NewsBreak: Local News & Alerts,69437e6fed3b627e3079edb8,com.particlenews.newsbreak,26677.5134,app,category,V1-6,Gambling,0.04606324,205701.4536,1228.8526
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,,,,17169.5169,account,category,V2-10,Personal Finance,0.06907844,308478.8828,1186.0435
Meitu China,66f36da16f113e0011999ff8,APAC,Aria Gao,,,,24447.8325,account,category,V1-6,Gambling,0.04606324,205701.4536,1126.1463
"Shanghai Linguan Data Co., Ltd.",5d3a5de9ddc71000189c7a84,APAC,Seven Tu,,,,22605.3511,account,category,V1-6,Gambling,0.04606324,205701.4536,1041.2756
X-FLOW LTD,5b1526a7de961d3317b1d475,EMEA,Kseniia Fesenko,,,,21298.0749,account,category,V1-6,Gambling,0.04606324,205701.4536,981.0583
Vinted,670cfa366f113e00119a799f,EMEA,Dumitru Cazacu,,,,20742.455,account,category,V1-6,Gambling,0.04606324,205701.4536,955.4646
Moon Active,561e8d966b8d90f61a0033c4,EMEA,Tori Edwards,,,,20497.8373,account,category,V1-6,Gambling,0.04606324,205701.4536,944.1967
POLIGON PTE LTD,67a5bd8b7e5a1b00114a860e,APAC,Sunton Sun,Melolo,67a5cb9db7c0c84dcaf1eead,com.worldance.drama,18886.5754,app,category,V1-6,Gambling,0.04606324,205701.4536,869.9768
Chesscom LLC,6863fe9df000940011f80bcb,Americas,Lisa Tolentino,,,,4584.3269,account,category,V2-20,Video & Computer Games,0.18240529,814554.8596,836.2055
Particle Media Inc,69379d46192ce0aadaecc874,Americas,Natalie Kenyon,NewsBreak: Local News & Alerts,69437e3201d2a42bf6087b94,1132762804,17572.2189,app,category,V1-6,Gambling,0.04606324,205701.4536,809.4333
Livesport sro,684c3af4806ba9001147f9cd,EMEA,Louis Wallworth,,,,17567.0336,account,category,V1-6,Gambling,0.04606324,205701.4536,809.1944
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,,,,17169.5169,account,category,V1-6,Gambling,0.04606324,205701.4536,790.8835
BYTEDANCE PTE LTD,64c3551f1e5137001122d418,APAC,Sunton Sun,,,,16165.4767,account,category,V1-6,Gambling,0.04606324,205701.4536,744.6342
Super Unlimited Inc.,629f58df585252001b83d5f1,Americas,Ary Bai,,,,14620.1457,account,category,V1-6,Gambling,0.04606324,205701.4536,673.4512
Bigo,63f725cfaa034900149db38c,APAC,Harper Zhang,,,,14349.4671,account,category,V1-6,Gambling,0.04606324,205701.4536,660.9829
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,,,,9455.6047,account,category,V2-10,Personal Finance,0.06907844,308478.8828,653.1784
Badoo,5aafdd4a0520357fabf54aa6,EMEA,Beth Taylor-Lowen,,,,13667.4902,account,category,V1-6,Gambling,0.04606324,205701.4536,629.5688
Rakuten Viber,6920858f3fcd392133e22a59,EMEA,Tori Edwards,,,,13432.4778,account,category,V1-6,Gambling,0.04606324,205701.4536,618.7434
STORYMATRIX PTE LTD,65532f6b6cdf5900118d1f51,APAC,Aria Gao,,,,13271.1524,account,category,V1-6,Gambling,0.04606324,205701.4536,611.3122
Supercell,561e8d936b8d90f61a000ade,EMEA,Hadil Salameh,,,,12295.0462,account,category,V1-6,Gambling,0.04606324,205701.4536,566.3496
Microsoft Casual Games,579643ec6c081adf5c00004c,Americas,Matthew Hong,,,,34068.2322,account,category,V2-11,Society,0.01449973,64750.4676,493.9803
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,,,,10046.5933,account,category,V1-6,Gambling,0.04606324,205701.4536,462.7786
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,,,,9455.6047,account,category,V1-6,Gambling,0.04606324,205701.4536,435.5558
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,,,,29726.8704,account,category,V2-11,Society,0.01449973,64750.4676,431.0317
Sofa IT doo,67b5b2c077bd1c00117b9adc,EMEA,Dumitru Cazacu,,,,9215.4959,account,category,V1-6,Gambling,0.04606324,205701.4536,424.4956
HANGZHOU JF SOFTWARE CO LTD,658a2fc2ab2b4800112923f1,APAC,Aria Gao,,,,28602.2985,account,category,V2-11,Society,0.01449973,64750.4676,414.7257
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,category,V2-16,Dating,0.00189451,8460.2061,408.2892
Code Dish GmbH,64075f57d6da1900141e5aba,EMEA,Hadil Salameh,,,,8839.2381,account,category,V1-6,Gambling,0.04606324,205701.4536,407.1639
INJOY TECHNOLOGY PTE.LTD.,5f687c6436ca1e0016d5fd6d,APAC,Seven Tu,,,,8432.6714,account,category,V1-6,Gambling,0.04606324,205701.4536,388.4361
Meitu China,66f36da16f113e0011999ff8,APAC,Aria Gao,,,,24447.8325,account,category,V2-11,Society,0.01449973,64750.4676,354.487
Electronic Arts,561e8d936b8d90f61a0006b6,Americas,Kasey Geist,,,,7340.4433,account,category,V1-6,Gambling,0.04606324,205701.4536,338.1246
Wattpad,56b2844d24342c3622000032,Americas,Matthew Hong,,,,7071.1224,account,category,V1-6,Gambling,0.04606324,205701.4536,325.7188
LY Corporation,5efeed113191d60018f0f4e0,APAC,Ives Cui,,,,6925.4959,account,category,V1-6,Gambling,0.04606324,205701.4536,319.0108
Vinted,670cfa366f113e00119a799f,EMEA,Dumitru Cazacu,,,,20742.455,account,category,V2-11,Society,0.01449973,64750.4676,300.7601
RobTop Games AB,6276c973f70e7c001895be79,EMEA,Louis Wallworth,,,,6442.4452,account,category,V1-6,Gambling,0.04606324,205701.4536,296.7599
SYBO Games,5c52bd6ffbeb402419bef87d,EMEA,Louis Wallworth,,,,6325.6752,account,category,V1-6,Gambling,0.04606324,205701.4536,291.3811
BeSoccer,680748860437920011951532,EMEA,Louis Wallworth,,,,6139.9099,account,category,V1-6,Gambling,0.04606324,205701.4536,282.8241
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Scrabble Go,59e7db9b598ece421700ded4,1215933788,6051.7925,app,category,V1-6,Gambling,0.04606324,205701.4536,278.7652
Pocket Entertainment Services LLC,6315b8713c59f7001bacf8fb,Americas,Rutvij Jadav,,,,5824.9237,account,category,V1-6,Gambling,0.04606324,205701.4536,268.3148
Sliide,643d1561e09b08001442e672,EMEA,Beth Taylor-Lowen,,,,5662.4732,account,category,V1-6,Gambling,0.04606324,205701.4536,260.8318
InMobi,626a9cd05d54fa0018b746b3,Americas,Rutvij Jadav,,,,5331.4531,account,category,V1-6,Gambling,0.04606324,205701.4536,245.584
Chesscom LLC,6863fe9df000940011f80bcb,Americas,Lisa Tolentino,,,,4584.3269,account,category,V1-6,Gambling,0.04606324,205701.4536,211.1689
SHUNYOU PTE LTD,655c62f25942160011cb5305,APAC,Harper Zhang,ShortTV,65714019a5cc307500171031,6464002625,4505.8774,app,category,V1-6,Gambling,0.04606324,205701.4536,207.5553
FGFF,561e8d976b8d90f61a00418e,Americas,Ary Bai,color by number FGFF,5a540f51d49ac43a0c011741,1317978215,4469.4502,app,category,V1-6,Gambling,0.04606324,205701.4536,205.8773
GeoTechnologies Inc.,5f45fb2f150074001547df11,APAC,Nam Trinh,,,,4318.6085,account,category,V1-6,Gambling,0.04606324,205701.4536,198.9291
Rakuten Viber,6920858f3fcd392133e22a59,EMEA,Tori Edwards,,,,13432.4778,account,category,V2-11,Society,0.01449973,64750.4676,194.7673
Bitmango,561e8d936b8d90f61a001412,APAC,Ives Cui,,,,4192.2792,account,category,V1-6,Gambling,0.04606324,205701.4536,193.11
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,category,V1-3,Credit & debit cards,0.00225694,10078.6819,189.0533
Fanatee Games,561e8d976b8d90f61a003d3f,Americas,Jack Dove,,,,3925.8853,account,category,V1-6,Gambling,0.04606324,205701.4536,180.839
Samsung Electronics,677bd16443e94a0011b752b2,Americas,Jack Dove,Gaming Hub,6837cbfb71e5cc220d1c9a6b,com.samsung.android.game.gamehome,2529.0936,app,category,V2-10,Personal Finance,0.06907844,308478.8828,174.7058
Eyecon Global Ltd,6570788bee73b50011dbb6f6,EMEA,Dina Eraksan,,,,11756.1215,account,category,V2-11,Society,0.01449973,64750.4676,170.4606
Gravity Labs,677cecb33b9ea20011273987,APAC,Ives Cui,,,,3655.412,account,category,V1-6,Gambling,0.04606324,205701.4536,168.3801
GenDigital,64678a9ed7125400115d9869,EMEA,Louis Wallworth,,,,3639.7895,account,category,V1-6,Gambling,0.04606324,205701.4536,167.6605
Mediafigaro,693a98f538cf425060b4c773,EMEA,Tori Edwards,,,,2371.9858,account,category,V2-10,Personal Finance,0.06907844,308478.8828,163.8531
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,category,V2-16,Dating,0.00189451,8460.2061,158.6943
HIGAME Jsc,62664065ca13b50011fb00a2,APAC,Nam Trinh,,,,3429.6237,account,category,V1-6,Gambling,0.04606324,205701.4536,157.9796
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,category,V2-21,Weight loss,0.00071221,3180.4493,153.4883
Mackolik,641d8986be2b36001370ca2a,EMEA,Louis Wallworth,,,,3132.2769,account,category,V1-6,Gambling,0.04606324,205701.4536,144.2828
nerByte GMBH,561e8d936b8d90f61a000662,EMEA,Hadil Salameh,,,,3127.5933,account,category,V1-6,Gambling,0.04606324,205701.4536,144.0671
MOOVIT APP GLOBAL LTD,61c991a5fe4ec600172e5e08,EMEA,Beth Taylor-Lowen,Moovit iOS,61c9990776261dfb959407aa,498477945,3120.989,app,category,V1-6,Gambling,0.04606324,205701.4536,143.7629
Lessmore UG (haftungsbeschränkt),6107c3b4abaef100175b9029,EMEA,Tori Edwards,,,,72656.859,account,category,V2-16,Dating,0.00189451,8460.2061,137.6495
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,,,,9455.6047,account,category,V2-11,Society,0.01449973,64750.4676,137.1037
FGFF,561e8d976b8d90f61a00418e,Americas,Ary Bai,Block Craft: City Building Simulator - Android,5785519ef95609d93c00007b,com.fungames.blockcraft,2857.5866,app,category,V1-6,Gambling,0.04606324,205701.4536,131.6297
Bitsmedia Pte Ltd,630d8dbfb1095d001bb0f04a,APAC,Ives Cui,,,,2809.8509,account,category,V1-6,Gambling,0.04606324,205701.4536,129.4308
MAG Interactive,561e8d936b8d90f61a001260,EMEA,Hadil Salameh,,,,2784.4307,account,category,V1-6,Gambling,0.04606324,205701.4536,128.2599
Trebel Music,59bbfb5389df7b9d3b000840,Americas,Ary Bai,,,,2710.5596,account,category,V1-6,Gambling,0.04606324,205701.4536,124.8571
OZION TECH PTE LTD,655377ea6cdf5900118d252a,APAC,Aria Gao,,,,2697.9992,account,category,V1-6,Gambling,0.04606324,205701.4536,124.2786
LOTUM Media GmbH,561e8d936b8d90f61a0014ca,EMEA,Hadil Salameh,,,,2583.5049,account,category,V1-6,Gambling,0.04606324,205701.4536,119.0046
Tripledot Studios,5c05196699e4374b87bda3b9,EMEA,Tori Edwards,,,,61597.6411,account,category,V2-16,Dating,0.00189451,8460.2061,116.6977
Samsung Electronics,677bd16443e94a0011b752b2,Americas,Jack Dove,Gaming Hub,6837cbfb71e5cc220d1c9a6b,com.samsung.android.game.gamehome,2529.0936,app,category,V1-6,Gambling,0.04606324,205701.4536,116.4982
BALABOOM PTE LTD,63e0726b0dce2900138bf123,APAC,Ronald Long,,,,2498.5692,account,category,V1-6,Gambling,0.04606324,205701.4536,115.0922
Rovio,561e8d946b8d90f61a002087,EMEA,Dina Eraksan,Angry Birds Dream Blast (Spender),651283dcb30c764e0a120808,1432579280,611.8371,app,category,V2-20,Video & Computer Games,0.18240529,814554.8596,111.6023
"Gstarsoft Co.,ltd",604ec2ae5a93950016a63fdd,APAC,Ronald Long,,,,2415.1051,account,category,V1-6,Gambling,0.04606324,205701.4536,111.2476
Mediafigaro,693a98f538cf425060b4c773,EMEA,Tori Edwards,,,,2371.9858,account,category,V1-6,Gambling,0.04606324,205701.4536,109.2613
UCWeb Singapore Pte Ltd,688b3725c446f77fe6eaaff8,APAC,Seven Tu,uc browser,68ef8349bea871f37200c0f0,com.UCMobile.intl,2346.659,app,category,V1-6,Gambling,0.04606324,205701.4536,108.0947
WeWard,5dcc0df6a4305a00173b9cf8,EMEA,Tori Edwards,,,,2308.353,account,category,V1-6,Gambling,0.04606324,205701.4536,106.3302
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,category,V2-16,Dating,0.00189451,8460.2061,101.738
Alpred SL,682b575afc11e60011201e88,EMEA,Dumitru Cazacu,,,,2200.6746,account,category,V1-6,Gambling,0.04606324,205701.4536,101.3702
Fingersoft Oy,561e8d956b8d90f61a003365,EMEA,Hadil Salameh,,,,2198.8669,account,category,V1-6,Gambling,0.04606324,205701.4536,101.2869
Free VPN Planet SRL,668fb233514c00001146f038,EMEA,Kseniia Fesenko,,,,2152.3042,account,category,V1-6,Gambling,0.04606324,205701.4536,99.1421
TabTale LTD,59e4bb543f0fa9a20900afa3,EMEA,Dina Eraksan,Glow: Fashion Idol iOS_CL,641854429091f900e1111e9a,6446197181,2131.8358,app,category,V1-6,Gambling,0.04606324,205701.4536,98.1993
CrazyMaple Studio,59baf611f2287a750a0034c2,APAC,Harper Zhang,,,,43416.0099,account,category,V1-3,Credit & debit cards,0.00225694,10078.6819,97.9875
Lihuhu,5d8880f1444f7200181b5e1d,APAC,Nam Trinh,,,,2096.2355,account,category,V1-6,Gambling,0.04606324,205701.4536,96.5594
Soner Kara,561e8d936b8d90f61a0014bb,EMEA,Dina Eraksan,,,,2008.3557,account,category,V1-6,Gambling,0.04606324,205701.4536,92.5114
FGFF,561e8d976b8d90f61a00418e,Americas,Ary Bai,Block Craft 3D: City Building Simulator,56cb247c4c275f425b000054,981633844,1998.6435,app,category,V1-6,Gambling,0.04606324,205701.4536,92.064
FARSUN PTE LTD,66aafef7514c00001147c0c9,APAC,Harper Zhang,,,,1906.1867,account,category,V1-6,Gambling,0.04606324,205701.4536,87.8051
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,category,V2-16,Dating,0.00189451,8460.2061,85.6398
AddApptr GmbH,5a53889945eaab512501251e,EMEA,Dina Eraksan,IT-PM_Futbin_iOS,627a7fad9a5916612c6cb77e,1080465358,1788.8926,app,category,V1-6,Gambling,0.04606324,205701.4536,82.4022
individual,622f2440e19c1e00147fc083,,Sales Ops,,,,1729.3434,account,category,V1-6,Gambling,0.04606324,205701.4536,79.6592
