pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,level,block_type,block_value,adv_title,network_share,adv_daily_spend,est_uplift_daily
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,domain,temu.com,,0.20592908,919603.4227,9308.8376
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,domain,grand.gs,,0.02526163,112809.1528,3572.3849
Vinted,670cfa366f113e00119a799f,EMEA,Dumitru Cazacu,Vinted IOS,6716548809f72ec0f50798ed,632064380,16571.4791,app,domain,temu.com,,0.20592908,919603.4227,3412.5494
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,domain,king.com,,0.02381471,106347.7328,2078.8428
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,king.com,,0.02381471,106347.7328,1994.8428
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,market id,6499209744,Magic Sort!,0.0129945,58028.6348,1837.6224
Bertheussen IT,561e8d936b8d90f61a0014d2,EMEA,Dumitru Cazacu,,,,8652.7953,account,domain,temu.com,,0.20592908,919603.4227,1781.8621
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,domain,dreamgames.com,,0.01897454,84733.2876,1656.3323
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,553834731,Candy Crush Saga,0.01821655,81348.4256,1590.1664
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,market id,6752672568,Block Out! - Color Sort Puzzle,0.01050597,46915.772,1485.7057
HURELAX PTE LTD,67b5bff30471850011443643,APAC,Sunton Sun,,,,54667.7897,account,domain,grand.gs,,0.02526163,112809.1528,1380.9977
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,domain,crowncoinscasino.com,,0.00576772,25756.5274,1243.0088
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,app,domain,lessmore.games,,0.01720383,76825.9753,1194.7328
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,domain,betboom.ru,,0.00544072,24296.2416,1172.5355
Rovio,561e8d946b8d90f61a002087,EMEA,Dina Eraksan,Angry Birds 2 iOS,54c63cb2a684cd593e000126,880047117,4596.3811,app,domain,temu.com,,0.20592908,919603.4227,946.5285
Chesscom LLC,6863fe9df000940011f80bcb,Americas,Lisa Tolentino,,,,4584.3269,account,domain,temu.com,,0.20592908,919603.4227,944.0462
Vinted,670cfa366f113e00119a799f,EMEA,Dumitru Cazacu,Vinted Android,671654af58450cca797bb25d,fr.vinted,4170.9759,app,domain,temu.com,,0.20592908,919603.4227,858.9252
Vinted,670cfa366f113e00119a799f,EMEA,Dumitru Cazacu,,,,20742.455,account,market id,com.einnovation.temu,Temu: Shop Like a Billionaire,0.04004889,178843.6136,830.7124
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong,653a33af7b1a3c2b6f2b138a,6468921495,44343.6723,app,market id,553834731,Candy Crush Saga,0.01821655,81348.4256,807.7889
GMOTownWiFi,609cb17937f3bf001593dd55,APAC,Nam Trinh,,,,3855.1789,account,domain,temu.com,,0.20592908,919603.4227,793.8934
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,1606549505,Royal Kingdom,0.00887636,39638.5406,774.8383
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,market id,6468921495,Vita Mahjong,0.00356895,15937.6227,769.1489
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong,653a33af7b1a3c2b6f2b138a,6468921495,44343.6723,app,domain,lessmore.games,,0.01720383,76825.9753,762.8811
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,freecash.com,,0.00892978,39877.102,748.0042
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,market id,1673567402,Freecash - Get Paid Real Money,0.00758307,33863.2073,734.5424
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,snap.com,,0.01348705,60228.1823,724.2723
HURELAX PTE LTD,67b5bff30471850011443643,APAC,Sunton Sun,,,,54667.7897,account,market id,6499209744,Magic Sort!,0.0129945,58028.6348,710.3804
LINE Digital Frontier,64131058280ea30014b0ed99,APAC,Ives Cui,,,,3389.366,account,domain,temu.com,,0.20592908,919603.4227,697.969
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,domain,global.e.mi.com,,0.00717646,32047.4217,695.1553
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,domain,cloudfront.net,,0.00312299,13946.1054,673.0384
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,domain,googll.store,,0.0031123,13898.3949,670.7359
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,1673567402,Freecash - Get Paid Real Money,0.00758307,33863.2073,635.1971
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,1482155847,Royal Match,0.00709533,31685.1121,619.3679
Zynga,56c3a378adccd1cb7e00000a,Americas,Lisa Tolentino,,,,57366.1629,account,market id,6752672568,Block Out! - Color Sort Puzzle,0.01050597,46915.772,602.6869
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,market id,1462060332,DraftKings Casino - Real Money,0.00425673,19009.0063,601.9679
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong,653a33af7b1a3c2b6f2b138a,6468921495,44343.6723,app,market id,6748397500,Arrows – Puzzle Escape,0.01329553,59372.9417,589.5726
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,amazon.com,,0.00688676,30753.7486,576.8707
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,domain,vitastudio.ai,,0.00407584,18201.2006,576.3867
Mobility Ware,561e8d936b8d90f61a000455,Americas,Natalie Kenyon,,,,99938.5051,account,market id,6450413462,CrownCoins Casino,0.00575744,25710.6289,575.3904
HURELAX PTE LTD,67b5bff30471850011443643,APAC,Sunton Sun,,,,54667.7897,account,market id,6752672568,Block Out! - Color Sort Puzzle,0.01050597,46915.772,574.3379
MAG Interactive,561e8d936b8d90f61a001260,EMEA,Hadil Salameh,,,,2784.4307,account,domain,temu.com,,0.20592908,919603.4227,573.3952
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,market id,6450413462,CrownCoins Casino,0.00575744,25710.6289,557.701
"KAUCHE, Inc",679afd4877bd1c00117aaefd,APAC,Nam Trinh,,,,2481.7669,account,domain,temu.com,,0.20592908,919603.4227,511.068
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,apple.com,,0.00950414,42441.9729,510.3848
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,market id,6468921495,Vita Mahjong,0.00356895,15937.6227,504.7048
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,6450413462,CrownCoins Casino,0.00575744,25710.6289,502.5811
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,domain,hungrystudio.com,,0.00353479,15785.0485,499.8732
Zynga,56c3a378adccd1cb7e00000a,Americas,Lisa Tolentino,Toon Blast,62684259b7fb3d4fd5c5fb13,net.peakgames.toonblast,2384.5116,app,domain,temu.com,,0.20592908,919603.4227,491.0403
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,domain,casino.draftkings.com,,0.00501369,22389.2849,485.6562
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,crowncoinscasino.com,,0.00576772,25756.5274,483.1342
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,6450413462,CrownCoins Casino,0.00575744,25710.6289,482.2732
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,freecash.com,,0.00892978,39877.102,479.541
WeWard,5dcc0df6a4305a00173b9cf8,EMEA,Tori Edwards,,,,2308.353,account,domain,temu.com,,0.20592908,919603.4227,475.357
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,com.king.candycrushsaga,Candy Crush Saga,0.00531377,23729.3467,463.8517
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,domain,hplconsultingltd.com,,0.00214052,9558.7692,461.3058
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,1621328561,MONOPOLY GO!,0.00522307,23324.2981,455.934
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,betboom.ru,,0.00544072,24296.2416,455.7425
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,market id,6747492600,Mahjong Blast,0.0020655,9223.7685,445.1386
Tripledot Studios,5c05196699e4374b87bda3b9,EMEA,Tori Edwards,,,,61597.6411,account,domain,global.e.mi.com,,0.00717646,32047.4217,442.0529
Sofa IT doo,67b5b2c077bd1c00117b9adc,EMEA,Dumitru Cazacu,,,,9215.4959,account,domain,tiktok.com,,0.04722481,210888.5988,435.2
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,,,,17169.5169,account,domain,grand.gs,,0.02526163,112809.1528,433.73
Mobility Ware,561e8d936b8d90f61a000455,Americas,Natalie Kenyon,,,,99938.5051,account,market id,6741076536,Modo Casino Slots & Games,0.00431168,19254.3628,430.9026
