publisher_account_id,publisher_account_name,publisher_daily_spend,blocked_rtb_connection_id,blocked_rtb_connection_name,rtb_connection_daily_spend,rtb_pct_of_network,potential_uplift
606c7bac7a37680015801ad8,jiayou,142957.36,618a2a7eacd257d58a04fb44,RTB - Bidease Video,98361.07,2.23,3192.27
606c7bac7a37680015801ad8,jiayou,142957.36,62c25c35fde7e51b65a10256,RTB - Mintegral US Video AD TEST,53925.37,1.22,1750.13
606c7bac7a37680015801ad8,jiayou,142957.36,60c06e573c721d0016a2184e,RTB - Mintegral  Video NO US,34471.99,0.78,1118.78
606c7bac7a37680015801ad8,jiayou,142957.36,610114023b0d9d6e3e3d8c8c,RTB - Mintegral hardcore video,33392.31,0.76,1083.74
606c7bac7a37680015801ad8,jiayou,142957.36,64f7be44642a5689719e0fed,RTB - Bidease Video 3P Tester,33007.0,0.75,1071.23
606c7bac7a37680015801ad8,jiayou,142957.36,60c06de4baf1a10016f0a466,RTB - Mintegral  Video,29654.52,0.67,962.43
658a2fc2ab2b4800112923f1,HANGZHOU JF SOFTWARE CO LTD,28763.31,685a21266d0d8332fec4ca4a,RTB - ByteDance Global (Main) - new,54755.97,1.24,357.55
658a2fc2ab2b4800112923f1,HANGZHOU JF SOFTWARE CO LTD,28763.31,62c25c35fde7e51b65a10256,RTB - Mintegral US Video AD TEST,53925.37,1.22,352.13
66f36da16f113e0011999ff8,Meitu China,24491.95,685a21266d0d8332fec4ca4a,RTB - ByteDance Global (Main) - new,54755.97,1.24,304.46
5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,222290.25,618a2b05c9484e4393ccdec3,RTB - Bidease Banner,5399.69,0.12,272.5
606c7bac7a37680015801ad8,jiayou,142957.36,60c06d797ff8af0016c93940,RTB - Mintegral Banner,8057.48,0.18,261.5
606c7bac7a37680015801ad8,jiayou,142957.36,621f1ca28fe6c30240ef650e,Exchange - RTB - Advlion APAC Video 10058,7141.01,0.16,231.76
683bc1bb4c15ca0011ad2b91,WONDERFUL TYCOON LIMITED,10096.55,618a2a7eacd257d58a04fb44,RTB - Bidease Video,98361.07,2.23,225.46
658a2fc2ab2b4800112923f1,HANGZHOU JF SOFTWARE CO LTD,28763.31,60c06e573c721d0016a2184e,RTB - Mintegral  Video NO US,34471.99,0.78,225.1
658a2fc2ab2b4800112923f1,HANGZHOU JF SOFTWARE CO LTD,28763.31,610114023b0d9d6e3e3d8c8c,RTB - Mintegral hardcore video,33392.31,0.76,218.05
658a2fc2ab2b4800112923f1,HANGZHOU JF SOFTWARE CO LTD,28763.31,60c06de4baf1a10016f0a466,RTB - Mintegral  Video,29654.52,0.67,193.64
5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,222290.25,62d4ee496de9db577f319ec1,Exchange - RTB - Galaxy Banner,3526.25,0.08,177.95
606c7bac7a37680015801ad8,jiayou,142957.36,618a2b05c9484e4393ccdec3,RTB - Bidease Banner,5399.69,0.12,175.24
57d1b461ae2b57d903000027,Easybrain Ltd,100981.67,5fd85b0af20710001613f7ea,RTB - Kayzen - EU Video,7268.89,0.17,166.64
561e8d936b8d90f61a001412,Bitmango,5624.02,673598849d6a7bcf892e103c,RTB - Temu Hybrid Glo,114105.98,2.59,145.69
67d0848db62d6b0011ccb35e,SmartNews,17460.91,607717d4b6c2cb001602a37b,RTB - Smadex Video,34876.33,0.79,138.25
5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,222290.25,62a830a7975125fe4e90d762,Exchange - RTB - Bluesea banner US,2328.61,0.05,117.51
606c7bac7a37680015801ad8,jiayou,142957.36,6494839e6fdf35233e02c1f5,RTB - InMobi iDSP Banner EP,3578.56,0.08,116.14
606c7bac7a37680015801ad8,jiayou,142957.36,62d4ee496de9db577f319ec1,Exchange - RTB - Galaxy Banner,3526.25,0.08,114.44
5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,222290.25,62ff5e23cd7daf41a2caf0e8,Exchange - RTB - Galaxy US Banner,2236.75,0.05,112.88
5e96c1b29704720015d9f4ae,Guru Network Limited,27965.32,66cde92cfef7bbff52d0d6d1,RTB - Rhebus HK Thunder - EMEA - Banner,16828.45,0.38,106.84
57d1b461ae2b57d903000027,Easybrain Ltd,100981.67,5fd73d75d06c830016c1b5f4,RTB - Kayzen - USA Video,3858.32,0.09,88.45
683bc1bb4c15ca0011ad2b91,WONDERFUL TYCOON LIMITED,10096.55,64f7be44642a5689719e0fed,RTB - Bidease Video 3P Tester,33007.0,0.75,75.66
606c7bac7a37680015801ad8,jiayou,142957.36,62a830a7975125fe4e90d762,Exchange - RTB - Bluesea banner US,2328.61,0.05,75.57
5fc0a33dcb32b5001563f9dc,AmberMobile Limited,13603.0,5e704fab77219f0016ddb3b6,RTB - Webeye - US Main EP,23937.7,0.54,73.92
606c7bac7a37680015801ad8,jiayou,142957.36,62ff5e23cd7daf41a2caf0e8,Exchange - RTB - Galaxy US Banner,2236.75,0.05,72.59
606c7bac7a37680015801ad8,jiayou,142957.36,6398af0c625f2336d66b9f1a,RTB - Bidease Native,2227.74,0.05,72.3
606c7bac7a37680015801ad8,jiayou,142957.36,5fd85a9f13c8bf00165ad093,RTB - Kayzen - EU Banner,1940.06,0.04,62.96
561e8d976b8d90f61a0045d7,"PeopleFun, Inc.",34224.18,60c06d797ff8af0016c93940,RTB - Mintegral Banner,8057.48,0.18,62.6
5d130cdf37472100170775e1,Puzzle1Studio,2395.15,673598849d6a7bcf892e103c,RTB - Temu Hybrid Glo,114105.98,2.59,62.05
67c01767cc8ae200116e5d00,Skywork AI PTELTD,77392.7,62d4ee496de9db577f319ec1,Exchange - RTB - Galaxy Banner,3526.25,0.08,61.96
6107c3b4abaef100175b9029,Lessmore UG (haftungsbeschränkt),67254.91,62d4ee496de9db577f319ec1,Exchange - RTB - Galaxy Banner,3526.25,0.08,53.84
57d1b461ae2b57d903000027,Easybrain Ltd,100981.67,62a830a7975125fe4e90d762,Exchange - RTB - Bluesea banner US,2328.61,0.05,53.38
619b548fc9c9c1001796f1f6,Gimica GmbH,28175.04,60c06d797ff8af0016c93940,RTB - Mintegral Banner,8057.48,0.18,51.54
56c3a378adccd1cb7e00000a,Zynga,61089.37,62d4ee496de9db577f319ec1,Exchange - RTB - Galaxy Banner,3526.25,0.08,48.9
5e96c1b29704720015d9f4ae,Guru Network Limited,27965.32,66cde97c340c253115b70b75,RTB - Rhebus HK Thunder - APAC - Banner,7139.16,0.16,45.32
67b5bff30471850011443643,HURELAX PTE LTD,55938.01,62d4ee496de9db577f319ec1,Exchange - RTB - Galaxy Banner,3526.25,0.08,44.78
57d1b461ae2b57d903000027,Easybrain Ltd,100981.67,5fd85a9f13c8bf00165ad093,RTB - Kayzen - EU Banner,1940.06,0.04,44.48
65e71ba517069f0011a36cfa,Rounds,10348.36,64a3cf8ca9fb64648ab7be46,RTB - Yeahmobi SG Video,18132.27,0.41,42.6
5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,222290.25,67103628fe72cf94d24247d6,RTB - Exchange - Bidease - Ukraine All,829.97,0.02,41.88
5fc0a33dcb32b5001563f9dc,AmberMobile Limited,13603.0,654deb0b37437ddf41f2ffb8,RTB - Webeye - United States,12882.68,0.29,39.78
5bd009e27e1105796809759b,Big Cake Group Limited,3232.53,62c25c35fde7e51b65a10256,RTB - Mintegral US Video AD TEST,53925.37,1.22,39.57
67c01767cc8ae200116e5d00,Skywork AI PTELTD,77392.7,62ff5e23cd7daf41a2caf0e8,Exchange - RTB - Galaxy US Banner,2236.75,0.05,39.3
658a2fc2ab2b4800112923f1,HANGZHOU JF SOFTWARE CO LTD,28763.31,6a02bec227baf5dc37a91a04,RTB - ByteDance Global - WL - Duolingo (all other),5517.18,0.13,36.03
59baf611f2287a750a0034c2,CrazyMaple Studio,43950.76,62d4ee496de9db577f319ec1,Exchange - RTB - Galaxy Banner,3526.25,0.08,35.18
5e96c1b29704720015d9f4ae,Guru Network Limited,27965.32,618a2b05c9484e4393ccdec3,RTB - Bidease Banner,5399.69,0.12,34.28
57d1b461ae2b57d903000027,Easybrain Ltd,100981.67,5fd73e352753900016c80c27,RTB - Kayzen - APAC Video,1492.59,0.03,34.22
6107c3b4abaef100175b9029,Lessmore UG (haftungsbeschränkt),67254.91,62ff5e23cd7daf41a2caf0e8,Exchange - RTB - Galaxy US Banner,2236.75,0.05,34.15
619b548fc9c9c1001796f1f6,Gimica GmbH,28175.04,607718045820a60016c5234f,RTB - Smadex Banner,5052.83,0.11,32.32
5c05196699e4374b87bda3b9,Tripledot Studios,72942.71,5fd85a9f13c8bf00165ad093,RTB - Kayzen - EU Banner,1940.06,0.04,32.13
606c7bac7a37680015801ad8,jiayou,142957.36,5fd73ea06baf05001633d6af,RTB - Kayzen - APAC Banner,979.34,0.02,31.78
56c3a378adccd1cb7e00000a,Zynga,61089.37,62ff5e23cd7daf41a2caf0e8,Exchange - RTB - Galaxy US Banner,2236.75,0.05,31.02
66f36da16f113e0011999ff8,Meitu China,24491.95,6a02bec227baf5dc37a91a04,RTB - ByteDance Global - WL - Duolingo (all other),5517.18,0.13,30.68
6107c3b4abaef100175b9029,Lessmore UG (haftungsbeschränkt),67254.91,5fd85a9f13c8bf00165ad093,RTB - Kayzen - EU Banner,1940.06,0.04,29.62
67b5bff30471850011443643,HURELAX PTE LTD,55938.01,62ff5e23cd7daf41a2caf0e8,Exchange - RTB - Galaxy US Banner,2236.75,0.05,28.41
