pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,exempted_domain_count,exempted_domains,reference_route_count,exempted_route_count,missing_route_count,top_missing_routes,app_daily_spend_exempted,exempted_route_network_daily,missing_route_network_daily,reference_route_network_daily,penetration_rate,est_uplift_missed_daily
BeSoccer,680748860437920011951532,EMEA,Louis Wallworth,BeSoccer,68075411da8e5a572a730472,550928207,1920.0244,108,"1097638.com,11029984.com,1492929.com,22bet.com,32red.com,3bigstar.com,44vvkw.com,6929183.com,738382910483.com,777gp-android-app.lets-fun.top,888casino.com,9234423.com,9snail.com,admiralcasino.co.uk,apps.olimp.bet,apps.rustore.ru,aviagames.com,betano.bet,betpk55.com,betrivers.com",118,56,62,betty.ca|5f6413c9612b1a0015099993|CA; cloudfront.net|5f6413c9612b1a0015099993|IN; jackpotcity.com|5f6413c9612b1a0015099993|CA,449.7407,223863.2446,119222.1256,343085.3702,0.002009,239.517
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,Phase 10 iOS,5d81c924bf4aa20017e95920,1463509237,2148.0516,42,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,kalshi.com,lattfolloweaken.com",35,13,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,260.0948,53936.8495,36711.7124,90648.5619,0.00482221,177.0316
Badoo,5aafdd4a0520357fabf54aa6,EMEA,Beth Taylor-Lowen,Badoo - The Dating App,5aafe5c62567717fa575bfc1,351331194,6051.523,39,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top",33,15,18,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,325.7496,55264.4224,22110.932,77375.3544,0.00589438,130.3303
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Arrows GO! iOS,69c2954b7c25f96d75ccd5f2,6758326278,2911.1141,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,2,7,casino.draftkings.com|5f6413c9612b1a0015099993|CA; draftkings.com|602442ef9f0893001526406b|US; sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,82.7754,23714.927,19903.8823,43618.8093,0.00349043,69.4732
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Paper.io 2,5b83e2f3ebcb4a0f62d80e85,1423046460,13243.7217,8,"casino.draftkings.com,draftkings.com,fanaticsinc.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,tiktok.com,underdogfantasy.com",52,29,23,draftkings.com|602442ef9f0893001526406b|US; tiktok.com|5e89fcef428f870016d9e994|TH; tiktok.com|5f6413c9612b1a0015099993|ZA,519.1672,215509.5583,28702.3873,244211.9456,0.00240902,69.1447
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Scrabble Go,59e7db9b598ece421700ded4,1215933788,6051.7925,9,"casino.draftkings.com,draftkings.com,fanaticsinc.com,fanduel.com,hardrock.bet,papayagaming.com,solitairecash.com,sportsbook.draftkings.com,underdogfantasy.com",17,12,5,papayagaming.com|5fbc06efdcdfdb0015dda411|US; draftkings.com|602442ef9f0893001526406b|US; papayagaming.com|60c86e9b217f2400175cfe6b|US,183.101,49629.794,14545.9739,64175.7679,0.00368934,53.665
BeSoccer,680748860437920011951532,EMEA,Louis Wallworth,BeSoccer,6807543f9e0c8ad76e7f0c01,com.resultadosfutbol.mobile,4219.8855,108,"1097638.com,11029984.com,1492929.com,22bet.com,32red.com,3bigstar.com,44vvkw.com,6929183.com,738382910483.com,777gp-android-app.lets-fun.top,888casino.com,9234423.com,9snail.com,admiralcasino.co.uk,apps.olimp.bet,apps.rustore.ru,aviagames.com,betano.bet,betpk55.com,betrivers.com",118,56,62,betty.ca|5f6413c9612b1a0015099993|CA; cloudfront.net|5f6413c9612b1a0015099993|IN; jackpotcity.com|5f6413c9612b1a0015099993|CA,89.9744,223863.2446,119222.1256,343085.3702,0.00040192,47.9174
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Solitaire - Card Game,64a41edf830ec394da0090b7,com.playvalve.solitaire,815.1386,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,33.4532,43679.5822,36711.7124,80391.2946,0.00076588,28.1167
OfferUp,650360eb0950ee00114dc484,Americas,Kasey Geist,OfferUp iOS,650363ddd38855ef54aae568,468996152,35957.5312,6,"casino.draftkings.com,draftkings.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",12,11,1,hardrock.bet|60770b778d0e4a0015f20ea9|US,1789.0998,46374.8883,694.0674,47068.9557,0.03857906,26.7765
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Paper.io 2,5b99403f45e58040ccdd7177,io.voodoo.paper2,3814.5932,4,"casino.draftkings.com,draftkings.com,fanaticsinc.com,tiktok.com",48,24,24,draftkings.com|602442ef9f0893001526406b|US; tiktok.com|5e89fcef428f870016d9e994|TH; tiktok.com|5f6413c9612b1a0015099993|ZA,160.3963,207450.3774,29762.2154,237212.5928,0.00077318,23.0115
