pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,exempted_domain,domain,rtb_account_id,country,combo_daily_spend,network_share,est_uplift_daily,exempted_route_count,reference_route_count
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,casino.draftkings.com,casino.draftkings.com,5f6413c9612b1a0015099993,CA,8102.7058,0.00181446,126.0065,1,3
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,pari.ru,pari.ru,5f6413c9612b1a0015099993,RU,4219.5644,0.0009449,65.6191,0,1
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,draftkings.com,draftkings.com,602442ef9f0893001526406b,US,3909.9895,0.00087557,60.8049,3,5
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,mintegral.com,mintegral.com,60bdc983a982ad0017edb6f7,RU,2815.7758,0.00063054,43.7886,1,3
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,ligastavok.ru,ligastavok.ru,5f6413c9612b1a0015099993,RU,2637.4454,0.00059061,41.0153,0,2
Particle Media Inc,69379d46192ce0aadaecc874,Americas,Natalie Kenyon,NewsBreak: Local News & Alerts,69437e3201d2a42bf6087b94,1132762804,17572.2189,kalshi.com,kalshi.com,5f6413c9612b1a0015099993,US,10257.2673,0.00229694,40.3623,0,1
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Meowdoku iOS,69e0a6fab6a93be17be970f3,6761760135,15211.7956,casino.draftkings.com,casino.draftkings.com,5f6413c9612b1a0015099993,CA,8102.7058,0.00181446,27.6012,1,3
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,googll.store,googll.store,5f6413c9612b1a0015099993,EG,1734.7221,0.00038846,26.9769,0,11
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Sudoku Puzzle Game,592fc29cc10833a4760012c6,1193508329,13380.144,casino.draftkings.com,casino.draftkings.com,5f6413c9612b1a0015099993,CA,8102.7058,0.00181446,24.2777,1,3
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Arrows GO! Android,69845ea1e6f73fe2b5840739,com.oakever.arrows,13278.6625,casino.draftkings.com,casino.draftkings.com,5f6413c9612b1a0015099993,CA,8102.7058,0.00181446,24.0936,1,3
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,draftkings.com,draftkings.com,5f6413c9612b1a0015099993,CA,1327.6837,0.00029731,20.647,3,5
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,casino.draftkings.com,casino.draftkings.com,602442ef9f0893001526406b,US,1260.4014,0.00028224,19.6007,1,3
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,mintegral.com,mintegral.com,60bdc983a982ad0017edb6f7,US,1169.9494,0.00026199,18.1941,1,3
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Tile Trip Android,6642cedde0cbed6459a1b75e,com.oakever.tiletrip,17574.8459,pari.ru,pari.ru,5f6413c9612b1a0015099993,RU,4219.5644,0.0009449,16.6064,0,1
