domain,rtb_account_id,country,network_spend_7d,network_daily_spend,route_key
temu.com,67055dc40f05bd0011e279ae,US,2162949.8910719226,308992.8416,"('temu.com', '67055dc40f05bd0011e279ae', 'US')"
temu.com,5f6413c9612b1a0015099993,US,636078.5104012829,90868.3586,"('temu.com', '5f6413c9612b1a0015099993', 'US')"
temu.com,618a29d9ef3f360017e9acca,US,582472.6027165111,83210.3718,"('temu.com', '618a29d9ef3f360017e9acca', 'US')"
grand.gs,5f6413c9612b1a0015099993,US,471192.49676872126,67313.2138,"('grand.gs', '5f6413c9612b1a0015099993', 'US')"
dreamgames.com,5f6413c9612b1a0015099993,US,318783.8862825338,45540.5552,"('dreamgames.com', '5f6413c9612b1a0015099993', 'US')"
tiktok.com,5f6413c9612b1a0015099993,US,311349.40637601726,44478.4866,"('tiktok.com', '5f6413c9612b1a0015099993', 'US')"
snap.com,5f6413c9612b1a0015099993,MX,222220.14280630235,31745.7347,"('snap.com', '5f6413c9612b1a0015099993', 'MX')"
king.com,5f6413c9612b1a0015099993,US,199494.39589928306,28499.1994,"('king.com', '5f6413c9612b1a0015099993', 'US')"
apple.com,602442ef9f0893001526406b,US,191836.6571824848,27405.2367,"('apple.com', '602442ef9f0893001526406b', 'US')"
lessmore.games,5f6413c9612b1a0015099993,US,176173.06579769024,25167.5808,"('lessmore.games', '5f6413c9612b1a0015099993', 'US')"
doordash.com,5f6413c9612b1a0015099993,US,169113.99607485614,24159.1423,"('doordash.com', '5f6413c9612b1a0015099993', 'US')"
tiktok.com,5f6413c9612b1a0015099993,JP,163218.94225133394,23316.9918,"('tiktok.com', '5f6413c9612b1a0015099993', 'JP')"
freecash.com,5f6413c9612b1a0015099993,US,160367.34757121993,22909.6211,"('freecash.com', '5f6413c9612b1a0015099993', 'US')"
betboom.ru,5f6413c9612b1a0015099993,RU,158478.17252173976,22639.7389,"('betboom.ru', '5f6413c9612b1a0015099993', 'RU')"
temu.com,67055dc40f05bd0011e279ae,GB,155447.67188938978,22206.8103,"('temu.com', '67055dc40f05bd0011e279ae', 'GB')"
temu.com,67055dc40f05bd0011e279ae,AU,146556.9177170385,20936.7025,"('temu.com', '67055dc40f05bd0011e279ae', 'AU')"
crowncoinscasino.com,5f6413c9612b1a0015099993,US,139028.36829469082,19861.1955,"('crowncoinscasino.com', '5f6413c9612b1a0015099993', 'US')"
king.com,5fbc06efdcdfdb0015dda411,US,137892.17418040018,19698.882,"('king.com', '5fbc06efdcdfdb0015dda411', 'US')"
temu.com,67055dc40f05bd0011e279ae,MX,137724.3697385397,19674.91,"('temu.com', '67055dc40f05bd0011e279ae', 'MX')"
tiktok.com,5f6413c9612b1a0015099993,GB,137457.50560490426,19636.7865,"('tiktok.com', '5f6413c9612b1a0015099993', 'GB')"
temu.com,67055dc40f05bd0011e279ae,CO,129673.62823569153,18524.804,"('temu.com', '67055dc40f05bd0011e279ae', 'CO')"
temu.com,5f6413c9612b1a0015099993,GB,124044.8727104874,17720.6961,"('temu.com', '5f6413c9612b1a0015099993', 'GB')"
modo.us,5f6413c9612b1a0015099993,US,123988.2199754416,17712.6029,"('modo.us', '5f6413c9612b1a0015099993', 'US')"
snap.com,5f6413c9612b1a0015099993,US,111183.50085317963,15883.3573,"('snap.com', '5f6413c9612b1a0015099993', 'US')"
casino.draftkings.com,5f6413c9612b1a0015099993,US,107167.37299401267,15309.6247,"('casino.draftkings.com', '5f6413c9612b1a0015099993', 'US')"
tiktok.com,5f6413c9612b1a0015099993,DE,106618.61592709468,15231.2308,"('tiktok.com', '5f6413c9612b1a0015099993', 'DE')"
robinhood.com,5f6413c9612b1a0015099993,US,102319.50542753364,14617.0722,"('robinhood.com', '5f6413c9612b1a0015099993', 'US')"
shopee.com.br,5fffe796e4fa2100156e364a,BR,99674.76742932611,14239.2525,"('shopee.com.br', '5fffe796e4fa2100156e364a', 'BR')"
vitastudio.ai,5f6413c9612b1a0015099993,US,96367.95737546493,13766.8511,"('vitastudio.ai', '5f6413c9612b1a0015099993', 'US')"
creditkarma.com,5f6413c9612b1a0015099993,US,95357.28116666191,13622.4687,"('creditkarma.com', '5f6413c9612b1a0015099993', 'US')"
productmadness.com,5f6413c9612b1a0015099993,US,91095.35194748842,13013.6217,"('productmadness.com', '5f6413c9612b1a0015099993', 'US')"
scopely.com,5bc0e10e25c7d7796ebe8fc0,US,89922.98583999988,12846.1408,"('scopely.com', '5bc0e10e25c7d7796ebe8fc0', 'US')"
temu.com,67055dc40f05bd0011e279ae,KR,89765.49139635089,12823.6416,"('temu.com', '67055dc40f05bd0011e279ae', 'KR')"
gls.com,5f6413c9612b1a0015099993,US,87638.31337201226,12519.7591,"('gls.com', '5f6413c9612b1a0015099993', 'US')"
temu.com,67055dc40f05bd0011e279ae,JP,86173.61348587643,12310.5162,"('temu.com', '67055dc40f05bd0011e279ae', 'JP')"
