pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,exempted_dk_domains,block_level,block_type,block_value,adv_title,adv_daily_spend,network_share,est_uplift_daily
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Sudoku Puzzle Game,592fc29cc10833a4760012c6,1193508329,13380.144,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,67.0839
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",app,domain,sportsbook.draftkings.com,,4078.6384,0.00091334,63.4275
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Sudoku Puzzle Game,592fc29cc10833a4760012c6,1193508329,13380.144,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,56.9557
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Sudoku Puzzle Game,592fc29cc10833a4760012c6,1193508329,13380.144,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,46.7001
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Sudoku Puzzle Game,592fc29cc10833a4760012c6,1193508329,13380.144,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,draftkings.com,,14184.0704,0.00317627,42.499
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master GP,661556bb5b2dea6d39bb0063,com.easybrain.crossword.puzzles,8061.9121,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,40.4199
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Match IOS,5fdfae0fc5d4c9ab8efa6701,1545567989,7299.1855,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,36.5958
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master GP,661556bb5b2dea6d39bb0063,com.easybrain.crossword.puzzles,8061.9121,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,34.3174
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Match IOS,5fdfae0fc5d4c9ab8efa6701,1545567989,7299.1855,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,31.0707
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master GP,661556bb5b2dea6d39bb0063,com.easybrain.crossword.puzzles,8061.9121,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,28.1381
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master GP,661556bb5b2dea6d39bb0063,com.easybrain.crossword.puzzles,8061.9121,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,draftkings.com,,14184.0704,0.00317627,25.6068
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Match IOS,5fdfae0fc5d4c9ab8efa6701,1545567989,7299.1855,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,25.476
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Art Puzzle GP,5f33efea7aae9f000162155d,com.easybrain.art.puzzle,4962.1386,"casino.draftkings.com,draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,24.8786
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Match IOS,5fdfae0fc5d4c9ab8efa6701,1545567989,7299.1855,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,draftkings.com,,14184.0704,0.00317627,23.1842
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master IOS,66b372f5e33c9a548741ff37,6547858927,4410.9121,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,22.1149
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Puzzles IOS,5a30e47b794900452500459c,1324604053,4309.4034,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,21.606
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Logic Puzzle Game,59d39cbfef6627a809002d5b,com.easybrain.sudoku.android,4265.0582,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,21.3837
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Art Puzzle GP,5f33efea7aae9f000162155d,com.easybrain.art.puzzle,4962.1386,"casino.draftkings.com,draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,21.1225
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Scrabble Go,59e7db9b598ece421700ded4,1215933788,6051.7925,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,21.1223
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Blockudoku IOS,5c9c7a04d13ede0012e22ff2,1452227871,4177.5385,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,20.9449
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master IOS,66b372f5e33c9a548741ff37,6547858927,4410.9121,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,18.7761
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Puzzles IOS,5a30e47b794900452500459c,1324604053,4309.4034,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,18.344
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Logic Puzzle Game,59d39cbfef6627a809002d5b,com.easybrain.sudoku.android,4265.0582,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,18.1552
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Blockudoku IOS,5c9c7a04d13ede0012e22ff2,1452227871,4177.5385,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,17.7827
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Art Puzzle GP,5f33efea7aae9f000162155d,com.easybrain.art.puzzle,4962.1386,"casino.draftkings.com,draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,17.3191
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Scrabble Go,59e7dc15a81a003c1700ebfe,com.pieyel.scrabble,4870.4114,"casino.draftkings.com,draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,16.999
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Jigsaw Puzzles Android,5cb99eb2e520d93f2a43c588,com.easybrain.jigsaw.puzzles,3278.9761,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,16.4398
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Art Puzzle GP,5f33efea7aae9f000162155d,com.easybrain.art.puzzle,4962.1386,"casino.draftkings.com,draftkings.com",account,domain,draftkings.com,,14184.0704,0.00317627,15.7611
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master IOS,66b372f5e33c9a548741ff37,6547858927,4410.9121,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,15.3952
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Puzzles IOS,5a30e47b794900452500459c,1324604053,4309.4034,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,15.0409
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Logic Puzzle Game,59d39cbfef6627a809002d5b,com.easybrain.sudoku.android,4265.0582,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,14.8861
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Blockudoku GP,5dc290cf1051eb0012a6b214,com.easybrain.block.puzzle.games,2959.6395,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,14.8387
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Blockudoku IOS,5c9c7a04d13ede0012e22ff2,1452227871,4177.5385,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1375031369,DraftKings: Sports & Casino,15586.1815,0.00349025,14.5807
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master IOS,66b372f5e33c9a548741ff37,6547858927,4410.9121,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,draftkings.com,,14184.0704,0.00317627,14.0103
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Jigsaw Puzzles Android,5cb99eb2e520d93f2a43c588,com.easybrain.jigsaw.puzzles,3278.9761,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,market id,1462060332,DraftKings Casino - Real Money,19009.0063,0.00425673,13.9577
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Puzzles IOS,5a30e47b794900452500459c,1324604053,4309.4034,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,draftkings.com,,14184.0704,0.00317627,13.6878
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Logic Puzzle Game,59d39cbfef6627a809002d5b,com.easybrain.sudoku.android,4265.0582,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,draftkings.com,,14184.0704,0.00317627,13.547
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Blockudoku IOS,5c9c7a04d13ede0012e22ff2,1452227871,4177.5385,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,draftkings.com,,14184.0704,0.00317627,13.269
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Nonogram IOS,5c88efab1c2e1f6eb4ca10cc,1452992954,2522.3054,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",account,domain,casino.draftkings.com,,22389.2849,0.00501369,12.6461
