pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,exempted_dk_domains,conflict_count,account_level_conflicts,app_level_conflicts,est_uplift_daily,blocked_domains,blocked_market_ids
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Sudoku Puzzle Game,592fc29cc10833a4760012c6,1193508329,13380.144,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,225.4593,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master GP,661556bb5b2dea6d39bb0063,com.easybrain.crossword.puzzles,8061.9121,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,135.8455,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Match IOS,5fdfae0fc5d4c9ab8efa6701,1545567989,7299.1855,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,122.99329999999999,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Art Puzzle GP,5f33efea7aae9f000162155d,com.easybrain.art.puzzle,4962.1386,"casino.draftkings.com,draftkings.com",5,5,0,83.6134,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master IOS,66b372f5e33c9a548741ff37,6547858927,4410.9121,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,74.3252,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Puzzles IOS,5a30e47b794900452500459c,1324604053,4309.4034,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,72.6146,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Logic Puzzle Game,59d39cbfef6627a809002d5b,com.easybrain.sudoku.android,4265.0582,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,71.8674,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Blockudoku IOS,5c9c7a04d13ede0012e22ff2,1452227871,4177.5385,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,70.3928,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",1,0,1,63.4275,sportsbook.draftkings.com,
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Jigsaw Puzzles Android,5cb99eb2e520d93f2a43c588,com.easybrain.jigsaw.puzzles,3278.9761,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,55.2517,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Blockudoku GP,5dc290cf1051eb0012a6b214,com.easybrain.block.puzzle.games,2959.6395,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,49.8708,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Nonogram IOS,5c88efab1c2e1f6eb4ca10cc,1452992954,2522.3054,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,42.5016,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Easy Words GP,64f9e2ac8fb8ac04ca897cd1,com.easybrain.word.puzzle.game,2316.8434,"casino.draftkings.com,draftkings.com",5,5,0,39.0395,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Art Puzzle - iOS,5ef316979c3a0300015b0a03,1519174001,2211.0834,"casino.draftkings.com,draftkings.com",5,5,0,37.2574,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Pixel Art: Create by Number,5b61c1d3a5eacf3ee67a792c,com.europosit.pixelcoloring,2173.309,"casino.draftkings.com,draftkings.com",5,5,0,36.6209,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Solitaire – Classic Card Game,59c0bfe44b342c7f280015fe,1190849728,1907.0377,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,32.1342,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Nonogram Android,5d406c47cf18f200178643cf,com.easybrain.nonogram,1897.2346,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,31.9688,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Pixel Art - Color by Number,5a167dd1d0d008d90400a61d,1274972321,1640.7307,"casino.draftkings.com,draftkings.com",5,5,0,27.646800000000002,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Backgammon GP,615dd65a5e0f3b245d50aa97,com.easybrain.backgammon.board.games,1609.4442,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,27.1197,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku Killer iOS,5e84a5d1ce415a000187164f,1505735640,1530.1728,"casino.draftkings.com,draftkings.com",5,5,0,25.7838,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Easy Words IOS,66db113537f8220673f9e833,6612024746,1458.7926,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,24.5811,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Scrabble Go,59e7db9b598ece421700ded4,1215933788,6051.7925,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",2,2,0,22.554199999999998,,"1375031369,com.draftkings.sportsbook"
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Backgammon iOS,63974e72c5c2a3f1faf76b37,6443484197,1306.6428,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",5,5,0,22.0173,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com","1375031369,1462060332"
