pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,account_exempted_app_count,account_qualifying_app_count,account_exempted_apps_sample,dk_network_daily_total,network_daily_total,dk_network_share,est_uplift_daily
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong,653a33af7b1a3c2b6f2b138a,6468921495,44343.6723,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,423.282
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Tile Trip Android,6642cedde0cbed6459a1b75e,com.oakever.tiletrip,17574.8459,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,167.7605
Vinted,670cfa366f113e00119a799f,EMEA,Dumitru Cazacu,Vinted IOS,6716548809f72ec0f50798ed,632064380,16571.4791,1,2,Vinted Android,42626.6319,4465631.7571,0.00954549,158.1828
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Tile Trip iOS,6642cf9be0cbed6459a1b767,6498883328,12470.8511,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,119.0404
HITAPPS GAMES LTD,6021599b8b3e5600159fcc76,EMEA,Beth Taylor-Lowen,Word Solitaire: Associations IOS,68887aeb5f7b35e31f06647a,6748950306,11946.1403,2,4,Connect Word iOS; Connect Words Android,42626.6319,4465631.7571,0.00954549,114.0317
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Arrow Puzzle GP,69165ca6db8feadf7f6ab9aa,com.easybrain.arrow.puzzle.game,7759.5465,24,29,Art Puzzle - iOS; Art Puzzle GP; Backgammon iOS; Backgammon GP; Blockudoku GP,42626.6319,4465631.7571,0.00954549,74.0687
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,ZenWord iOS,641bbdc51e0260737618e232,1660171117,6353.112,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,60.6436
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Match GP,6049dfc28457e34b9883e80a,com.easybrain.number.puzzle.game,5496.3506,24,29,Art Puzzle - iOS; Art Puzzle GP; Backgammon iOS; Backgammon GP; Blockudoku GP,42626.6319,4465631.7571,0.00954549,52.4653
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,ZenWord Android,64cc9fcad4592a1f1c805a2c,kidultlovin.word.zen,4611.8852,6,26,Arrows GO! Android; Arrows GO! iOS; Jigsawcard iOS; Meowdoku And; Meowdoku iOS,42626.6319,4465631.7571,0.00954549,44.0227
ToGather Fun Limited,634d301fa3774b001b7c0dbc,APAC,Harper Zhang,Bubble Buster,67f64bb2ee3e8a4c67ae7434,6743385713,4427.062,1,10,Screw Sort Puzzle,42626.6319,4465631.7571,0.00954549,42.2585
HITAPPS GAMES LTD,6021599b8b3e5600159fcc76,EMEA,Beth Taylor-Lowen,Word Solitaire: Associations Android,68887b364afcdbfb426b9180,com.hitappsgames.wordsolitaire,3909.4677,2,4,Connect Word iOS; Connect Words Android,42626.6319,4465631.7571,0.00954549,37.3178
