pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,missing_combo,domain,rtb_account_id,country,combo_daily_spend,network_share,est_uplift_daily,exempted_combo_count,total_combos
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,Combo3,casino.draftkings.com,5f6413c9612b1a0015099993,CA,7902.2809,0.00176958,122.8896,6,10
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,Combo4,draftkings.com,602442ef9f0893001526406b,US,3830.5002,0.00085777,59.5687,6,10
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,FreeReels-安卓,689b0fdef369593cb0e287e9,com.freereels.app,35620.5561,Combo5,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,3465.1714,0.00077596,27.6403,6,10
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Meowdoku iOS,69e0a6fab6a93be17be970f3,6761760135,15211.7956,Combo3,casino.draftkings.com,5f6413c9612b1a0015099993,CA,7902.2809,0.00176958,26.9184,2,10
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Sudoku Puzzle Game,592fc29cc10833a4760012c6,1193508329,13380.144,Combo3,casino.draftkings.com,5f6413c9612b1a0015099993,CA,7902.2809,0.00176958,23.6772,6,10
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Arrows GO! Android,69845ea1e6f73fe2b5840739,com.oakever.arrows,13278.6625,Combo3,casino.draftkings.com,5f6413c9612b1a0015099993,CA,7902.2809,0.00176958,23.4976,2,10
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,Combo6,draftkings.com,5f6413c9612b1a0015099993,CA,1296.3796,0.0002903,20.1602,6,10
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,19.055,6,10
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,dramawave-安卓,67c0237dee9356aafba1ccdb,com.dramawave.app,23919.9714,Combo5,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,3465.1714,0.00077596,18.561,6,10
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master GP,661556bb5b2dea6d39bb0063,com.easybrain.crossword.puzzles,8061.9121,Combo3,casino.draftkings.com,5f6413c9612b1a0015099993,CA,7902.2809,0.00176958,14.2662,6,10
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Meowdoku iOS,69e0a6fab6a93be17be970f3,6761760135,15211.7956,Combo4,draftkings.com,602442ef9f0893001526406b,US,3830.5002,0.00085777,13.0483,2,10
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Match IOS,5fdfae0fc5d4c9ab8efa6701,1545567989,7299.1855,Combo3,casino.draftkings.com,5f6413c9612b1a0015099993,CA,7902.2809,0.00176958,12.9165,6,10
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Meowdoku And,69e0a7d4b6a93be17be97116,com.oakever.meowdoku,6974.7269,Combo3,casino.draftkings.com,5f6413c9612b1a0015099993,CA,7902.2809,0.00176958,12.3423,2,10
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Meowdoku iOS,69e0a6fab6a93be17be970f3,6761760135,15211.7956,Combo5,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,3465.1714,0.00077596,11.8038,2,10
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Sudoku Puzzle Game,592fc29cc10833a4760012c6,1193508329,13380.144,Combo4,draftkings.com,602442ef9f0893001526406b,US,3830.5002,0.00085777,11.4771,6,10
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Arrows GO! Android,69845ea1e6f73fe2b5840739,com.oakever.arrows,13278.6625,Combo4,draftkings.com,602442ef9f0893001526406b,US,3830.5002,0.00085777,11.3901,2,10
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Paper.io 2,5b83e2f3ebcb4a0f62d80e85,1423046460,13243.7217,Combo4,draftkings.com,602442ef9f0893001526406b,US,3830.5002,0.00085777,11.3601,8,10
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,Goods Sorting: Match 3 Puzzle iOS PM_1945,661898f2c0c070078a977fb4,6482849843,6385.6497,Combo3,casino.draftkings.com,5f6413c9612b1a0015099993,CA,7902.2809,0.00176958,11.2999,2,10
X-FLOW LTD,5b1526a7de961d3317b1d475,EMEA,Kseniia Fesenko,Happy Color iOS (NEW),603cf6d080c4a228357168ea,1407852246,13623.4338,Combo5,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,3465.1714,0.00077596,10.5713,6,10
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,SmartNews iOS,67d272dadc73e19db732c198,579581125,13606.7959,Combo5,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,3465.1714,0.00077596,10.5584,6,10
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Arrows GO! Android,69845ea1e6f73fe2b5840739,com.oakever.arrows,13278.6625,Combo5,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,3465.1714,0.00077596,10.3038,2,10
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,FreeReels-安卓,689b0fdef369593cb0e287e9,com.freereels.app,35620.5561,Combo8,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1178.8851,0.00026399,9.4035,6,10
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master IOS,66b372f5e33c9a548741ff37,6547858927,4410.9121,Combo3,casino.draftkings.com,5f6413c9612b1a0015099993,CA,7902.2809,0.00176958,7.8055,6,10
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Puzzles IOS,5a30e47b794900452500459c,1324604053,4309.4034,Combo3,casino.draftkings.com,5f6413c9612b1a0015099993,CA,7902.2809,0.00176958,7.6258,6,10
