pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,total_combos,exempted_combo_count,missing_combo_count,missing_combos,dk_app_daily_spend_exempted,exempted_combo_network_daily,missing_combo_network_daily,dk_combo_network_daily_total,penetration_rate,est_uplift_missed_daily
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,Phase 10 iOS,5d81c924bf4aa20017e95920,1463509237,2148.0516,10,6,4,"Combo3,Combo4,Combo6,Combo7",175.8492,28372.1576,14254.4743,42626.6319,0.00412534,58.8045
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Arrows GO! iOS,69c2954b7c25f96d75ccd5f2,6758326278,2911.1141,10,2,8,"Combo3,Combo4,Combo5,Combo6,Combo7,Combo8,Combo9,Combo10",82.7754,22824.9941,19801.6378,42626.6319,0.00194187,38.4522
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,dramawave-安卓,67c0237dee9356aafba1ccdb,com.dramawave.app,23919.9714,10,6,4,"Combo5,Combo8,Combo9,Combo10",175.7501,37079.4684,5547.1635,42626.6319,0.00412301,22.871
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Scrabble Go,59e7db9b598ece421700ded4,1215933788,6051.7925,10,8,2,"Combo4,Combo7",121.1704,37570.8181,5055.8138,42626.6319,0.0028426,14.3716
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Mob Control,60994b96c5d1524132e8e1a7,1562817072,1920.8751,10,8,2,"Combo4,Combo7",120.6636,37570.8181,5055.8138,42626.6319,0.00283071,14.3115
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Solitaire - Card Game,64a41edf830ec394da0090b7,com.playvalve.solitaire,815.1386,10,6,4,"Combo3,Combo4,Combo6,Combo7",33.4532,28372.1576,14254.4743,42626.6319,0.0007848,11.1869
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,Skip-Bo iOS,60891c6075dd9017131842c0,1538912205,663.0106,10,6,4,"Combo3,Combo4,Combo6,Combo7",32.5177,28372.1576,14254.4743,42626.6319,0.00076285,10.874
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Spades Stars,65ba16acd5857e078ac1c087,6467129657,581.0344,10,6,4,"Combo3,Combo4,Combo6,Combo7",25.6423,28372.1576,14254.4743,42626.6319,0.00060156,8.5749
FARSUN PTE LTD,66aafef7514c00001147c0c9,APAC,Harper Zhang,FlickReels,66ac9c873343191babdad3e8,com.zyhwplatform.shortplay,1012.3075,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",32.1061,32023.6546,10602.9773,42626.6319,0.00075319,7.9861
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Water Sortpuz,64e4c1ec575deb9efd61dafb,1615960653,594.5179,10,6,4,"Combo3,Combo4,Combo6,Combo7",22.1799,28372.1576,14254.4743,42626.6319,0.00052033,7.417
