account_id,cat_blocklist,error
67b5b2c077bd1c00117b9adc,"[""V1-1"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-9"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-6""]",
6107c3b4abaef100175b9029,"[""V1-1"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-7"", ""V1-9"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14""]",
66e0182c82571e00117d2acb,"[""V1-13""]",
5c05196699e4374b87bda3b9,"[""V1-1"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-9"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V2-1"", ""V2-16"", ""V2-21""]",
5aafdd4a0520357fabf54aa6,"[""V1-1"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-7"", ""V1-9"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V2-16"", ""V1-6""]",
5fe2fafd6013fb0015208652,"[""V1-13"", ""V1-14""]",
67078359be02e20011a686ec,"[""V1-1"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-9"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14""]",
680748860437920011951532,"[""V1-13"", ""V1-14"", ""V1-6""]",
664e27f28ffbbf0011f1d3b8,"[""V1-13"", ""V1-14""]",
684c3af4806ba9001147f9cd,"[""V1-4"", ""V1-13"", ""V1-6"", ""V1-9"", ""V1-14"", ""V2-11"", ""V2-16""]",
5af5b8f9e408f136156e7cae,"[""V1-1"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-9"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V2-2""]",
5b1526a7de961d3317b1d475,"[""V1-1"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-7"", ""V1-9"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V2-21"", ""V2-18"", ""V2-13"", ""V2-14"", ""V2-9"", ""V2-16"", ""V1-6""]",
56d55c72562b9c353800000d,"[""V1-1"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-9"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-7""]",
6247027c20721a0018bb6528,"[""V1-4"", ""V1-13"", ""V1-14""]",
59e4bb543f0fa9a20900afa3,"[""V1-1"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-7"", ""V1-9"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14""]",
670cfa366f113e00119a799f,"[""V1-1"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-7"", ""V1-9"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V2-16"", ""V2-21"", ""V2-1"", ""V1-6"", ""V2-11""]",
6920858f3fcd392133e22a59,"[""V1-1"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-7"", ""V1-9"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-6"", ""V2-16"", ""V2-3"", ""V2-15"", ""V2-11""]",
6297c4bc012073001b3df035,"[""V1-1"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-9"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14""]",
