Adomain,Total Daily Spend ($),IAB Spend Breakdown
kalshi.com,166364.19,"IAB13 (99.5%), IAB13-7 (0.4%), IAB9-7 (0.1%)"
draftkings.com,31338.28,"IAB17 (90.7%), IAB9-7 (6.8%), IAB9 (2.5%), IAB3 (0.0%), IAB11-4 (0.0%), IAB1-8 (0.0%), IAB1 (0.0%), IAB22 (0.0%), IAB12 (0.0%)"
robinhood.com,18738.97,"IAB13-4 (79.0%), IAB13 (21.0%), IAB13-7 (0.0%), IAB3 (0.0%), IAB13-11 (0.0%)"
polymarket.us,17856.29,"IAB12 (100.0%), IAB3 (0.0%), IAB17 (0.0%), IAB1-3 (0.0%)"
prizepicks.com,14941.66,"IAB17 (98.6%), IAB1 (1.4%), IAB4 (0.0%), IAB3 (0.0%), IAB9-7 (0.0%)"
sportsbook.draftkings.com,6300.47,"IAB9-7 (100.0%), IAB3 (0.0%), IAB17 (0.0%), IAB24 (0.0%), IAB3-11 (0.0%), IAB1-3 (0.0%)"
betway.com,5562.11,"IAB9-7 (75.5%), IAB17 (16.2%), IAB9 (8.2%), IAB3 (0.0%), IAB22 (0.0%), IAB1-9 (0.0%), IAB1-8 (0.0%), IAB1-3 (0.0%), IAB13-3 (0.0%), IAB25 (0.0%), IAB24 (0.0%), IAB1 (0.0%)"
hardrock.bet,2353.15,"IAB9-7 (47.1%), IAB17 (43.1%), IAB1 (9.8%), IAB3 (0.0%), IAB9 (0.0%), IAB19-18 (0.0%), IAB9-30 (0.0%), IAB19-1 (0.0%), IAB13 (0.0%), IAB1-3 (0.0%), IAB24 (0.0%), IAB3-11 (0.0%)"
sports.nj.betmgm.com,2029.1,"IAB17 (100.0%), IAB1 (0.0%), IAB9-7 (0.0%)"
coral.co.uk,1741.58,"IAB17 (56.9%), IAB9 (43.1%)"
sports.ladbrokes.com,1534.78,IAB17 (100.0%)
sports.bwin.es,1263.61,"IAB17 (86.0%), IAB9 (14.0%), IAB9-7 (0.0%)"
trading212.com,1086.49,IAB13 (100.0%)
betrivers.com,673.63,"IAB17 (41.2%), IAB9 (38.3%), IAB9-7 (17.1%), IAB3 (2.4%), IAB19-29 (1.0%), IAB17-12 (0.0%), IAB24 (0.0%), IAB1001 (0.0%), IAB1 (0.0%), IAB1-3 (0.0%), IAB22 (0.0%), IAB25 (0.0%)"
indrive.com,642.73,"IAB20 (63.4%), IAB20-6 (36.6%), IAB19 (0.0%), IAB19-18 (0.0%), IAB3 (0.0%)"
m.betclic.pt,629.88,"IAB9-7 (100.0%), IAB17 (0.0%)"
novig.us,611.33,"IAB17 (100.0%), IAB3 (0.0%)"
on.sportsinteraction.com,463.42,"IAB17 (100.0%), IAB3 (0.0%)"
sports.betmgm.com,353.95,"IAB17 (99.4%), IAB9-7 (0.6%), IAB3 (0.0%)"
ladbrokes.com,335.88,IAB9 (100.0%)
betclic.pt,304.92,"IAB9-7 (100.0%), IAB17 (0.0%)"
22bet.co.ke,271.12,"IAB9-7 (83.5%), IAB9 (10.6%), IAB17 (5.9%)"
tonybet.com,205.69,"IAB9 (100.0%), IAB9-7 (0.0%), IAB3 (0.0%), IAB1-3 (0.0%)"
getfliff.com,178.87,"IAB9-7 (63.7%), IAB9 (36.3%), IAB9-30 (0.0%), IAB3 (0.0%)"
tonybet.es,144.27,IAB9 (100.0%)
betmgm.co.uk,136.88,"IAB17 (100.0%), IAB9-7 (0.0%)"
tonybet.ca,136.42,"IAB9 (100.0%), IAB3 (0.0%)"
underdogfantasy.com,93.56,"IAB9-7 (100.0%), IAB17 (0.0%)"
sports.bwin.com,78.73,IAB17 (100.0%)
help.kalshi.com,68.51,"IAB13 (100.0%), IAB3 (0.0%)"
sports.bwin.de,48.23,IAB17 (100.0%)
sports.on.betmgm.ca,44.32,"IAB17 (100.0%), IAB3 (0.0%)"
matryoshka.com,37.26,"IAB9 (78.7%), IAB1 (21.3%), IAB9-5 (0.1%)"
22bet.com,28.88,"IAB17 (92.8%), IAB9-7 (7.2%), IAB3 (0.0%)"
pa.playsugarhouse.com,22.66,IAB9 (100.0%)
22bet.ng,15.14,IAB17 (100.0%)
on.betrivers.ca,13.09,"IAB9-7 (81.2%), IAB3 (18.8%), IAB1-3 (0.0%)"
20bet.com,9.8,IAB9 (100.0%)
betmgm.com,1.3,IAB9-7 (100.0%)
play.betriversmichigan.com,0.0,no spend in window
m.betclic.pl,0.0,no spend in window
fanaticscollect.com,0.0,no spend in window
com.pwcc.mobile,0.0,no spend in window
fanatics.live,0.0,no spend in window
holafly.com,0.0,no spend in window
sports.coral.co.uk,0.0,no spend in window
