adomain,iab_code,spend,daily_spend
kalshi.com,IAB13,1158445.2357983398,165492.1765
draftkings.com,IAB17,198939.08713385992,28419.8696
polymarket.us,IAB12,124992.80501200019,17856.115
robinhood.com,IAB13-4,103574.68862479356,14796.3841
prizepicks.com,IAB17,103178.14562848784,14739.7351
sportsbook.draftkings.com,IAB9-7,44102.75741334997,6300.3939
betway.com,IAB9-7,29404.66762037319,4200.6668
robinhood.com,IAB13,27597.902129000046,3942.5574
draftkings.com,IAB9-7,14897.787041008141,2128.2553
sports.nj.betmgm.com,IAB17,14203.68001398796,2029.0971
sports.ladbrokes.com,IAB17,10743.484195,1534.7835
hardrock.bet,IAB9-7,7752.416617108245,1107.4881
sports.bwin.es,IAB17,7611.160943259975,1087.3087
trading212.com,IAB13,7605.465254604993,1086.495
hardrock.bet,IAB17,7102.670934870016,1014.6673
coral.co.uk,IAB17,6937.912687000004,991.1304
betway.com,IAB17,6314.021664688852,902.0031
draftkings.com,IAB9,5530.1514810000035,790.0216
coral.co.uk,IAB9,5253.161859000016,750.4517
kalshi.com,IAB13-7,5015.1749302860035,716.4536
m.betclic.pt,IAB9-7,4408.273306000036,629.7533
novig.us,IAB17,4279.044376000003,611.2921
on.sportsinteraction.com,IAB17,3243.7059447361157,463.3866
betway.com,IAB9,3191.4516816916707,455.9217
indrive.com,IAB20,2851.7743650592747,407.3963
sports.betmgm.com,IAB17,2463.0736493400004,351.8677
ladbrokes.com,IAB9,2351.1497380000023,335.8785
betclic.pt,IAB9-7,2133.621002000001,304.803
betrivers.com,IAB17,1942.3803559277364,277.4829
betrivers.com,IAB9,1806.4338191975032,258.062
indrive.com,IAB20-6,1647.2119004649796,235.316
hardrock.bet,IAB1,1616.644969999996,230.9493
22bet.co.ke,IAB9-7,1584.678956037411,226.3827
tonybet.com,IAB9,1439.7373100000045,205.6768
prizepicks.com,IAB1,1413.3273585602226,201.9039
sports.bwin.es,IAB9,1234.1194270000037,176.3028
kalshi.com,IAB9-7,1088.9040670229685,155.5577
tonybet.es,IAB9,1009.9052189999961,144.2722
betmgm.co.uk,IAB17,958.0468510000001,136.8638
tonybet.ca,IAB9,954.8454679999979,136.4065
betrivers.com,IAB9-7,807.3378996766953,115.334
getfliff.com,IAB9-7,797.6628109999988,113.9518
underdogfantasy.com,IAB9-7,654.9281626448367,93.5612
sports.bwin.com,IAB17,551.1184899999986,78.7312
help.kalshi.com,IAB13,479.51539699999915,68.5022
getfliff.com,IAB9,454.1893519999994,64.8842
sports.bwin.de,IAB17,337.6149189999987,48.2307
sports.on.betmgm.ca,IAB17,310.24024800000075,44.32
matryoshka.com,IAB9,205.16710399999985,29.3096
22bet.co.ke,IAB9,200.24947100000077,28.6071
22bet.com,IAB17,187.53811199999888,26.7912
pa.playsugarhouse.com,IAB9,158.6479199999998,22.664
22bet.co.ke,IAB17,112.87660300000003,16.1252
