adomain,iab_code,total_7d_spend,daily_spend
kalshi.com,IAB13,519687.8007518111,74241.1144
robinhood.com,IAB13-4,90424.49112348282,12917.7844
polymarket.us,IAB12,66996.40316799998,9570.9147
draftkings.com,IAB17,55919.163517012785,7988.4519
prizepicks.com,IAB17,34816.703274881795,4973.8148
betway.com,IAB9-7,25718.601318823108,3674.0859
sportsbook.draftkings.com,IAB9-7,14509.570552999983,2072.7958
robinhood.com,IAB13,14408.005525999984,2058.2865
draftkings.com,IAB9-7,12707.620690999978,1815.3744
hardrock.bet,IAB17,8737.551430000029,1248.2216
sports.ladbrokes.com,IAB17,8675.103190999971,1239.3005
sports.nj.betmgm.com,IAB17,7566.582436999989,1080.9403
draftkings.com,IAB9,7105.337446000034,1015.0482
trading212.com,IAB13,6035.556863999993,862.2224
coral.co.uk,IAB9,5718.110988,816.873
coral.co.uk,IAB17,4996.624927999978,713.8036
sports.bwin.es,IAB17,4845.174735999992,692.1678
indrive.com,IAB20,3789.3758200000066,541.3394
betway.com,IAB17,3529.0490490000134,504.1499
m.betclic.pt,IAB9-7,3402.231362000011,486.0331
betway.com,IAB9,3371.3323490739795,481.6189
ladbrokes.com,IAB9,2885.4979979999994,412.214
hardrock.bet,IAB1,2522.895085999986,360.4136
betrivers.com,IAB17,2334.284359999999,333.4692
getfliff.com,IAB9-7,2150.2916680000035,307.1845
novig.us,IAB17,2088.136317,298.3052
betrivers.com,IAB9,2065.608648000001,295.0869
on.sportsinteraction.com,IAB17,2052.0044810000063,293.1435
getfliff.com,IAB9,1963.4679949999988,280.4954
hardrock.bet,IAB9-7,1727.1045529999994,246.7292
sports.betmgm.com,IAB17,1585.8853560000048,226.5551
22bet.co.ke,IAB9-7,1577.4687818885081,225.3527
robinhood.com,IAB13-7,1474.9854522922287,210.7122
kalshi.com,IAB13-7,1412.677525852329,201.8111
betclic.pt,IAB9-7,1265.019692,180.7171
sports.bwin.es,IAB9,865.1051310000048,123.5864
tonybet.ca,IAB9,814.7016699999991,116.386
tonybet.com,IAB9,800.0850450000029,114.2979
betmgm.co.uk,IAB17,727.2462520000007,103.8923
underdogfantasy.com,IAB9-7,673.6340736707723,96.2334
sports.on.betmgm.ca,IAB17,497.2033039999998,71.029
tonybet.es,IAB9,487.93301500000024,69.7047
help.kalshi.com,IAB13,377.95049300000056,53.9929
sports.bwin.de,IAB17,323.7675960000001,46.2525
sports.bwin.com,IAB17,301.9081140000002,43.1297
22bet.com,IAB17,190.7109220000013,27.2444
matryoshka.com,IAB9,186.49070999999955,26.6415
22bet.co.ke,IAB9,165.39016300000085,23.6272
pa.playsugarhouse.com,IAB9,148.42479700000007,21.2035
22bet.ng,IAB17,89.59892900000003,12.7998
20bet.com,IAB9,47.86919299999993,6.8385
