adomain,iab_codes,total_7d_spend,daily_spend
kalshi.com,"IAB13,IAB13-7",521100.48,74442.93
help.kalshi.com,IAB13,377.95,53.99
polymarket.us,IAB12,66996.4,9570.91
fanatics.live,,0.0,0.0
com.pwcc.mobile,,0.0,0.0
fanaticscollect.com,,0.0,0.0
betmgm.com,,0.0,0.0
sports.on.betmgm.ca,IAB17,497.2,71.03
sports.betmgm.com,IAB17,1585.89,226.56
sports.nj.betmgm.com,IAB17,7566.58,1080.94
betmgm.co.uk,IAB17,727.25,103.89
draftkings.com,"IAB17,IAB9,IAB9-7",75732.12,10818.87
sportsbook.draftkings.com,IAB9-7,14509.57,2072.8
hardrock.bet,"IAB1,IAB17,IAB9-7",12987.55,1855.36
betrivers.com,"IAB17,IAB9",4399.89,628.56
on.betrivers.ca,,0.0,0.0
play.betriversmichigan.com,,0.0,0.0
pa.playsugarhouse.com,IAB9,148.42,21.2
prizepicks.com,IAB17,34816.7,4973.81
novig.us,IAB17,2088.14,298.31
getfliff.com,"IAB9,IAB9-7",4113.76,587.68
underdogfantasy.com,IAB9-7,673.63,96.23
robinhood.com,"IAB13,IAB13-4,IAB13-7",106307.48,15186.78
sports.bwin.com,IAB17,301.91,43.13
sports.bwin.es,"IAB17,IAB9",5710.28,815.75
sports.bwin.de,IAB17,323.77,46.25
coral.co.uk,"IAB17,IAB9",10714.74,1530.68
sports.coral.co.uk,,0.0,0.0
ladbrokes.com,IAB9,2885.5,412.21
sports.ladbrokes.com,IAB17,8675.1,1239.3
on.sportsinteraction.com,IAB17,2052.0,293.14
m.betclic.pl,,0.0,0.0
betclic.pt,IAB9-7,1265.02,180.72
m.betclic.pt,IAB9-7,3402.23,486.03
betway.com,"IAB17,IAB9,IAB9-7",32618.98,4659.85
indrive.com,IAB20,3789.38,541.34
20bet.com,IAB9,47.87,6.84
22bet.ng,IAB17,89.6,12.8
22bet.com,IAB17,190.71,27.24
22bet.co.ke,"IAB9,IAB9-7",1742.86,248.98
tonybet.com,IAB9,800.09,114.3
tonybet.es,IAB9,487.93,69.7
tonybet.ca,IAB9,814.7,116.39
trading212.com,IAB13,6035.56,862.22
holafly.com,,0.0,0.0
matryoshka.com,IAB9,186.49,26.64
