Level,Account ID,Account Name,App ID,App Name,AM Name,AM Region,Publisher Daily Spend ($),Adomain,Adomain Daily Spend ($),Estimated Uplift ($),IAB Codes,Internal Cat Codes,Blocked Cat Names,Block Type,Domain Blocked,Category Blocked,Blocked Cat Codes,Has Exemption,Exemption Details
account,68799f38babc2000110fe539,Duolingo,,,,,51089.77,20bet.com,6.84,0.08,IAB9,,,domain,True,False,,False,
account,69834b2ea3ac73e99b7077db,Teamsnap,,,,,5271.41,20bet.com,6.84,0.01,IAB9,,,domain,True,False,,False,
account,6863fe9df000940011f80bcb,Chesscom LLC,,,,,4368.47,20bet.com,6.84,0.01,IAB9,,,domain,True,False,,False,
account,68f9f5db75ceafc7a8ee6155,LiveScore,,,,,1978.07,20bet.com,6.84,0.0,IAB9,,,domain,True,False,,False,
account,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,,,,,205458.71,22bet.co.ke,248.98,10.31,"IAB9,IAB9-7",V1-6,V1-6 (Gambling),category,False,True,V1-6,False,
app,606c7bac7a37680015801ad8,jiayou,633549fb3901c096a37b2893,Block Juggle—GP,,,73570.5,22bet.co.ke,248.98,4.08,"IAB9,IAB9-7",V1-6,,domain,True,False,,False,
account,68799f38babc2000110fe539,Duolingo,,,,,51089.77,22bet.co.ke,248.98,2.56,"IAB9,IAB9-7",V1-6,V1-6 (Gambling),category,False,True,V1-6,False,
app,67c01767cc8ae200116e5d00,Skywork AI PTELTD,689b0fdef369593cb0e287e9,FreeReels-安卓,,,39398.86,22bet.co.ke,248.98,1.98,"IAB9,IAB9-7",V1-6,V1-6 (Gambling),category,False,True,V1-6,False,
account,5d3a5de9ddc71000189c7a84,"Shanghai Linguan Data Co., Ltd.",,,,,27886.52,22bet.co.ke,248.98,1.4,"IAB9,IAB9-7",V1-6,V1-6 (Gambling),category,False,True,V1-6,False,
account,66f36da16f113e0011999ff8,Meitu China,,,,,24584.12,22bet.co.ke,248.98,1.23,"IAB9,IAB9-7",V1-6,V1-6 (Gambling),category,False,True,V1-6,False,
account,64c3551f1e5137001122d418,BYTEDANCE PTE LTD,,,,,21052.62,22bet.co.ke,248.98,1.06,"IAB9,IAB9-7",V1-6,V1-6 (Gambling),category,False,True,V1-6,False,
app,69379d46192ce0aadaecc874,Particle Media Inc,69437e6fed3b627e3079edb8,NewsBreak: Local News & Alerts,,,20734.58,22bet.co.ke,248.98,1.04,"IAB9,IAB9-7",V1-6,V1-6 (Gambling),category,False,True,V1-6,False,
account,5b1526a7de961d3317b1d475,X-FLOW LTD,,,,,19213.74,22bet.co.ke,248.98,0.96,"IAB9,IAB9-7",V1-6,V1-6 (Gambling),category,False,True,V1-6,False,
account,65532f6b6cdf5900118d1f51,STORYMATRIX PTE LTD,,,,,13494.6,22bet.co.ke,248.98,0.68,"IAB9,IAB9-7",V1-6,V1-6 (Gambling),category,False,True,V1-6,False,
account,5efeed113191d60018f0f4e0,LY Corporation,,,,,13491.98,22bet.co.ke,248.98,0.68,"IAB9,IAB9-7",V1-6,V1-6 (Gambling),category,False,True,V1-6,False,
account,64075f57d6da1900141e5aba,Code Dish GmbH,,,,,11682.04,22bet.co.ke,248.98,0.59,"IAB9,IAB9-7",V1-6,V1-6 (Gambling),category,False,True,V1-6,False,
account,67b5b2c077bd1c00117b9adc,Sofa IT doo,,,,,11321.77,22bet.co.ke,248.98,0.57,"IAB9,IAB9-7",V1-6,V1-6 (Gambling),category,False,True,V1-6,False,
account,5c52bd6ffbeb402419bef87d,SYBO Games,,,,,9010.28,22bet.co.ke,248.98,0.45,"IAB9,IAB9-7",V1-6,V1-6 (Gambling),category,False,True,V1-6,False,
account,680748860437920011951532,BeSoccer,,,,,7540.87,22bet.co.ke,248.98,0.38,"IAB9,IAB9-7",V1-6,V1-6 (Gambling),category,False,True,V1-6,False,
app,5aafdd4a0520357fabf54aa6,Badoo,5aafe5c62567717fa575bfc1,Badoo - The Dating App,,,7054.85,22bet.co.ke,248.98,0.35,"IAB9,IAB9-7",V1-6,V1-6 (Gambling),category,False,True,V1-6,False,
account,5d8880f1444f7200181b5e1d,Lihuhu,,,,,6699.63,22bet.co.ke,248.98,0.34,"IAB9,IAB9-7",V1-6,V1-6 (Gambling),category,False,True,V1-6,False,
