market_id,app_name,account_name,am_name,total_spend_90d,non_vx_spend_90d,vx_spend_90d,vx_spend_pct_90d,vx_rank_90d,exchanges_above_vx_90d,from_previous_analysis,total_spend_30d,non_vx_spend_30d,vx_spend_30d,vx_spend_pct_30d,vx_rank_30d,exchanges_above_vx_30d,won_or_lost_rank_30d
1617391485,Block Blast-ios,jiayou,Sunton Sun,12231811.926915742,4851247.771364916,7380564.155550827,60.34,1,,,3507511.956136897,1373543.4780545405,2133968.4780823565,60.84,1,,Held
com.block.juggle,Block Juggle—GP,jiayou,Sunton Sun,4449054.683211286,2067117.6131388296,2381937.070072456,53.54,1,,,1345248.760708182,632292.0090889371,712956.7516192449,53.0,1,,Held
766443283,IOS | Flashscore: Live Scores & News,Livesport sro,Louis Wallworth,3888034.171786315,315911.6917547229,3572122.480031592,91.87,1,,,498250.5906442952,118316.32044877176,379934.27019552345,76.25,1,,Held
6468921495,Vita Mahjong,OAKEVER GAMES PTE LTD,Aria Gao,3637116.141616899,2523557.377292864,1113558.7643240355,30.62,1,,,1013623.6315528636,713174.7345688506,300448.8969840129,29.64,1,,Held
319881193,Grindr - iOS,Grindr,Kasey Geist,3296217.846543146,2681204.218192319,615013.6283508268,18.66,3,"APPODEAL, VERVE",,970451.392821899,826683.581598011,143767.81122388807,14.81,3,"APPODEAL, VERVE",Held
591560124,Musi - Simple Music Streaming,Musi Inc.,Matthew Hong,3002737.8156708702,1579415.5609422978,1423322.2547285722,47.4,1,,,871185.4192659801,461453.9102497811,409731.509016199,47.03,1,,Held
359917414,iOS Solitaire,Mobility Ware,Natalie Kenyon,2842637.0997809246,1101464.7341285318,1741172.365652393,61.25,1,,,900281.884134932,342738.45666001184,557543.4274749202,61.93,1,,Held
com.vitastudio.mahjong,Vita Mahjong Android,OAKEVER GAMES PTE LTD,Aria Gao,2496606.1010357803,1402888.7345867916,1093717.366448989,43.81,1,,,732168.246107898,431528.0600538767,300640.1860540212,41.06,1,,Held
6748950306,Word Solitaire: Associations IOS,HITAPPS GAMES LTD,Beth Taylor-Lowen,2358344.7662241342,950441.3825861552,1407903.3836379792,59.7,1,,,758505.1387424236,251541.3190614833,506963.8196809403,66.84,1,,Held
553834731,Candy Crush Saga_iOS,Activision Blizzard Media (King),Kasey Geist,2179799.77929949,966882.3866071248,1212917.3926923652,55.64,1,,,651742.374187905,322226.15443395975,329516.21975394525,50.56,1,,Held
com.xiaomi.mipicks,com.xiaomi.mipicks,Xiaomi Group,Sunton Sun,2086662.6584742384,948468.1101289836,1138194.5483452547,54.55,1,,,594628.4344484266,261745.25280618848,332883.1816422381,55.98,1,,Held
468996152,OfferUp iOS,OfferUp,Kasey Geist,2079242.0710387328,205625.4617149724,1873616.6093237605,90.11,1,,,496329.8076159929,36105.795941000535,460224.0116749924,92.73,1,,Held
295646461,Weather - The Weather Channel,The Weather Company,Lisa Tolentino,2038132.0703989028,862314.7089879166,1175817.3614109862,57.69,1,,,438067.7311940097,375993.29916801327,62074.43202599645,14.17,3,"APPODEAL, VERVE",Lost
