market_id,exchange,ad_format,revenue,creative_type
1617391485,VUNGLE,interstitial,5539378.650747254,video
766443283,VUNGLE,interstitial,3080601.9039934394,video
com.block.juggle,VUNGLE,interstitial,2164908.9769736626,video
359917414,VUNGLE,interstitial,1685007.0870461927,video
468996152,VUNGLE,interstitial,1562167.6283806514,video
570060128,VUNGLE,interstitial,1493660.7925130662,video
com.snaptube.premium,VUNGLE,interstitial,1324308.2697653188,video
553834731,VUNGLE,interstitial,1207975.478139345,video
6748950306,VUNGLE,interstitial,1158969.2430469422,video
com.block.juggle,INNERACTIVE_DIRECT,interstitial,1151547.1545309923,video
com.dywx.larkplayer,VUNGLE,interstitial,1142398.0865321567,video
com.xiaomi.mipicks,VUNGLE,native,1134417.9758830296,non_video
281940292,VERVE,interstitial,1130269.6127999877,video
com.vitastudio.mahjong,VUNGLE,interstitial,1082617.7441619905,video
6468921495,VUNGLE,interstitial,1082409.1434330035,video
com.eyecon.global,VUNGLE,interstitial,1073806.5149790128,video
1617391485,VUNGLE,native,974426.1334896008,non_video
319881193,APPODEAL,interstitial,942351.2356079943,video
382233851,VUNGLE,interstitial,923627.6847637425,video
571801488,VUNGLE,interstitial,872257.8933711124,video
1598997500,VUNGLE,interstitial,865822.046293468,video
1600525061,VUNGLE,interstitial,863455.3843042124,video
305343404,VUNGLE,interstitial,859986.9459543717,video
6744975195,VUNGLE,interstitial,846791.0314259615,video
6468921495,APPODEAL,interstitial,844734.0196809813,video
591560124,VUNGLE,interstitial,844663.6377769709,video
1617391485,VUNGLE,banner,838225.2654954226,non_video
1636235979,VUNGLE,interstitial,813826.9702047936,video
6504849169,VUNGLE,interstitial,804988.1277260208,video
1617391485,INNERACTIVE_DIRECT,interstitial,776040.1231570094,video
1617391485,INMOBI,interstitial,745652.8643079888,video
1370293473,VUNGLE,interstitial,723972.451253904,video
399355755,VUNGLE,interstitial,694023.946485889,video
632064380,VUNGLE,native,680682.3333108979,non_video
6449206831,VUNGLE,interstitial,673730.3261406244,video
359917414,APPODEAL,interstitial,670196.613754042,video
com.newleaf.app.android.victor,VUNGLE,interstitial,656009.7807708534,video
1617391485,BIGO,interstitial,651058.1104350183,video
1496354836,VUNGLE,interstitial,647326.6139009985,video
1638139403,VUNGLE,interstitial,640993.2891809872,video
295646461,VUNGLE,interstitial,640230.0816630241,video
6468921495,VERVE,interstitial,637659.880309979,video
com.metropcs.metrozone,VUNGLE,interstitial,618922.1730433014,video
com.duolingo,VUNGLE,interstitial,608075.1730710783,video
1207472156,VUNGLE,interstitial,604964.7296080012,video
net.zedge.android,VUNGLE,interstitial,604630.1374749943,video
6464002625,VUNGLE,interstitial,601773.4546789932,video
Vidmate,VUNGLE,interstitial,599649.7375990538,video
1103438575,VUNGLE,interstitial,556094.9468949815,video
569077959,VUNGLE,interstitial,536728.46109599,video
com.eyecon.global,INMOBI,interstitial,533228.494676019,video
1617391485,IRONSOURCE,interstitial,523970.0363819904,video
1196764367,VUNGLE,interstitial,521311.85712499626,video
com.xiaomi.mipicks,XIAOMI,native,512991.3330922441,non_video
1617391485,INMOBI,native,503471.5560391577,non_video
6499209744,VUNGLE,interstitial,494922.24971500103,video
569077959,NIMBUS,interstitial,487059.82612896134,video
6449190344,VUNGLE,interstitial,481184.0177918504,video
416048305,VUNGLE,interstitial,471920.65901996085,video
com.worldance.drama,VUNGLE,interstitial,465025.01919499313,video
6747492600,VUNGLE,interstitial,461503.5042579961,video
6748397500,VUNGLE,interstitial,456959.51432903064,video
1193508329,VUNGLE,interstitial,440719.86906902934,video
319881193,VERVE,interstitial,435023.91502800875,video
1423046460,VUNGLE,interstitial,429495.1380739994,video
com.enflick.android.TextNow,VUNGLE,interstitial,425804.15875997866,video
1487882541,VUNGLE,interstitial,416243.9635860139,video
com.vitastudio.mahjong,APPODEAL,interstitial,415844.7831749942,video
395979574,VUNGLE,interstitial,413360.27357302204,video
1130153523,VUNGLE,interstitial,406469.2569958257,video
6751056652,VUNGLE,interstitial,405447.8632620021,video
com.intsig.camscanner,VUNGLE,interstitial,403680.27150910284,video
6498883328,VUNGLE,interstitial,402611.2469369871,video
1617391485,INNERACTIVE_DIRECT,native,398388.9723104631,non_video
305343404,NIMBUS,interstitial,393658.9004540161,video
com.samsung.android.game.gamehome,SAMSUNG,native,392630.7145318971,non_video
com.dream11.fantasy.cricket.football.kabaddi,VUNGLE,interstitial,392181.03801106825,video
com.oakever.tiletrip,VUNGLE,interstitial,390494.87346513267,video
766443283,VUNGLE,banner,388164.54664219933,non_video
1462911602,VUNGLE,interstitial,387822.45170195884,video
382233851,INMOBI,interstitial,387570.41798893455,video
553834731,A9TAM,interstitial,386611.68417982646,video
6468921495,INMOBI,interstitial,382487.955561994,video
319881193,VUNGLE,interstitial,365775.9429670067,video
