market_id,vungle_or_non_vungle,revenue
1617391485,Vungle,2133968.4780823565
1617391485,Non-Vungle,1373543.4780545405
319881193,Non-Vungle,826683.581598011
6468921495,Non-Vungle,713174.7345688506
com.block.juggle,Vungle,712956.7516192449
com.block.juggle,Non-Vungle,632292.0090889371
359917414,Vungle,557543.4274749202
281940292,Non-Vungle,518398.7611270111
570060128,Vungle,510067.9164830272
6748950306,Vungle,506963.81968094036
com.snaptube.premium,Vungle,468884.4246795236
591560124,Non-Vungle,461453.91024978115
468996152,Vungle,460224.0116749924
com.vitastudio.mahjong,Non-Vungle,431528.0600538767
591560124,Vungle,409731.509016199
com.eyecon.global,Vungle,407744.4737085066
com.dywx.larkplayer,Vungle,393149.64005620114
766443283,Vungle,379934.27019552345
295646461,Non-Vungle,375993.29916801327
632064380,Vungle,374150.0533650418
359917414,Non-Vungle,342738.45666001184
com.xiaomi.mipicks,Vungle,332883.1816422381
571801488,Vungle,330734.6591469629
553834731,Vungle,329516.21975394525
553834731,Non-Vungle,322226.15443395975
314716233,Non-Vungle,316999.2323410379
com.vitastudio.mahjong,Vungle,300640.1860540212
6468921495,Vungle,300448.8969840129
com.enflick.android.TextNow,Non-Vungle,299527.3374579968
com.metropcs.metrozone,Vungle,298680.17049508815
1598997500,Vungle,279143.21505096223
382233851,Vungle,271630.02532003005
6504849169,Vungle,266629.96231999603
com.xiaomi.mipicks,Non-Vungle,261745.25280618848
6748950306,Non-Vungle,251541.31906148326
1636235979,Vungle,242926.68630198578
1207472156,Vungle,242727.42121499716
com.eyecon.global,Non-Vungle,239996.48329800047
1370293473,Vungle,236406.35422703245
1496354836,Vungle,232654.33997201308
net.zedge.android,Vungle,228947.8304449723
1196764367,Vungle,225295.37692000423
Vidmate,Vungle,220256.26208776876
6449206831,Vungle,216568.4962419827
com.enflick.android.TextNow,Vungle,216255.51252799877
921765888,Non-Vungle,214987.3882857936
6744975195,Vungle,213348.89713300247
com.metropcs.metrozone,Non-Vungle,212462.37047401542
com.truecaller,Non-Vungle,209626.0136490108
com.oakever.tiletrip,Non-Vungle,206389.31730357147
1544750895,Non-Vungle,199593.83195983156
399355755,Vungle,199514.8438290178
com.duolingo,Vungle,196916.59595798518
6751056652,Non-Vungle,189132.56208899934
569077959,Non-Vungle,188836.3532380027
com.newleaf.app.android.victor,Vungle,187698.07138899053
305343404,Vungle,181896.94508498098
1638139403,Vungle,179461.771222996
632064380,Non-Vungle,179271.73789038984
com.freereels.app,Non-Vungle,173531.43383201797
1407852246,Non-Vungle,173031.70932281602
416048305,Vungle,172688.12375195217
com.grindrapp.android,Non-Vungle,167474.40981000636
382233851,Non-Vungle,166631.4416408511
com.samsung.android.game.gamehome,Non-Vungle,159853.14807199634
6747492600,Vungle,157575.5930239975
1600525061,Vungle,155044.54707998314
6449190344,Vungle,152417.35333999657
com.freereels.app,Vungle,152035.40905898658
6743385713,Vungle,149761.74734394698
1207472156,Non-Vungle,149587.93391266622
314716233,Vungle,149027.36475698618
com.firsttouchgames.dls7,Vungle,148448.60395301334
6464002625,Vungle,147908.39551899835
698255242,Non-Vungle,147000.44477705163
1130153523,Vungle,146120.01714199447
6449190344,Non-Vungle,146031.4309780021
6499209744,Vungle,144369.26586400034
319881193,Vungle,143767.81122388807
com.particlenews.newsbreak,Non-Vungle,140192.00055200176
305343404,Non-Vungle,138158.99537198656
com.worldance.drama,Vungle,137675.97333099856
6748397500,Non-Vungle,136432.47024799854
1671705818,Vungle,135515.15173604075
6758184735,Vungle,134510.7045920038
6498883328,Vungle,133380.2461929317
6748397500,Vungle,133221.43756799374
1193508329,Non-Vungle,132918.17184777508
1193508329,Vungle,132819.6294719269
1600525061,Non-Vungle,132415.71858700353
382617920,Non-Vungle,131762.55480789795
1423046460,Vungle,130217.99895995314
6482849843,Vungle,126169.42242993414
395979574,Vungle,125690.02121499511
com.intsig.camscanner,Vungle,125287.24025901023
com.dream11.fantasy.cricket.football.kabaddi,Vungle,124947.71475999683
6504324020,Vungle,124722.81829389515
1462911602,Vungle,124510.7307100164
6747875092,Non-Vungle,124228.69999019417
1660171117,Non-Vungle,124032.06017256073
net.zedge.android,Non-Vungle,123118.89992631572
com.tripledot.solitaire,Vungle,122693.44927098806
488575683,Non-Vungle,122358.16974191178
1636235979,Non-Vungle,121246.40032700158
766443283,Non-Vungle,118316.32044877177
329218549,Vungle,118261.25252800054
351331194,Vungle,116830.5036069911
1103438575,Vungle,113906.90010199966
1176147574,Vungle,113496.63783194723
6498883328,Non-Vungle,113182.29732540801
com.netshort.abroad,Non-Vungle,113097.13932100126
academy.gocrypto.trading,Vungle,112838.74623399624
com.samsung.android.app.spage,Vungle,112585.29465700043
1487882541,Vungle,112441.3048529962
6740043080,Vungle,112074.80208083642
428312806,Vungle,111801.48843499694
6751056652,Vungle,111657.6329119989
1487882541,Non-Vungle,111392.33111600096
579581125,Non-Vungle,110461.6477649949
579581125,Vungle,109376.49628700713
com.miui.global.packageinstaller,Non-Vungle,109360.90100101689
395979574,Non-Vungle,108957.24528198359
com.ecffri.arrows,Non-Vungle,108890.32520223374
com.king.candycrushsaga,Vungle,108520.29132900623
com.playit.videoplayer,Non-Vungle,108015.81430698362
com.nebula.mahjongtile,Vungle,107074.99103499702
506627515,Vungle,106889.53265199285
1196764367,Non-Vungle,103207.17557493129
1215933788,Vungle,102723.33046496657
1423046460,Non-Vungle,102199.9925067551
6448104157,Non-Vungle,101413.00751258733
com.grindrapp.android,Vungle,100513.50358796792
6482849843,Non-Vungle,99910.0424022108
com.ecffri.arrows,Vungle,99815.03481100386
1459645446,Non-Vungle,99172.77218205275
com.oakever.tiletrip,Vungle,99048.6173830082
306310789,Vungle,98565.83695886409
com.lemon.lvoverseas,Vungle,98380.05346499904
6502341730,Non-Vungle,98159.65521999986
1472419762,Vungle,98048.35002700018
fr.vinted,Vungle,97748.71971698532
