market_id,exchange,revenue
1617391485,VUNGLE,2133968.4780818406
com.block.juggle,VUNGLE,712956.751619251
359917414,VUNGLE,557543.4274749212
570060128,VUNGLE,510067.9164830174
6748950306,VUNGLE,506963.81968095
281940292,VERVE,483767.3672660075
com.snaptube.premium,VUNGLE,468884.4246796136
468996152,VUNGLE,460224.0116749862
591560124,VUNGLE,409731.5090162247
com.eyecon.global,VUNGLE,407744.47370851296
com.dywx.larkplayer,VUNGLE,393149.6400561904
1617391485,INMOBI,387922.1918792967
com.block.juggle,INNERACTIVE_DIRECT,386690.5239245833
766443283,VUNGLE,379934.2701955094
632064380,VUNGLE,374150.05336504756
1617391485,INNERACTIVE_DIRECT,345753.4716314509
com.xiaomi.mipicks,VUNGLE,332883.181642239
571801488,VUNGLE,330734.6591469488
553834731,VUNGLE,329516.2197539499
319881193,APPODEAL,312293.79165000014
com.vitastudio.mahjong,VUNGLE,300640.1860540167
6468921495,VUNGLE,300448.8969840185
com.metropcs.metrozone,VUNGLE,298680.1704950768
1598997500,VUNGLE,279143.2150509706
382233851,VUNGLE,271630.0253200695
6504849169,VUNGLE,266629.9623199963
6468921495,APPODEAL,262287.9925230718
295646461,APPODEAL,257214.2666739991
1636235979,VUNGLE,242926.68630198436
1207472156,VUNGLE,242727.42121499518
1370293473,VUNGLE,236406.35422703112
1617391485,BIGO,234136.88880497965
1496354836,VUNGLE,232654.3399720098
com.eyecon.global,INMOBI,231459.76998301598
net.zedge.android,VUNGLE,228947.83044497238
1196764367,VUNGLE,225295.37691999978
Vidmate,VUNGLE,220256.262087741
6449206831,VUNGLE,216568.49624198093
com.enflick.android.TextNow,VUNGLE,216255.5125279992
6744975195,VUNGLE,213348.89713300188
399355755,VUNGLE,199514.84382901664
359917414,APPODEAL,197078.21766299658
com.duolingo,VUNGLE,196916.59595798588
com.newleaf.app.android.victor,VUNGLE,187698.07138898913
569077959,NIMBUS,187111.41518200294
319881193,VERVE,183161.7888699901
305343404,VUNGLE,181896.94508495647
1638139403,VUNGLE,179461.77122299722
com.xiaomi.mipicks,XIAOMI,177177.08974113048
416048305,VUNGLE,172688.12375195502
1617391485,IRONSOURCE,165977.98808199962
382233851,INMOBI,160030.00034491526
6747492600,VUNGLE,157575.59302399823
314716233,NIMBUS,155155.29745298484
1600525061,VUNGLE,155044.5470799816
591560124,INMOBI,154368.6335698715
6449190344,VUNGLE,152417.35333999706
com.freereels.app,VUNGLE,152035.40905898786
com.samsung.android.game.gamehome,SAMSUNG,149969.69180499166
6743385713,VUNGLE,149761.74734393597
6468921495,VERVE,149590.30903598946
314716233,VUNGLE,149027.3647569884
com.firsttouchgames.dls7,VUNGLE,148448.60395301288
6464002625,VUNGLE,147908.395518998
1130153523,VUNGLE,146120.01714199604
6499209744,VUNGLE,144369.26586399993
319881193,VUNGLE,143767.81122388883
com.enflick.android.TextNow,INMOBI,140709.99013400052
305343404,NIMBUS,138081.8791619874
com.particlenews.newsbreak,DOUBLECLICK,137897.14293200165
com.worldance.drama,VUNGLE,137675.97333099833
1671705818,VUNGLE,135515.1517360391
6758184735,VUNGLE,134510.70459200357
6498883328,VUNGLE,133380.2461929298
6748397500,VUNGLE,133221.437567992
1193508329,VUNGLE,132819.62947192078
1600525061,NIMBUS,132415.718587004
1423046460,VUNGLE,130217.99895995708
632064380,APPLOVIN,129287.34260734462
553834731,A9TAM,126891.71762100881
6482849843,VUNGLE,126169.42242992866
com.vitastudio.mahjong,APPODEAL,126122.09313008032
395979574,VUNGLE,125690.02121499558
com.intsig.camscanner,VUNGLE,125287.24025901202
com.dream11.fantasy.cricket.football.kabaddi,VUNGLE,124947.71475999628
6504324020,VUNGLE,124722.818293895
1462911602,VUNGLE,124510.73071001604
1617391485,UNITY,123850.65178794751
6751056652,APPODEAL,123249.6015399996
com.tripledot.solitaire,VUNGLE,122693.44927098829
591560124,INNERACTIVE_DIRECT,120837.88644001435
329218549,VUNGLE,118261.25252800007
766443283,INNERACTIVE_DIRECT,117182.32974778063
351331194,VUNGLE,116830.50360698855
com.vitastudio.mahjong,INNERACTIVE_DIRECT,115785.26211299715
1103438575,VUNGLE,113906.90010199926
1176147574,VUNGLE,113496.63783194733
academy.gocrypto.trading,VUNGLE,112838.74623399695
com.samsung.android.app.spage,VUNGLE,112585.29465700085
1487882541,VUNGLE,112441.30485299621
6740043080,VUNGLE,112074.80208083548
428312806,VUNGLE,111801.48843499763
6751056652,VUNGLE,111657.63291199994
319881193,UNITY,111654.84111697343
579581125,VUNGLE,109376.49628700902
com.miui.global.packageinstaller,XIAOMI,109354.59199001714
com.king.candycrushsaga,VUNGLE,108520.29132900808
698255242,APPODEAL,108497.11473500232
com.nebula.mahjongtile,VUNGLE,107074.9910349964
506627515,VUNGLE,106889.53265199556
6468921495,INMOBI,105813.72041598726
1215933788,VUNGLE,102723.33046496697
6468921495,UNITY,100811.51543499928
com.grindrapp.android,VUNGLE,100513.50358797408
com.ecffri.arrows,VUNGLE,99815.03481100358
com.oakever.tiletrip,VUNGLE,99048.6173830085
306310789,VUNGLE,98565.83695886946
com.lemon.lvoverseas,VUNGLE,98380.05346499874
1472419762,VUNGLE,98048.35002700028
fr.vinted,VUNGLE,97748.71971698306
com.resultadosfutbol.mobile,VUNGLE,95436.61771095895
880047117,VUNGLE,94335.4553280049
com.metropcs.metrozone,DOUBLECLICK,94228.26541200512
com.block.juggle,BIGO,93834.5438889838
591560124,APPODEAL,92614.01103106825
1636235979,MINTEGRAL,92576.28293500176
com.vitastudio.mahjong,INMOBI,92002.91322400159
com.macrovideo.v380pro,VUNGLE,91346.90590298109
1388988209,VUNGLE,91255.76425299613
6754243057,VUNGLE,91125.0089989651
6475168012,VUNGLE,90976.45477100565
com.sec.android.app.samsungapps,SAMSUNG,90741.34130599666
698255242,VUNGLE,90451.33647598657
281940292,VUNGLE,90237.11373499972
com.mxtech.videoplayer.ad,VUNGLE,89383.18760400226
com.playit.videoplayer,VERVE,89336.85859398889
eu.livesport.FlashScore_com,VUNGLE,88232.43161294512
com.metro.minus1,VUNGLE,87441.00484099957
1660171117,VUNGLE,87311.05047995606
319881193,INMOBI,86949.29358898799
com.microsoft.microsoftsolitairecollection,VUNGLE,85357.84706400009
com.xiaomi.mipicks,MINTEGRAL,84568.16306500258
314716233,INMOBI,83683.52318800012
com.enflick.android.TextNow,INNERACTIVE_DIRECT,83348.7245030006
388627783,VUNGLE,83172.66540500283
517539894,NIMBUS,82162.8481220031
553834731,DOUBLECLICK,81897.51646200052
1544750895,KONTEXT,81550.31971300712
850417475,VUNGLE,81521.46038500358
