market_id,ad_format,exchange,category,revenue
281940292,interstitial,VERVE,Games,365294.1548700039
295646461,interstitial,APPODEAL,Games,280417.1739330012
6504849169,interstitial,VUNGLE,Games,243273.19991699693
319881193,interstitial,APPODEAL,Games,169675.00768700003
com.samsung.android.game.gamehome,native,SAMSUNG,Games: Puzzle,106765.79561200025
com.xiaomi.mipicks,native,VUNGLE,Shopping,102246.79306199982
com.xiaomi.mipicks,native,VUNGLE,Finance,84212.91286300047
395979574,interstitial,VUNGLE,Games,79136.58742600017
6751056652,interstitial,VUNGLE,Games,70955.11983899998
6747875092,interstitial,VUNGLE,Games,68320.31137800105
com.miui.global.packageinstaller,interstitial,XIAOMI,Shopping,65292.92682900015
com.playit.videoplayer,interstitial,VERVE,Games: Card,64634.00363800005
1407852246,interstitial,VUNGLE,Games,63884.93134099956
com.particlenews.newsbreak,interstitial,DOUBLECLICK,Games: Puzzle,63380.40220100022
295646461,interstitial,APPODEAL,Sports,62390.034293000645
6751056652,interstitial,APPODEAL,Games,61170.92661199967
com.sec.android.app.samsungapps,interstitial,SAMSUNG,Games: Casual,60969.484894000365
281940292,native,VERVE,Games,56706.730351000166
395979574,interstitial,APPODEAL,Games,56056.59657200037
281940292,native,VUNGLE,Games,53170.32995499967
295646461,interstitial,VERVE,Games,52194.407134001165
319881193,interstitial,VERVE,Games,52068.30275399955
319881193,interstitial,APPODEAL,Finance,49943.05607300001
com.xiaomi.mipicks,native,XIAOMI,Finance,48893.95397999988
319881193,interstitial,APPODEAL,Sports,45961.18589199954
319881193,interstitial,VUNGLE,Games,44859.15170399906
281940292,interstitial,VERVE,Productivity,44736.66960400046
com.playit.videoplayer,interstitial,VUNGLE,Games: Card,44458.66913600063
319881193,interstitial,UNITY,Games,41083.679338000125
281940292,banner,NIMBUS,Games,39419.908074999854
com.ecffri.arrows,interstitial,VUNGLE,Shopping,39243.248984999846
6759763476,interstitial,VUNGLE,Games,39134.16837799992
6444946155,interstitial,VUNGLE,Games,38451.7849870001
1544750895,interstitial,KONTEXT,Games,35824.626973999795
281940292,interstitial,VERVE,Finance,34629.161505999764
1544750895,interstitial,VUNGLE,Games,34249.59205099979
com.sec.android.app.samsungapps,interstitial,SAMSUNG,Games: Puzzle,34132.722270999926
com.xiaomi.mipicks,native,XIAOMI,Shopping,34075.34015599982
319881193,native,VERVE,Games,33558.95159900005
com.weaver.app.prod,interstitial,INNERACTIVE_DIRECT,Shopping,32515.530259000287
com.lemon.lvoverseas,interstitial,VUNGLE,Finance,32328.5439460003
6751056652,interstitial,INMOBI,Finance,32249.692454999895
1459645446,native,VERVE,Games,32111.490367000104
com.ecffri.arrows,interstitial,VUNGLE,Social,31998.85099900035
319881193,interstitial,VUNGLE,Finance,30627.081334999755
6754384144,interstitial,VUNGLE,Games,30581.627335000274
com.samsung.android.game.gamehome,native,SAMSUNG,Games: Casual,29430.307951000454
com.xiaomi.mipicks,native,MINTEGRAL,Finance,29217.496327999917
1544750895,interstitial,KONTEXT,Sports,28895.85253999996
6751056652,interstitial,APPODEAL,Finance,27848.5003039998
com.miui.global.packageinstaller,native,XIAOMI,Shopping,26781.94292200002
6465991018,interstitial,VUNGLE,Finance,26318.19308499997
1544750895,interstitial,INNERACTIVE_DIRECT,Photo & Video,26253.96910199986
6504849169,interstitial,VUNGLE,Finance,25910.673571999825
319881193,interstitial,INMOBI,Games,25287.79300499981
com.lemon.lvoverseas,interstitial,VUNGLE,Social,25037.447121999976
com.miui.player,interstitial,XIAOMI,Shopping,24855.871818999913
319881193,native,INMOBI,Games,24647.242841000334
com.netshort.abroad,interstitial,INNERACTIVE_DIRECT,Social,24622.065145999928
com.miniclip.carrom,interstitial,VUNGLE,Games: Card,24478.85296199987
6755183085,interstitial,VUNGLE,Games,24450.226557000136
com.samsung.android.game.gamehome,native,SAMSUNG,Games: Board,24200.673379999684
6759763476,interstitial,APPODEAL,Games,23746.096055000187
com.xiaomi.mipicks,native,XIAOMI,Sports,23428.184357000235
319881193,native,VUNGLE,Games,22964.0938950001
com.Gamnest.CandyRace,interstitial,VUNGLE,Shopping,22700.25584500015
com.particlenews.newsbreak,interstitial,DOUBLECLICK,Social,22306.39852599995
6754384144,interstitial,APPODEAL,Games,22061.10070400004
1407852246,native,VERVE,Games,21908.29547899988
6751056652,interstitial,VUNGLE,Finance,21655.18535300004
com.ecffri.arrows,interstitial,APPODEAL,Social,21126.416338000185
295646461,banner,APPODEAL,Games,20658.360070000046
6755183085,interstitial,APPODEAL,Games,20542.23315899981
com.particlenews.newsbreak,interstitial,DOUBLECLICK,Games: Casual,20393.17841599984
com.storymatrix.drama,interstitial,APPODEAL,Social,20335.54541199966
295646461,interstitial,APPODEAL,Finance,20289.784730000167
281940292,banner,VUNGLE,Games,20143.878371000166
com.storymatrix.drama,interstitial,VUNGLE,Shopping,19938.04665600022
com.miui.msa.global,native,XIAOMI,Shopping,19846.432521000064
1544750895,native,INMOBI,Games,19385.297560000017
com.ecffri.arrows,interstitial,VUNGLE,Finance,19367.161156999868
