market_id,ad_format,exchange,revenue
281940292,interstitial,VERVE,454999.5241620048
295646461,interstitial,APPODEAL,378609.93043900514
com.xiaomi.mipicks,native,VUNGLE,315666.63964199694
319881193,interstitial,APPODEAL,292903.68708099663
6504849169,interstitial,VUNGLE,290504.1400479952
com.xiaomi.mipicks,native,XIAOMI,190994.39352200046
com.samsung.android.game.gamehome,native,SAMSUNG,186188.34681299725
com.ecffri.arrows,interstitial,VUNGLE,143704.65995499885
6751056652,interstitial,VUNGLE,115658.11366800043
6751056652,interstitial,APPODEAL,114941.9043920013
com.particlenews.newsbreak,interstitial,DOUBLECLICK,113024.71426999777
com.sec.android.app.samsungapps,interstitial,SAMSUNG,107837.78585500192
com.lemon.lvoverseas,interstitial,VUNGLE,105733.21550899828
395979574,interstitial,VUNGLE,99494.317650001
319881193,interstitial,VUNGLE,93412.62004099943
319881193,interstitial,VERVE,88835.56956300134
319881193,interstitial,UNITY,86432.67017799921
com.xiaomi.mipicks,native,MINTEGRAL,80773.79668300063
com.miui.global.packageinstaller,interstitial,XIAOMI,78674.97488000155
1544750895,interstitial,KONTEXT,76881.80666000012
com.playit.videoplayer,interstitial,VERVE,76115.89669900137
6747875092,interstitial,VUNGLE,75878.38886000037
1407852246,interstitial,VUNGLE,74833.45414199901
281940292,native,VERVE,70461.17191100068
6759763476,interstitial,VUNGLE,65796.97392399942
395979574,interstitial,APPODEAL,64852.475319999285
1544750895,interstitial,VUNGLE,64188.71923899946
com.netshort.abroad,interstitial,INNERACTIVE_DIRECT,60789.26567999984
com.playit.videoplayer,interstitial,VUNGLE,60478.55003300031
295646461,interstitial,VERVE,60378.08012200097
281940292,native,VUNGLE,57488.802222999526
com.weaver.app.prod,interstitial,INNERACTIVE_DIRECT,56176.7344740002
6444946155,interstitial,VUNGLE,54608.704071001215
com.storymatrix.drama,interstitial,APPODEAL,54247.39755999947
com.hotmini.drama.hot,interstitial,VUNGLE,54190.64260499979
com.samsung.android.game.gamehome,native,VUNGLE,54130.603210999594
com.ecffri.arrows,interstitial,APPODEAL,50286.380931000676
281940292,banner,NIMBUS,48502.656412000826
com.Gamnest.CandyRace,interstitial,VUNGLE,48206.149113000305
6751056652,interstitial,INMOBI,47964.42627499973
com.storymatrix.drama,interstitial,VUNGLE,47792.20836499969
videoplayer.videodownloader.downloader,interstitial,VUNGLE,47198.81296700048
com.miui.msa.global,native,XIAOMI,46450.76762200063
319881193,native,VERVE,45615.51805499911
6759763476,interstitial,APPODEAL,42496.05427899955
com.miui.global.packageinstaller,native,XIAOMI,42191.02657899974
319881193,native,INMOBI,41089.192676000835
com.truecaller,mrec,A9TAM,39638.889341999835
319881193,interstitial,INMOBI,39636.05685999931
com.aws.android,interstitial,VERVE,39617.09393100013
1459645446,native,VERVE,39339.54075499971
com.easybrain.sudoku.android,interstitial,VUNGLE,37942.55758099982
6754384144,interstitial,VUNGLE,37888.27221600014
com.miui.player,interstitial,XIAOMI,37698.86085100022
com.pixel.art.coloring.color.number,interstitial,INNERACTIVE_DIRECT,37188.57048699993
com.dubox.drive,interstitial,VUNGLE,36513.10018000018
921765888,interstitial,UNITY,36149.163836999884
jp.naver.linemanga.android,interstitial,APPODEAL,35341.97762099965
com.miniclip.carrom,interstitial,VUNGLE,35129.67657599968
6755183085,interstitial,VUNGLE,34489.723369999694
921765888,interstitial,VUNGLE,34464.93544199991
319881193,native,VUNGLE,33653.26413499965
com.netshort.abroad,interstitial,APPODEAL,33089.5158689998
1544750895,interstitial,INNERACTIVE_DIRECT,33029.20210099976
6754384144,interstitial,APPODEAL,32603.77884800021
com.truecaller,mrec,INMOBI,31708.931618000486
6465991018,interstitial,VUNGLE,31481.570442000208
6444946155,interstitial,APPODEAL,31132.289603999783
com.loomgames.pixelflow,interstitial,APPODEAL,30957.9537239997
com.Gamnest.CandyRace,interstitial,INNERACTIVE_DIRECT,30808.889591000447
6755183085,interstitial,APPODEAL,30478.131254000113
319881193,banner,UNITY,30118.494166000237
921765888,interstitial,INMOBI,30035.460368000295
free.vpn.unblock.proxy.turbovpn,interstitial,INMOBI,29389.87134500013
921765888,interstitial,MINTEGRAL,28822.70768700014
921765888,interstitial,NIMBUS,28596.373919999984
6754558455,interstitial,VUNGLE,28305.241338000033
video.downloader.videodownloader,interstitial,INMOBI,27698.244448999983
1544750895,native,INMOBI,27101.22129600016
498477945,interstitial,VUNGLE,26759.933189000167
295646461,banner,APPODEAL,26758.795476000294
6754558455,interstitial,APPODEAL,26436.237658999915
319881193,native,MINTEGRAL,26365.12707800008
