account_id,blocked_categories
5b975fcedc73276356309362,"[""V1-1"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-6"", ""V1-7"", ""V1-9"", ""V2-11"", ""V2-13"", ""V2-15"", ""V2-16"", ""V2-21""]"
561e8d936b8d90f61a000455,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-7"", ""V1-9"", ""V2-13"", ""V2-18"", ""V2-2"", ""V2-21"", ""V2-3""]"
57d1b461ae2b57d903000027,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-6"", ""V1-7"", ""V1-9"", ""V2-15"", ""V2-21"", ""V2-3""]"
622b9915ac4bf1001715b790,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-6"", ""V1-9"", ""V2-21"", ""V2-3""]"
6297c4bc012073001b3df035,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-9""]"
67c01767cc8ae200116e5d00,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-6"", ""V1-7"", ""V1-9""]"
6107c3b4abaef100175b9029,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-6"", ""V1-7"", ""V1-9"", ""V2-16""]"
575d1c861295e1447c0000e5,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-9""]"
5c05196699e4374b87bda3b9,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-9"", ""V2-1"", ""V2-16"", ""V2-21""]"
56c3a378adccd1cb7e00000a,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-9""]"
67b5bff30471850011443643,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-7"", ""V1-9""]"
69379d46192ce0aadaecc874,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-7"", ""V1-9""]"
68799f38babc2000110fe539,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-6"", ""V1-7"", ""V1-9"", ""V2-13"", ""V2-14"", ""V2-15"", ""V2-16"", ""V2-17"", ""V2-18"", ""V2-19"", ""V2-21"", ""V2-3"", ""V2-4""]"
59baf611f2287a750a0034c2,"[""V1-1"", ""V1-11"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-3"", ""V1-5"", ""V1-7"", ""V1-9"", ""V2-13""]"
650360eb0950ee00114dc484,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-9"", ""V2-16""]"
579643ec6c081adf5c00004c,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-7"", ""V1-9"", ""V2-11"", ""V2-13"", ""V2-16"", ""V2-21"", ""V2-3""]"
622a3f10c690c40013e4728e,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-9""]"
561e8d976b8d90f61a0045d7,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-9"", ""V2-12"", ""V2-13"", ""V2-14"", ""V2-15"", ""V2-17"", ""V2-18"", ""V2-19"", ""V2-21"", ""V2-3"", ""V2-5"", ""V2-8""]"
685efaf2892f9d0011d7b87f,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-6"", ""V1-7"", ""V1-9"", ""V2-16""]"
698a6771eea67583ba0bada3,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-7"", ""V1-9""]"
56d55c72562b9c353800000d,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-4"", ""V1-5"", ""V1-7"", ""V1-9"", ""V2-11"", ""V2-16""]"
