app_id,account_id,app_only_categories
624d1d920ea4f6b17766ae63,606c7bac7a37680015801ad8,"[""V1-1"", ""V1-10"", ""V1-11"", ""V1-12"", ""V1-13"", ""V1-14"", ""V1-2"", ""V1-3"", ""V1-4"", ""V1-5"", ""V1-6"", ""V1-7"", ""V1-9"", ""V2-16""]"
633549fb3901c096a37b2893,606c7bac7a37680015801ad8,"[""V2-16""]"
69437e6fed3b627e3079edb8,69379d46192ce0aadaecc874,"[""V1-6"", ""V2-1"", ""V2-13"", ""V2-16"", ""V2-17"", ""V2-18"", ""V2-2"", ""V2-21"", ""V2-8""]"
67a5cb9db7c0c84dcaf1eead,67a5bd8b7e5a1b00114a860e,"[""V1-6""]"
57979405fb0fb7fc6e0000a2,579643ec6c081adf5c00004c,"[""V2-5""]"
69437e3201d2a42bf6087b94,69379d46192ce0aadaecc874,"[""V1-6"", ""V2-1"", ""V2-13"", ""V2-16"", ""V2-17"", ""V2-18"", ""V2-2"", ""V2-21"", ""V2-8""]"
5c093910a4a7ea3d70999820,5c05196699e4374b87bda3b9,"[""V1-7""]"
5ae1d7c5cf3ad762761bbca1,5aafdd4a0520357fabf54aa6,"[""V2-14"", ""V2-18"", ""V2-4"", ""V2-5""]"
67b5f7021be9345ad181a7d8,67b5b2c077bd1c00117b9adc,"[""V2-16""]"
59e7db9b598ece421700ded4,561e8d966b8d90f61a003414,"[""V1-6"", ""V2-16""]"
5aafe5c62567717fa575bfc1,5aafdd4a0520357fabf54aa6,"[""V2-14"", ""V2-18"", ""V2-4"", ""V2-5""]"
55a4e36aad6c18e83a000159,561e8d926b8d90f61a00013e,"[""V1-1"", ""V1-10"", ""V1-2"", ""V1-4"", ""V1-5""]"
69fa1fa13d225f31f458c6ed,69fa1edb63ed3b5eefe8c177,"[""V2-12"", ""V2-16""]"
6076bd25c69dedee4130b263,583c02c932ec4ba51300037e,"[""V1-13"", ""V1-2""]"
65714019a5cc307500171031,655c62f25942160011cb5305,"[""V1-6""]"
5a540f51d49ac43a0c011741,561e8d976b8d90f61a00418e,"[""V1-6""]"
5c093969f7a1953d6377362b,5c05196699e4374b87bda3b9,"[""V1-7""]"
6268445fe544d565a3f73230,56c3a378adccd1cb7e00000a,"[""V2-13"", ""V2-16"", ""V2-21""]"
5552167b1f1ac071400000d9,561e8d926b8d90f61a00013e,"[""V1-1"", ""V1-10"", ""V1-2"", ""V1-4"", ""V1-5""]"
6276cb2872361e0c07c98cec,6276c973f70e7c001895be79,"[""V2-11""]"
5e6868c8ffd487601beebc7a,56c3a378adccd1cb7e00000a,"[""V2-16""]"
5df90b5c66091a78d5815e82,5c05196699e4374b87bda3b9,"[""V1-7""]"
643ce00e6c9fd54552e581e0,583c02c932ec4ba51300037e,"[""V1-13"", ""V1-2""]"
61c9990776261dfb959407aa,61c991a5fe4ec600172e5e08,"[""V1-6""]"
5785519ef95609d93c00007b,561e8d976b8d90f61a00418e,"[""V1-6""]"
5af55340bfc6be4ab9a686f0,568b8cb3bb2089a80600000a,"[""V1-7""]"
67b5f446390c720c73a0e3f3,67b5b2c077bd1c00117b9adc,"[""V2-16""]"
69fee8e1f9684568f365de84,696df09b3eafeed3e7b21d7e,"[""V2-15""]"
6837cbfb71e5cc220d1c9a6b,677bd16443e94a0011b752b2,"[""V1-3"", ""V1-6"", ""V2-10"", ""V2-12"", ""V2-13"", ""V2-14"", ""V2-16"", ""V2-17"", ""V2-18"", ""V2-19"", ""V2-21"", ""V2-9""]"
63dd0e73ff93460cff697297,568b8cb3bb2089a80600000a,"[""V1-7""]"
5da6812659f5670018ae7124,5d76031d57ec4f0017743734,"[""V1-13"", ""V1-9"", ""V2-16"", ""V2-3""]"
62684259b7fb3d4fd5c5fb13,56c3a378adccd1cb7e00000a,"[""V2-13"", ""V2-16""]"
68ef8349bea871f37200c0f0,688b3725c446f77fe6eaaff8,"[""V1-6"", ""V2-3""]"
641854429091f900e1111e9a,59e4bb543f0fa9a20900afa3,"[""V1-6""]"
56cb247c4c275f425b000054,561e8d976b8d90f61a00418e,"[""V1-6""]"
68efa5a24ebb41ab326d8070,643d1561e09b08001442e672,"[""V1-1"", ""V1-11"", ""V1-13"", ""V1-9"", ""V2-13"", ""V2-21""]"
6400d8af2fedc3f1a4d8207f,561e8d926b8d90f61a00013e,"[""V1-1"", ""V1-10"", ""V1-2"", ""V1-4"", ""V1-5""]"
626841d0d03ae7f7395fdc62,56c3a378adccd1cb7e00000a,"[""V2-13"", ""V2-16"", ""V2-21""]"
627a7fad9a5916612c6cb77e,5a53889945eaab512501251e,"[""V1-6""]"
5bebfb1c4de124001080db05,568b8cb3bb2089a80600000a,"[""V1-7""]"
