iab_code,daily_spend
IAB1,277550.1869
IAB1-1,3101.6205
IAB1-3,1204.9933
IAB1-5,5068.4323
IAB1-6,2869.2122
IAB1-7,1285.3815
IAB10,5586.3299
IAB10-1,971.7804
IAB10-7,1122.5061
IAB10-9,2301.067
IAB11,1093.4115
IAB12,3117.0847
IAB13,175695.7868
IAB13-1,1353.055
IAB13-11,3742.9724
IAB13-2,10078.6819
IAB13-4,87696.7849
IAB13-6,533.1634
IAB13-7,29378.4384
IAB14,56290.2615
IAB14-1,8460.2061
IAB16,7228.8818
IAB17,49616.1459
IAB17-12,740.1011
IAB17-18,595.5994
IAB18,8846.4962
IAB18-1,2656.3678
IAB18-3,2293.5215
IAB18-5,1044.0228
IAB18-6,26464.1564
IAB19,23564.4118
IAB19-1,507.4631
IAB19-15,3432.781
IAB19-18,642.2655
IAB19-29,172577.1677
IAB19-5,87493.2125
IAB19-6,12305.6437
IAB2,7051.7049
IAB2-1,2270.5283
IAB2-18,539.4791
IAB2-3,1954.9767
IAB20,79090.8635
IAB20-18,1647.9818
IAB20-3,1157.4792
IAB20-6,936.6579
IAB20-7,593.0403
IAB21,10651.9333
IAB21-1,1260.8003
IAB22,414700.4595
IAB22-1,2645.3317
IAB22-10,28627.0379
IAB22-2,3731.2719
IAB22-3,2533.3473
IAB24,3317.6945
IAB3,26171.9226
IAB3-1,1082.2116
IAB3-11,566.0056
IAB3-4,1768.4598
IAB3-5,806.4059
IAB4,1327.4466
IAB4-3,902.6393
IAB4-5,1416.328
IAB5,5040.5376
IAB6,16348.7316
IAB7,10183.6567
IAB7-1,2587.5241
IAB7-32,581.3333
IAB7-44,3180.4493
IAB7-45,743.7933
IAB8,46865.249
IAB8-9,4876.988
IAB9,340983.3562
IAB9-1,626.5846
IAB9-10,747.3513
IAB9-13,2326.1487
IAB9-23,1384.7005
IAB9-25,13904.0144
IAB9-30,814554.8596
IAB9-5,84039.1927
IAB9-7,205701.4536
