app_id,account_id,creative_blocklist
5057845678715d951df74577,561e8d936b8d90f61a0014d2,"[""5fd73c61617f68000fb6584f_CR52188186""]"
5346f0f55cd3b9056a000074,561e8d936b8d90f61a000455,"[""5f6413c9612b1a0015099993_509668"", ""5bc0e10e25c7d7796ebe8fc0_innogames:i:ysgRhTnIHhngOiCg"", ""5bc0e10e25c7d7796ebe8fc0_V2pSCnzGm0uSCijH:i:PbqsmzOYAysXO09F"", ""60bdc983a982ad0017edb6f7_2863411427""]"
53d7b802ec6bbcff4d000019,561e8d936b8d90f61a000455,"[""61936e419aca75001740e38a_69993242d4""]"
556f7506790e4e9f32000181,561e8d946b8d90f61a002092,"[""5f6413c9612b1a0015099993_425705"", ""5f6413c9612b1a0015099993_470817""]"
5797949864c72d066f000097,579643ec6c081adf5c00004c,"[""5f6413c9612b1a0015099993_956444""]"
581790e0591c1ca0390001a0,561e8d936b8d90f61a000455,"[""5f6413c9612b1a0015099993_677092"", ""5f6413c9612b1a0015099993_635033"", ""5f6413c9612b1a0015099993_707947"", ""5f6413c9612b1a0015099993_708696"", ""602442ef9f0893001526406b_895ad22d-9a8f-4f70-9e14-67bc65e01fc7"", ""60bdc983a982ad0017edb6f7_f1749eb6ac704b6a53f80cffbd75fdd3_11, 67f579a965660600111030c2_534211369331_698729087"", ""67f579a965660600111030c2_534211369331_698729087"", ""60bdc983a982ad0017edb6f7_f1749eb6ac704b6a53f80cffbd75fdd3_11"", ""5f6413c9612b1a0015099993_1634336""]"
58ed4805d573baf555001be0,561e8d976b8d90f61a0045d7,"[""62563a74f5c7a20011b32398_502118520, 5c4f514dbfa483080c46675f_502118520, 60ebaee89459b10017db3907_2249:502118520, 5f3dc36a8421a5001528b784_502118520, 5b9827f6abdbc240d1d45071_502118520, 5e20bbdf55c1c23edbbca5fa_502118520""]"
593fb6104e118dfd71002055,561e8d936b8d90f61a00059f,"[""5bc0e10e25c7d7796ebe8fc0_lK5fTUzbpPaCioC7:a:bkrvGFpqwMLl5xe3"", ""61e94b2bc6dbdc0017ea3870_518aa96c21034cba09de8a1f5b439a09_11"", ""61e94b2bc6dbdc0017ea3870_2ecc07cd985dca18406c3a2761ea49cf_11"", ""6135c233b2f85d001747c3d2_5eb31ac3ac7fdb10a11fa48b7b388079_1""]"
593fb6656eaa535318001c43,561e8d936b8d90f61a00059f,"[""67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250620_Z15sz"", ""67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250620_FZyHO"", ""67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250620_IM7pF"", ""67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250620_cEt4z"", ""67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250620_DFATj"", ""67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250620_RlJWv""]"
59e7db9b598ece421700ded4,561e8d966b8d90f61a003414,"[""5f6413c9612b1a0015099993_797517""]"
5a167dd1d0d008d90400a61d,57d1b461ae2b57d903000027,"[""5e89fcef428f870016d9e994_192173041""]"
5a777f42d76bfe102f007091,5b1526a7de961d3317b1d475,"[""5f6413c9612b1a0015099993_678863"", ""5e56893e6c71d40018de3ad1_58_72631"", ""5e56893e6c71d40018de3ad1_58_72597""]"
