lookup_key,adomain,daily_spend
temu.com,temu.com,919603.4227
tiktok.com,tiktok.com,210888.5988
grand.gs,grand.gs,112809.1528
king.com,king.com,106347.7328
dreamgames.com,dreamgames.com,84733.2876
lessmore.games,lessmore.games,76825.9753
snap.com,snap.com,60228.1823
revolut.com,revolut.com,58121.484
apple.com,apple.com,42441.9729
freecash.com,freecash.com,39877.102
global.e.mi.com,global.e.mi.com,32047.4217
creditkarma.com,creditkarma.com,31925.4751
scopely.com,scopely.com,31007.3029
amazon.com,amazon.com,30753.7486
centurygame.com,centurygame.com,27073.8559
doordash.com,doordash.com,26407.2966
crowncoinscasino.com,crowncoinscasino.com,25756.5274
betboom.ru,betboom.ru,24296.2416
casino.draftkings.com,casino.draftkings.com,22389.2849
aliexpress.com,aliexpress.com,21080.0194
esim.holafly.com,esim.holafly.com,20989.2842
shopee.com.br,shopee.com.br,20969.1217
mercadolibre.com,mercadolibre.com,19721.6823
modo.us,modo.us,19257.96
booking.com,booking.com,18425.9464
vitastudio.ai,vitastudio.ai,18201.2006
nianticlabs.com,nianticlabs.com,17907.8769
productmadness.com,productmadness.com,17701.3183
shopee.co.id,shopee.co.id,17149.3076
shopee.com,shopee.com,17116.7031
binance.com,binance.com,16793.5833
robinhood.com,robinhood.com,16450.6693
coupang.com,coupang.com,16301.5486
shein.com,shein.com,15929.9594
hungrystudio.com,hungrystudio.com,15785.0485
polymarket.com,polymarket.com,15263.2003
loomgames.com,loomgames.com,14928.1701
papayagaming.com,papayagaming.com,14832.6807
mexc.com,mexc.com,14699.9256
draftkings.com,draftkings.com,14184.0704
spark.net,spark.net,14163.7528
cloudfront.net,cloudfront.net,13946.1054
googll.store,googll.store,13898.3949
kalshi.com,kalshi.com,12767.9101
betty.ca,betty.ca,12332.0481
com.mergegame.icookie,com.mergegame.icookie,12318.9056
yandex.ru,yandex.ru,12308.7331
zynga.com,zynga.com,12244.8929
playrix.com,playrix.com,12153.6305
oakevergames.com,oakevergames.com,11853.0704
courtyard.io,courtyard.io,11821.193
gls.com,gls.com,11768.9468
shopee.com.my,shopee.com.my,11721.0404
playtika.com,playtika.com,11005.37
bigo.tv,bigo.tv,10800.8272
supercell.com,supercell.com,10781.0905
kwai.com,kwai.com,10673.2944
chimebank.com,chimebank.com,10112.1322
getyourguide.com,getyourguide.com,9831.5508
candycrushsaga.com,candycrushsaga.com,9811.7792
hplconsultingltd.com,hplconsultingltd.com,9558.7692
mintegral.com,mintegral.com,9263.4877
prizepicks.com,prizepicks.com,8979.9539
igg.com,igg.com,8847.8205
click.2deliverynetworks.com,click.2deliverynetworks.com,8814.8429
tango.me,tango.me,8757.8192
goodluckstudioltd.com,goodluckstudioltd.com,8709.2829
rakuten.co.jp,rakuten.co.jp,8531.7971
walmart.com,walmart.com,8147.0805
shopee.ph,shopee.ph,8008.0221
realplayltd.com,realplayltd.com,7949.7119
cyphergames.com,cyphergames.com,7889.5281
