lookup_key,adv_bundle,adv_title,daily_spend
com.einnovation.temu,com.einnovation.temu,Temu: Shop Like a Billionaire,178843.6136
com.zhiliaoapp.musically,com.zhiliaoapp.musically,"TikTok - Videos, Shop & LIVE",109461.3688
553834731,553834731,Candy Crush Saga,81348.4256
com.snapchat.android,com.snapchat.android,Snapchat,60228.1823
6748397500,6748397500,Arrows – Puzzle Escape,59372.9417
6499209744,6499209744,Magic Sort!,58028.6348
6752672568,6752672568,Block Out! - Color Sort Puzzle,46915.772
1641486558,1641486558,Temu: Shop Like a Billionaire,45733.3513
932493382,932493382,"Revolut: Send, spend and save",43447.2579
835599320,835599320,"TikTok - Videos, Shop & LIVE",42367.4002
1606549505,1606549505,Royal Kingdom,39638.5406
1673567402,1673567402,Freecash - Get Paid Real Money,33863.2073
1482155847,1482155847,Royal Match,31685.1121
com.ss.android.ugc.trill,com.ss.android.ugc.trill,TikTok,27623.6202
6450413462,6450413462,CrownCoins Casino,25710.6289
519817714,519817714,Intuit Credit Karma,24972.6926
com.king.candycrushsaga,com.king.candycrushsaga,Candy Crush Saga,23729.3467
1621328561,1621328561,MONOPOLY GO!,23324.2981
com.zzkko,com.zzkko,SHEIN-Shopping Online,22872.6076
1235601864,1235601864,TikTok ティックトック,22493.1889
com.alibaba.aliexpresshd,com.alibaba.aliexpresshd,AliExpress - Shopping App,21587.2562
1629600786,1629600786,Holafly eSIM: Unlimited Data,20625.29
com.shopee.br,com.shopee.br,Shopee 8.8 Liquidação,19549.7952
6741076536,6741076536,Modo Casino Slots & Games,19254.3628
1462060332,1462060332,DraftKings Casino - Real Money,19009.0063
6471045672,6471045672,Tasty Travels: Merge Game,18884.7029
com.booking,com.booking,Booking.com: Hotels & Travel,18421.6619
6648798962,6648798962,Polymarket,18170.4536
1094591345,1094591345,Pokémon GO,17707.9204
com.doordash.driverapp,com.doordash.driverapp,DoorDash - Dasher,17472.8313
com.shopee.id,com.shopee.id,Shopee Indonesia,17015.6077
com.ecffri.arrows,com.ecffri.arrows,Arrows – Puzzle Escape,16920.2736
938003185,938003185,Robinhood: Trading & Investing,16450.6693
6468921495,6468921495,Vita Mahjong,15937.6227
com.mercadopago.wallet,com.mercadopago.wallet,Mercado Pago: cuenta digital,15824.7823
1375031369,1375031369,DraftKings: Sports & Casino,15586.1815
1523280942,1523280942,BETBOOM - ставки на спорт,15385.9362
1623318294,1623318294,Gossip Harbor®: Merge & Story,13983.703
org.xbet.client1-Custom,org.xbet.client1-Custom,,13951.6941
com.revolut.revolut,com.revolut.revolut,"Revolut: Spend, Save, Trade",13374.915
6751056652,6751056652,Pixel Flow!,13365.0028
1632713844,1632713844,Kalshi: Trade Events & Sports,12767.7779
850417475,850417475,Candy Crush Soda Saga,11886.6075
1436799971,1436799971,Binance: Buy Bitcoin & Crypto,11839.3549
1229016807,1229016807,Brawl Stars,11836.4165
6748155184,6748155184,"Courtyard: TCG, Watches, Cards",11793.1579
com.kwai.video,com.kwai.video,Kwai - Video & Drama,10788.9753
com.shopee.my,com.shopee.my,Shopee 8.8 Merdeka Sale,10505.8339
6747492600,6747492600,Mahjong Blast,9223.7685
6746437378,6746437378,Tang Luck: Casino Slots,9090.9441
1437843273,1437843273,PrizePicks - Sports Picks,8979.9405
ru.betboom.android-RuStore,ru.betboom.android-RuStore,,8944.9948
1642607669,1642607669,Game of Thrones: Dragonfire,8859.1464
836215269,836215269,Chime® – Mobile Banking,8835.0175
com.sgiggle.production,com.sgiggle.production,"Tango: Live Stream, Video Chat",8759.5259
1446254576,1446254576,Solitaire Cash: Win Real Money,8682.6263
6504421808,6504421808,Car Match - Traffic Puzzle,8528.5757
com.neptune.domino,com.neptune.domino,Higgs Games Island,8384.1321
com.dreamgames.royalkingdom,com.dreamgames.royalkingdom,Royal Kingdom,7691.0065
com.mexcpro.client,com.mexcpro.client,MEXC: Buy Bitcoin & Crypto,7669.1447
1620306376,1620306376,Jackpot City Real Money Casino,7452.6558
com.coupang.mobile,com.coupang.mobile,Coupang - Mobile Shopping,7371.6376
1605393003,1605393003,MEXC: Buy Bitcoin & Crypto,7343.9258
org.melbet.client-Custom,org.melbet.client-Custom,,7300.428
1327268470,1327268470,OKX: Buy Bitcoin BTC & Crypto,7300.395
com.shopee.ph,com.shopee.ph,Shopee PH: 8.8 Sale,7285.0136
6743212841,6743212841,Betty Casino: Real Money Slots,7068.3945
6711353682,6711353682,RealPrize Casino,7014.9247
6739554056,6739554056,Kingshot,6765.1124
1077137248,1077137248,"BIGO LIVE-Live Stream, Go Live",6674.4491
1166619854,1166619854,Фонбет – ставки на спорт,6441.8814
6748215412,6748215412,Белая мгла: выживание,6301.0682
jp.co.rakuten.android,jp.co.rakuten.android,楽天市場 - 楽天ポイントが貯まる日本最大級の通販アプリ,6110.6967
6744304405,6744304405,Cider Casino - Real Money,6085.2
com.freecash.app2,com.freecash.app2,Freecash: Earn Money,6020.4993
com.fatmerge.global,com.fatmerge.global,Tasty Travels: Merge Game,5701.5476
com.ultra.cleaner.viatmin.bbtrariy,com.ultra.cleaner.viatmin.bbtrariy,Ultra Phone Cleaner,5681.8647
com.dreamgames.royalmatch,com.dreamgames.royalmatch,Royal Match,5572.3984
com.creditkarma.mobile,com.creditkarma.mobile,Intuit Credit Karma,5380.056
6780891673,6780891673,Royal Smash! - Physics Puzzle,5289.1516
529996768,529996768,Bingo Blitz™ - BINGO Games,5246.354
1087101090,1087101090,Experian®,5231.2561
com.pinterest,com.pinterest,Pinterest,5184.2883
1522266397,1522266397,Bingo Cash - Win Real Money,5153.5247
1193801909,1193801909,"Dave: Credit, Cash & Money App",5133.3344
6768564100,6768564100,Bruno Reels Casino,5124.2156
1634589900,1634589900,PARI - ставки на спорт,5017.4093
com.draftkings.casino,com.draftkings.casino,DraftKings Casino - Real Money,4999.782
com.scopely.monopolygo,com.scopely.monopolygo,MONOPOLY GO!,4997.0036
1065803457,1065803457,Лига Ставок — ставки на спорт,4942.9364
com.shopee.vn,com.shopee.vn,Shopee 8.8 Ưu Đãi Nửa Giá,4833.4084
com.puzzlegames.puzzlebrickslegend,com.puzzlegames.puzzlebrickslegend,Color Block: Combo Blast,4773.9535
1574436604,1574436604,SUGO-Online Chat Party,4747.3037
880047117,880047117,Angry Birds 2,4703.0241
com.binance.dev,com.binance.dev,Binance: Buy Bitcoin & Crypto,4691.3232
sg.bigo.live,sg.bigo.live,Bigo Live - Live Streaming App,4643.0103
com.productmadness.lightninglink,com.productmadness.lightninglink,Lightning Link Casino Slots,4642.6583
550442071,550442071,Betway Casino Games & Slots,4640.7787
395979574,395979574,Spider Solitaire: Card Game,4593.1698
6760377931,6760377931,Mahjong Rumble: Win Real Cash,4543.6252
885372509,885372509,"Omio: Book Train, Bus & Flight",4497.0379
6758326278,6758326278,Amaze GO!,4409.1221
6472350114,6472350114,Grant Cash Advance,4361.0605
1599937506,1599937506,"Warhammer 40,000: Tacticus ™",4345.3599
com.agoda.mobile.consumer,com.agoda.mobile.consumer,Agoda: Cheap Flights & Hotels,4329.3234
1123582513,1123582513,Cashman Casino Slots Games,4325.3889
6739352969,6739352969,Mistplay: Play Games Earn Cash,4308.7765
de.cellular.ottohybrid,de.cellular.ottohybrid,OTTO – Online Shopping & Möbel,4279.7693
6566176181,6566176181,Gleaming Slots - Win Real Cash,4279.4273
6444946155,6444946155,JustPlay: Earn Loyalty Rewards,4221.9085
6618142292,6618142292,Flambé®: Merge and Cook,4086.2773
1064677082,1064677082,MoneyLion: Banking & Cash Back,4055.4672
6737595599,6737595599,Foundation: Galactic Frontier,4051.3919
com.lazada.android,com.lazada.android,Lazada 8.8 Sale,3973.9472
com.ubercab.eats,com.ubercab.eats,Uber Eats: Food and Grocery,3947.6152
6739792763,6739792763,Jackpot Go: Slots Casino,3939.5104
com.royalplay.speedx8,com.royalplay.speedx8,,3931.7878
6751921248,6751921248,Rips by Triumph,3910.5163
1304885184,1304885184,Vegas Live Slots Casino,3865.1651
com.kx.v,com.kx.v,,3823.6642
570198108,570198108,32Red Casino & Slots,3814.3207
6475757306,6475757306,Disney Solitaire,3770.3495
com.vitastudio.mahjong,com.vitastudio.mahjong,Vita Mahjong,3754.8251
6738905436,6738905436,Lavish Luck Casino,3689.963
6761760135,6761760135,Meowdoku!,3647.3604
1471983807,1471983807,Mostbet – apuestas deportivas,3582.1841
638689075,638689075,Township,3550.2733
com.productmadness.cashmancasino,com.productmadness.cashmancasino,Cashman Casino Slots Games,3511.6488
com.squareup.cash,com.squareup.cash,Cash App,3508.3684
ru.ligastavok.android-mob2,ru.ligastavok.android-mob2,,3503.7455
555063314,555063314,Turo — Better car rental,3492.9074
1617391485,1617391485,Block Blast！,3477.3032
6754009969,6754009969,Jackpot Nights,3457.6665
com.zhiliaoapp.musically.go,com.zhiliaoapp.musically.go,TikTok Lite - Faster TikTok,3411.2508
1230088754,1230088754,Capital·com: Trading & Finance,3405.2548
com.mergegames.gossipharbor,com.mergegames.gossipharbor,Gossip Harbor: Merge & Story,3393.2814
com.xm.webapp.global,com.xm.webapp.global,XM 360 - Trading App,3371.8443
com.moonactive.coinmaster,com.moonactive.coinmaster,Coin Master,3361.7875
com.onedebit.chime,com.onedebit.chime,Chime® – Fee-Free Banking,3338.9467
1311478292,1311478292,Mighty Fu Casino: Slots Game,3326.8556
com.nianticlabs.pokemongo,com.nianticlabs.pokemongo,Pokémon GO,3292.683
com.oakever.arrows,com.oakever.arrows,Amaze GO!,3281.5867
6738049542,6738049542,Merge Restyle,3275.6581
org.nustaronline.games,org.nustaronline.games,,3258.8428
1202888212,1202888212,PlayOJO Real Money Casino,3252.5254
com.activision.callofduty.shooter,com.activision.callofduty.shooter,Call of Duty®: Mobile,3213.9966
6477489729,6477489729,Google Gemini,3167.2436
com.run.tower.defense,com.run.tower.defense,Kingshot,3152.8598
1364215562,1364215562,Self – Credit Builder & Cash,3152.2252
1484442152,1484442152,Merge Mansion: Puzzles & Story,3143.518
1597760047,1597760047,OneState RP: Role Play Online,3114.4492
com.playrix.township,com.playrix.township,Township,3082.7124
1589643727,1589643727,Solitaire Clash: Win Real Cash,3081.8842
com.dd.doordash,com.dd.doordash,"DoorDash: Food, Grocery, More",3062.215
719972451,719972451,"DoorDash: Food, Grocery, More",3049.0168
1388838533,1388838533,FxPro: Bolsa de Valores,3039.5288
1359706682,1359706682,Standoff 2,3027.0131
com.ubercab,com.ubercab,Uber - Request a ride,3018.0973
1259203065,1259203065,WINLINE — ставки на спорт,2976.3941
com.aa999.aa999,com.aa999.aa999,,2949.3566
1616738407,1616738407,Fanatics Sportsbook & Casino,2937.3161
6504332779,6504332779,Color Block Jam,2915.2601
1636235979,1636235979,ReelShort - Stream Drama & TV,2913.4446
6757154335,6757154335,Cube Land Puzzle Game,2893.1692
com.igg.android.doomsdaylastsurvivors,com.igg.android.doomsdaylastsurvivors,Doomsday × FAIRY TAIL,2875.2494
354902315,354902315,Zynga Poker ™ - Texas Hold'em,2841.9943
com.potradeweb,com.potradeweb,Pocket Broker,2829.5132
com.superlive.liveapp,com.superlive.liveapp,SuperLive- Live Stream & Chat,2826.7683
com.shopee.th,com.shopee.th,Shopee 8.8 Double Sale,2813.4173
com.k8888.ocdos3115.wfmohx,com.k8888.ocdos3115.wfmohx,,2785.2389
1552206075,1552206075,Doomsday: Odysseus Returns,2770.4467
1463463143,1463463143,"C6 Bank: Cartão, conta e mais!",2759.3392
com.palu21.spherex5,com.palu21.spherex5,,2717.9485
905869418,905869418,DHgate-Online Wholesale Stores,2711.427
ca.sugarbush.jackpotcity,ca.sugarbush.jackpotcity,Jackpot City: Online Casino,2691.9771
814517475,814517475,CarGurus: Used & New Cars,2668.2174
1451754591,1451754591,DoorDash - Dasher,2664.7778
1274132545,1274132545,Total Battle: War Strategy,2655.828
1667151711,1667151711,KashKick: Get paid to have fun,2648.7825
6737852275,6737852275,Fanatics Casino - Real Money,2637.0554
ca.betty.app,ca.betty.app,Betty Casino: Real Money Slots,2627.9335
com.mercadolibre,com.mercadolibre,Mercado Libre: Compras online,2600.5514
com.cyphergames.royalsmash,com.cyphergames.royalsmash,Royal Smash! - Physics Puzzle,2589.6521
com.jazz.independently1.allocation16482,com.jazz.independently1.allocation16482,,2567.027
1287282214,1287282214,Call of Duty®: Mobile,2546.2509
485126024,485126024,DoubleDown™ Casino Vegas Slots,2544.2507
1475514684,1475514684,Bubble Cash,2509.1536
1117841866,1117841866,Empires & Puzzles: Match-3 RPG,2497.4964
1374403536,1374403536,BitLife - Life Simulator,2481.4074
327630330,327630330,Dropbox: Cloud Storage Backup,2477.4519
719525810,719525810,WSOP Poker: Texas Holdem Game,2473.667
com.ipicg.ds8899.rlhiub,com.ipicg.ds8899.rlhiub,,2442.8635
com.king.candycrushsodasaga,com.king.candycrushsodasaga,Candy Crush Soda Saga,2440.6487
com.ss.android.ttmd.video,com.ss.android.ttmd.video,PineDrama - Short Dramas,2354.2936
com.funzone.triplemahjong.gp,com.funzone.triplemahjong.gp,Triple Match - Mahjong 3D Game,2352.1356
6503697761,6503697761,Playtest Pro by BestPlay,2347.1929
com.tiktok.lite.go,com.tiktok.lite.go,TikTok Lite - Faster TikTok,2339.8982
com.duolingo,com.duolingo,Duolingo: Language Lessons,2332.0652
br.com.serasaexperian.consumidor,br.com.serasaexperian.consumidor,Serasa: Consulta CPF e Score,2308.9864
6450110217,6450110217,Triple Match City,2289.1872
1196764367,1196764367,Words With Friends Word Game,2236.5467
6478738305,6478738305,Vigor Solitaire for Seniors,2235.3394
529479190,529479190,Clash of Clans,2213.2061
com.playmate.playzone,com.playmate.playzone,,2211.8623
com.potradeweb.aitrading,com.potradeweb.aitrading,Pocket AI,2208.8092
com.playfungame.dream,com.playfungame.dream,,2204.7844
1158877342,1158877342,Grammarly: AI Keyboard & Notes,2197.7318
com.amazon.mShop.android.shopping,com.amazon.mShop.android.shopping,Amazon Shopping,2159.8524
559887125,559887125,Ibotta: Save & Earn Cash Back,2147.4066
com.football.app.android,com.football.app.android,Football.com : Sports Betting,2142.333
com.dhgate.buyermob,com.dhgate.buyermob,DHgate-online wholesale stores,2124.8894
299147843,299147843,Yahoo! JAPAN,2124.0507
com.bestplay.app,com.bestplay.app,BESTPLAY Play to earn & donate,2090.5409
912947244,912947244,"ClassPass: Fitness, Spa, Salon",2009.8546
806077016,806077016,War Robots Multiplayer Battles,2009.5913
6756989323,6756989323,Last Asylum: Plague,2004.6741
711923939,711923939,Cash App,1992.906
436672029,436672029,AliExpress - Shopping App,1988.7113
com.ea.gp.fifamobile,com.ea.gp.fifamobile,EA SPORTS FC Soccer Mobile 26,1973.8542
6763086795,6763086795,Solitaire Sweep: Win Real Cash,1971.6267
6469620341,6469620341,Betmaster - Casino En Vivo,1971.0185
1590150482,1590150482,"Snoggle: Chat, Meet & Date App",1938.4501
com.xm.webapp,com.xm.webapp,XM App – Trade with confidence,1937.611
com.ss.android.ugc.tiktok.lite,com.ss.android.ugc.tiktok.lite,TikTok Lite,1935.8169
739699649,739699649,Slotpark Casino Slots Online,1930.6877
1671500735,1671500735,Jackpot Dreams - Slots Casino,1924.8055
6757954676,6757954676,OG.com: Predict Soccer & More,1917.5853
com.coppel.coppelapp,com.coppel.coppelapp,Coppel: compras en línea,1910.629
6754047293,6754047293,Onyx - Sports Picks,1909.4163
6446474453,6446474453,Solitaire Royale - Win Money,1907.6126
959841449,959841449,Shopee 8.8 Ưu Đãi Nửa Giá,1896.4096
925436649,925436649,Mercado Pago: cuenta digital,1895.8087
com.playdemic.golf.android,com.playdemic.golf.android,Golf Clash - Golfing Simulator,1887.9272
com.okinc.okex.gp,com.okinc.okex.gp,OKX: Buy Bitcoin BTC & Crypto,1887.3622
betmastermx.casino,betmastermx.casino,Betmaster - Casino En Vivo,1879.9874
