rtb_connection_id,rtb_connection_name,total_spend_7d,daily_spend
5f6415539290720015d69d84,RTB - Liftoff US - Video,10345715.688845664,1477959.3841208091
64f1298ce61809722e836fa8,RTB - Liftoff US - Video (Android and Kochava),5150718.577844737,735816.9396921053
696a8b40850b5555fd0cb734,Albatross Americas - Fullscreen Display EP Test,1526647.2345929372,218092.4620847053
5f6415d4fd2311001528e9ef,RTB - Liftoff - Banner,1221008.3274138938,174429.7610591277
6488abee95097b18bf6f12b6,RTB - Moloco Video US EP (iOS Click Settings),1191482.1778740021,170211.739696286
674d58062be0a4da17375426,RTB - Temu Hybrid US,1096445.2921951753,156635.0417421679
6279c195e1e538a5d1e64090,RTB - Liftoff Native,869996.2173245251,124285.17390350359
673598849d6a7bcf892e103c,RTB - Temu Hybrid Glo,768318.6944121321,109759.81348744745
67690a997f53d01c71ab4768,RTB - Temu Hybrid EU,681574.5328268451,97367.79040383501
6780bd430510f6af103e8a71,RTB - Temu Hybrid US iOS,639749.5110277067,91392.78728967239
618a2a7eacd257d58a04fb44,RTB - Bidease Video,600315.2621056614,85759.32315795163
679322307f3abac79b0c54d4,RTB - Temu Hybrid EU iOS,459191.27233804937,65598.75319114991
699ccb2e74d791ee71fa048c,RTB - Albatross EU Fullscreen Display Test,455160.973819036,65022.99625986228
64a5e5d6272809611bca93b7,RTB - Moloco Video US EP (Android Click Settings),412919.62630799937,58988.51804399991
62c25c35fde7e51b65a10256,RTB - Mintegral US Video AD TEST,390192.4110427877,55741.77300611253
60c06e573c721d0016a2184e,RTB - Mintegral  Video NO US,361316.4938260254,51616.641975146485
6447f2b719cf692424a1aa34,RTB - Moloco Video EU EP (iOS Click Settings),358720.80506099976,51245.829294428535
5fbc0775e217bf001607c514,RTB - Personaly Video,350255.6632871015,50036.523326728784
610114023b0d9d6e3e3d8c8c,RTB - Mintegral hardcore video,304190.4239151537,43455.77484502196
685a21266d0d8332fec4ca4a,RTB - ByteDance Global (Main) - new,268461.63312608073,38351.661875154394
5bc0e200eb95ad0016cfb668,RTB - Moloco Video EU EP (Android Click Settings),257775.79033000104,36825.11290428586
6526e22dc0528e9f115f3b6f,RTB - Topon Video,255577.827958744,36511.11827982057
65b7e6e970cf2071ef5f7404,RTB - Kwai Video,245824.52696675816,35117.789566679734
6a0d76d87c1c31c340d0a255,Exchange - RTB - Domob US Static Interstitial (instl=0),238343.70203551956,34049.100290788505
6466ec2e03589dafe3125756,RTB- Yeahmobi US Main EP,238109.1202353747,34015.58860505353
6494b97f1dc30324c5cbec24,RTB - Moloco Video APAC EP (iOS Click Settings),213567.58533700046,30509.655048142922
607717d4b6c2cb001602a37b,RTB - Smadex Video,208504.30724586986,29786.329606552838
5fffe814b914c60016220ff2,RTB - Opera USA Video,200915.18909323448,28702.16987046207
64f7be44642a5689719e0fed,RTB - Bidease Video 3P Tester,200478.59545169963,28639.799350242803
5fffe93223b7ae0016876e86,RTB - Opera EU Video,183407.07626549757,26201.010895071082
5f9b33d146a46f00108de996,RTB - Aarki Video,180848.16790885723,25835.452558408175
6153f73630e6957821184079,Exchange - RTB - BigoDsp  EU Video 2nd,168820.05843288038,24117.1512046972
60c06de4baf1a10016f0a466,RTB - Mintegral  Video,166974.67048525056,23853.524355035795
5fffe8bb475b140016af8530,RTB - Opera APAC Video,160318.08467956897,22902.58352565271
695d62a965f848fb8e72b523,RTB - Adikteev Video (DID PF),149650.55777613746,21378.65111087678
67a243669a82038cc57dc441,RTB - Start.io - Hybrid Interstitial Test Unlimited,149320.18632089387,21331.455188699125
66cde92cfef7bbff52d0d6d1,RTB - Rhebus HK Thunder - EMEA - Banner,148225.7532600008,21175.107608571543
5e704fab77219f0016ddb3b6,RTB - Webeye - US Main EP,139028.1287781586,19861.161254022656
63c1a6cfdcb25879b250b23b,RTB - Moloco Native US EP,138907.46832000164,19843.92404571452
64888a3e5a52a321f59110b8,RTB - RTB House Video EMEA EP,127864.92271664517,18266.41753094931
64a5e782a9fb64648ab7d626,RTB - Moloco Video APAC EP (Android Click Settings),125827.91769700019,17975.41681385717
5fd85b0af20710001613f7ea,RTB - Kayzen - EU Video,121491.96212375608,17355.99458910801
66d7fe326ca72c3b7f276659,Meister-Winazon,120844.14676000045,17263.449537142922
6a0666260ca1ae43e1370c77,RTB - Dataseat Video (IOS Exploit) Allow List,114224.14855979868,16317.735508542668
65119d580802af8c8b70caf4,RTB - Dataseat Video (IOS Exploit) Tester,113432.82685241019,16204.689550344312
6793206500696fce1a6ca07e,RTB - Temu Hybrid Glo iOS,112946.81424735585,16135.259178193694
67c0fee1761d7078edb41104,RTB - RTB House Video PL,110620.45049233422,15802.921498904889
64948379b924984742321394,RTB - InMobi iDSP Video EP,110228.48234920675,15746.926049886679
685a24eb57e688edba53be38,RTB - ByteDance - JP only (Main) - new,109762.12728304973,15680.303897578533
5e568cd78853580010a4044d,RTB - Webeye - Primary,106043.48556328799,15149.069366184
64a3cf8ca9fb64648ab7be46,RTB - Yeahmobi SG Video,98969.08076725165,14138.44010960738
6135c347b711070e7ce88ef2,Exchange - RTB - BigoDsp US Video Android 1135,98019.35245492993,14002.764636418562
6153f87074f11f888a818e06,Exchange - RTB - BigoDsp EU Video 2nd,97327.53243356904,13903.933204795578
639249d6606d1d85ff944a46,Exchange - RTB - Yandex Video (High Performing),89829.79782255314,12832.828260364735
6a17f78a53649a2cf8193778,Exchange - RTB - OperaUnite  RU Video Only,84325.6916715923,12046.527381656042
62f47a9adcc0abe8396b7ac5,Exchange - RTB - Consumable MREC,84058.89987939957,12008.414268485652
66d733acb6de74f94003eaa3,RTB - Remerge Video - IDFA - Top Geos,82593.14749013995,11799.021070019993
636d848965338d35d19044d5,RTB - Webeye - Primary Tester,76739.61310351598,10962.801871930855
5f86383c18eece0010058e72,RTB - Moloco Banner US EP,76415.7148800013,10916.530697143042
680a6df1c788ddae0e26b7a7,RTB - Rhebus HK Thunder - EMEA - Video,76094.36253000001,10870.62321857143
5e150d008dc36c0016202f25,RTB - YouAppi Video,75173.11492423815,10739.016417748308
665e5c2fb51b30a6bc6dc00d,RTB - RTBHouse Video APAC test,72661.30097335938,10380.185853337054
60c8775df704550016bda0fd,RTB - Bigabid Interstitial,72012.84009699993,10287.548585285705
66ba382691fb3c84912f81b0,RTB - Appier Video KR - DO NOT PAUSE,70165.3042981927,10023.614899741815
67f966197026cf29aeaabc48,RTB - Thunder Monetize - Americas - Banner,68461.40716000026,9780.20102285718
663168de875e54ea5d18aebe,RTB - Acuityads Static Interstitial [New EP],67975.34657385004,9710.763796264291
66cde8e279ffc97e9107ca53,RTB - Rhebus HK Thunder - US - Banner,66101.7152800008,9443.102182857258
68a44d31ab7c18b08d2d2e97,RTB - Temu Hybrid EU iOS Exp,65372.581096851114,9338.940156693016
69c325d3ade9a1a007b14150,Criteo - EMEA EP - Fullscreen Video,65109.06461905004,9301.294945578577
621f1ca28fe6c30240ef650e,Exchange - RTB - Advlion APAC Video 10058,62939.52740030052,8991.361057185788
645a4c3b3a2af463761020e5,RTB - RTB House Video RoW EP,62064.45369799055,8866.350528284365
685a231457e688edba53be35,RTB - ByteDance - KR only (Main) - new,58521.27903898995,8360.182719855708
636b48408f2f0440e07a9200,Exchange - RTB - Bluesea Video EU,55986.08591220011,7998.012273171445
62a830a7975125fe4e90d762,Exchange - RTB - Bluesea banner US,55448.4523052995,7921.2074721856425
6447f37043c3e314872e6c08,RTB - Moloco Banner EU EP,51978.86098100033,7425.551568714333
6226cb012387d4c387d0f866,Exchange - RTB - Ignite  Video 12,50975.17852168032,7282.168360240045
680a6c96c788ddae0e26b7a3,RTB - Rhebus HK Thunder - US - Video,49550.417699999976,7078.631099999997
60c06d797ff8af0016c93940,RTB - Mintegral Banner,48960.65437948209,6994.37919706887
620deedf524ea89e56ea7acf,Exchange - RTB - Advlion US EP Video 5142,47392.881817399866,6770.411688199981
64c171571a7ef661763e2fe1,RTB - RevX Video US,47052.60742121024,6721.801060172891
64c995c3d864f19c11871979,RTB - Jampp Video 3P Tester,47040.57725872144,6720.082465531634
6447f45143c3e314872e6c13,RTB - Moloco Native EU EP,45964.48399300022,6566.354856142889
68623979c91f8ce8aec2fe66,RTB - Bluesea US Video,45835.47113630008,6547.924448042869
654deb0b37437ddf41f2ffb8,RTB - Webeye - United States,45409.18337863003,6487.026196947147
645009811e3a53ba53810b74,RTB - BetweenX NWS Video EP,45325.82802272686,6475.11828896098
66105db19017769c22684511,RTB - BetweenX NWS Video EP (Russia 2X),45245.46825898789,6463.638322712555
65aff764b7a227c94c21a0f3,RTB - Moloco Video APAC EP India/Indonesia Only (Android Click Settings),44664.71079099982,6380.672970142832
6135c2fb610d4761b5399d12,Exchange - RTB - BigoDsp APAC Video,43378.55963038275,6196.937090054678
618a2b05c9484e4393ccdec3,RTB - Bidease Banner,41698.18803658523,5956.884005226461
668f69932a1c508e1b391b34,Exchange - RTB - Ignite video 19,40830.27394609104,5832.896278013005
66678bb421064ac8d9f1e437,RTB - Start.io - Static Interstitial Limited Hybrid,40043.81604056555,5720.5451486522215
5f9b340d46a46f00108de997,RTB - Aarki Banner,39395.135621265596,5627.876517323656
68a44f02f0c5212b46f5210f,RTB - Temu Hybrid US iOS Exp,38624.03578743158,5517.719398204512
59cbf587d5db88f16f0015d6,RTB - Jampp Video,37982.23872049354,5426.034102927648
607718045820a60016c5234f,RTB - Smadex Banner,37960.25794222025,5422.893991745749
69a6ecbb9d514fc87771ac2e,RTB - Coupang - Fullscreen Video Object Only,35322.35452011309,5046.050645730442
6813d3eafa80161168fbffe6,RTB - RTB House Video APAC Throttled,35120.45420181487,5017.20774311641
67accef8ad5bfbdfbe83a124,RTB - Start.io - Rewarded Hybrid,34684.179518284094,4954.882788326299
