rtb_connection_id,rtb_connection_name,rtb_account_id,rtb_account_name,connection_daily_spend,supported_platforms,allow_platform_ios,allow_platform_android,list_type,allowed_app_id,allowed_app_name,allowed_platform,allowed_market_id,allowed_daily_spend,missed_app_id,missed_app_name,missed_platform,missed_market_id,missed_daily_spend,publisher_account_id,publisher_account_name,sibling_match_score,gap_type
618a2a7eacd257d58a04fb44,RTB - Bidease Video,618a29d9ef3f360017e9acca,Exchange - RTB - Bidease,98951.95,"ios,android,amazon",True,True,deny,661898f2c0c070078a977fb4,Goods Sorting: Match 3 Puzzle iOS PM_1945,ios,6482849843.0,7124.14,660a20c0c5f237ebf7b4ac68,Goods Sorting: Match 3 Puzzle PM_1945,android,com.fc.goods.sort.matching.puzzle.triplemaster,2443.63,5a57133a3610bbb671016ff3,FALCON GLOBAL LTD.,1.0,deny_list_blocked_sibling
618a2a7eacd257d58a04fb44,RTB - Bidease Video,618a29d9ef3f360017e9acca,Exchange - RTB - Bidease,98951.95,"ios,android,amazon",True,True,deny,662687403b493c22d404bf70,Chai iOS,ios,1544750895.0,3290.71,6626876f3b493c22d404bf75,Chai Android,android,com.Beauchamp.Messenger.external,1385.77,662686e7216c0b00118aef81,Chai Research Corp,1.0,deny_list_blocked_sibling
618a2a7eacd257d58a04fb44,RTB - Bidease Video,618a29d9ef3f360017e9acca,Exchange - RTB - Bidease,98951.95,"ios,android,amazon",True,True,deny,659d11d33133fb3ba24a34c9,Piggy Kingdom iOS,ios,1635337354.0,48.82,65802019356fbd1f45ff6c6f,PiggyKingdom,android,com.olleyo.piggy.king.free,710.02,64075f57d6da1900141e5aba,Code Dish GmbH,0.96,deny_list_blocked_sibling
618a2a7eacd257d58a04fb44,RTB - Bidease Video,618a29d9ef3f360017e9acca,Exchange - RTB - Bidease,98951.95,"ios,android,amazon",True,True,deny,6614fba7d4cf07f390ceb5fa,Gangs Wars: Pixel Shooter RP,ios,6480068773.0,0.28,65d4c6be7f94e82ba925e403,Gangs Wars: Pixel Shooter RP,android,com.actopolus.PixelDudeSandbox,181.76,5ec6f4dbdae5f50015c2980b,PCA Bear LLC,1.0,deny_list_blocked_sibling
618a2a7eacd257d58a04fb44,RTB - Bidease Video,618a29d9ef3f360017e9acca,Exchange - RTB - Bidease,98951.95,"ios,android,amazon",True,True,deny,62431d685ea4246a988f8d44,Decor Life,ios,1609970658.0,245.76,620f8d7d2648213ed08fb4e1,Decor Life,android,com.decor.life,181.6,5fc671cbba624b0015a61bf1,Saygames LTD,1.0,deny_list_blocked_sibling
618a2a7eacd257d58a04fb44,RTB - Bidease Video,618a29d9ef3f360017e9acca,Exchange - RTB - Bidease,98951.95,"ios,android,amazon",True,True,deny,6149c870a4666e28ac0bfbc7,Lumber inc (iOS),ios,1552153525.0,353.52,613723fbde44cf53e836470a,Lumber Inc,android,com.lumber.inc,170.11,5c6a96f373ca3d6bbe3fff38,AppQuantum,1.0,deny_list_blocked_sibling
618a2a7eacd257d58a04fb44,RTB - Bidease Video,618a29d9ef3f360017e9acca,Exchange - RTB - Bidease,98951.95,"ios,android,amazon",True,True,deny,68b745a053ed8f1c847e64b5,Bus Times iOS,ios,475360935.0,815.6,68b746df336ff3da36c5ec21,BusTimes-Android,android,com.mobispector.bustimes,129.8,68b71eb3d7cac5dae6e2a61f,Mobicia Limited,0.9412,deny_list_blocked_sibling
618a2a7eacd257d58a04fb44,RTB - Bidease Video,618a29d9ef3f360017e9acca,Exchange - RTB - Bidease,98951.95,"ios,android,amazon",True,True,deny,69a9c0720aad799a75babce4,Snipers Duel,ios,6744592672.0,0.0,69ab0428a5433b0e065f2cc5,Snipers Duel,android,com.AndreiGushchin.NoCoverClashSnipersDuel,64.45,56d55c72562b9c353800000d,Voodoo,1.0,deny_list_blocked_sibling
618a2a7eacd257d58a04fb44,RTB - Bidease Video,618a29d9ef3f360017e9acca,Exchange - RTB - Bidease,98951.95,"ios,android,amazon",True,True,deny,65cc84f07f94e82ba925ca5a,Belote iOS,ios,737698958.0,223.31,65cc80d17f94e82ba925ca3d,Belote Android,android,com.gameduell.mobile.belote,61.74,65cb5af6a3d8e1001191d9d7,GameDuell GmbH,1.0,deny_list_blocked_sibling
618a2a7eacd257d58a04fb44,RTB - Bidease Video,618a29d9ef3f360017e9acca,Exchange - RTB - Bidease,98951.95,"ios,android,amazon",True,True,deny,664eff3e2e53014522970669,DreameShort - Drama TV,ios,6462846884.0,35.05,664efe5103a2e938b0e0b045,DreameShort - Dramas and Shows,android,com.stary.dreamshort,57.19,637edc69664c1a001bb36e2d,CRATER PTE LTD,0.75,deny_list_blocked_sibling
