iab_category_code,spend_14d,daily_spend,pct_of_network
IAB9-30,11102875.054460626,793062.5039,0.1722421
IAB22,5631124.141003213,402223.1529,0.08735725
IAB9,5360052.157580912,382860.8684,0.08315204
IAB9-7,3212070.9040416046,229433.636,0.04982978
IAB13,3031485.489923641,216534.6779,0.04702831
IAB1,2290981.4749696357,163641.5339,0.03554066
IAB19-29,1923189.00628985,137370.6433,0.02983499
IAB9-5,1096143.5886668912,78295.9706,0.01700479
IAB13-4,1049301.0512125185,74950.0751,0.01627811
IAB19-5,1042407.674578775,74457.691,0.01617117
IAB8,891619.5526873951,63687.1109,0.01383195
IAB20,740151.3498729441,52867.9536,0.01148218
IAB14,730740.59202418,52195.7566,0.01133619
IAB17,709167.752897861,50654.8395,0.01100152
IAB19,569344.5250510445,40667.4661,0.00883241
IAB3,530240.1188252864,37874.2942,0.00822577
IAB13-7,522957.09566206986,37354.0783,0.00811278
IAB18-1,439007.57061169774,31357.6836,0.00681045
IAB18-6,363410.1368174466,25957.8669,0.00563769
IAB6,346657.15068657283,24761.225,0.00537779
IAB10,322598.9423385615,23042.7816,0.00500457
IAB7,244757.68452479478,17482.6918,0.003797
IAB16,189643.49027596271,13545.9636,0.00294199
IAB19-6,180580.25327588117,12898.5895,0.00280139
IAB9-25,171286.06460757935,12234.7189,0.00265721
IAB24,171242.66393386372,12231.6189,0.00265654
IAB7-44,143280.57831952564,10234.327,0.00222275
IAB18,137492.5975077077,9820.8998,0.00213296
IAB7-50,128954.35959738656,9211.0257,0.00200051
IAB13-2,125262.17707265778,8947.2984,0.00194323
IAB9-10,124904.27642872163,8921.734,0.00193768
IAB14-1,108449.6112532948,7746.4008,0.00168241
IAB2,103919.6478375579,7422.832,0.00161214
IAB21,100484.39367404506,7177.4567,0.00155884
IAB12,88512.35265252652,6322.3109,0.00137312
IAB8-9,83841.68333131005,5988.6917,0.00130066
IAB1-5,70383.20988493461,5027.3721,0.00109188
IAB1-9,67139.77732045724,4795.6984,0.00104156
IAB5,59167.837251409335,4226.2741,0.00091789
IAB18-5,58182.988886607105,4155.9278,0.00090261
IAB18-3,56855.22185937783,4061.0873,0.00088201
IAB7-1,51256.67678684788,3661.1912,0.00079516
IAB7-32,50305.33131927166,3593.238,0.0007804
IAB1-6,45297.112935649355,3235.5081,0.00070271
IAB2-1,39217.3796656411,2801.2414,0.00060839
IAB4,37342.95396349858,2667.3539,0.00057931
IAB7-45,34809.61752548547,2486.4013,0.00054001
IAB10-1,34750.83184682313,2482.2023,0.0005391
IAB13-11,30949.021397605302,2210.6444,0.00048012
IAB9-2,30921.0189046057,2208.6442,0.00047969
IAB10-9,30703.709823118228,2193.1221,0.00047632
IAB10-4,29996.444707474602,2142.6032,0.00046534
IAB1-1,29642.743232282497,2117.3388,0.00045986
IAB21-1,29408.534243781152,2100.6096,0.00045622
IAB22-1,28425.660414669102,2030.4043,0.00044098
IAB2-3,28039.434020066074,2002.8167,0.00043498
IAB9-13,27251.528245677917,1946.5377,0.00042276
IAB6-2,26485.58698810538,1891.8276,0.00041088
