rtb_account_id,rtb_account_name,spend_14d,daily_spend,pct_of_network
5f6413c9612b1a0015099993,Exchange - RTB - Liftoff,27155653.980172306,1939689.57,0.42127349
67055dc40f05bd0011e279ae,Exchange - RTB - Temu,7980217.131527094,570015.5094,0.12379941
5bc0e10e25c7d7796ebe8fc0,Exchange - RTB - Moloco,5237554.436461678,374111.0312,0.08125169
66e46b7a0f05bd0011e180e6,Exchange - RTB - Albatross,2071669.1845624025,147976.3703,0.0321384
66cde67e3db5f70011e66c74,Exchange - RTB - Rhebus HK Limited,1603542.8280700152,114538.7734,0.02487622
618a29d9ef3f360017e9acca,Exchange - RTB - Bidease,1488221.6976529392,106301.5498,0.02308721
60bdc983a982ad0017edb6f7,Exchange - RTB - Mintegral,1390841.497373814,99345.8212,0.02157653
5e56893e6c71d40018de3ad1,Exchange - RTB - Webeye,1190692.057474735,85049.4327,0.01847155
645a4ac71263430014fc0a33,Exchange - RTB - RTBHouse,1169906.4575874659,83564.747,0.0181491
5fffe796e4fa2100156e364a,Exchange - RTB - Opera,1129384.6833177914,80670.3345,0.01752047
5caf77f1e04ca66a2d4bcd7c,Exchange - RTB - ByteDance,1110031.2614471775,79287.9472,0.01722024
5e89fcef428f870016d9e994,Exchange - RTB - Yeahmobi,915743.9483516733,65410.282,0.0142062
6135c233b2f85d001747c3d2,Exchange - RTB - Bigodsp,790324.6168735613,56451.7583,0.01226053
65660afecebd4a0011dcc2ac,Exchange - RTB - Start.io,721228.3811900557,51516.3129,0.01118862
5fbc06efdcdfdb0015dda411,Exchange - RTB - Personaly,663222.4661898037,47373.0333,0.01028876
602442ef9f0893001526406b,Exchange - RTB - Dataseat,603617.236210233,43115.5169,0.00936409
6526e0feb1392d001124df7d,Exchange - RTB - Topon,589617.7049382685,42115.5504,0.00914691
65b7e5c3d5f847001169024b,Exchange - RTB - Kwai,513845.49853849143,36703.2499,0.00797143
61e94b2bc6dbdc0017ea3870,Exchange - RTB - Ignite,458291.2883032638,32735.092,0.0071096
615ff7aacf8ca30017d834ea,Exchange - RTB - Bluesea,456627.29771449807,32616.2356,0.00708379
60770b778d0e4a0015f20ea9,Exchange - RTB - Smadex,424898.3907152217,30349.8851,0.00659157
5f06518e8421a500152881bb,Exchange - RTB - Adikteev,374545.17930564017,26753.2271,0.00581043
561e8d976b8d90f61a004143,Exchange  - Programmatic,346475.7928000007,24748.2709,0.00537498
5fd73c61617f68000fb6584f,Exchange - RTB - Kayzen,344460.47733325494,24604.3198,0.00534371
67f579a965660600111030c2,Exchange - RTB - Thunder Monetize,340633.9114099993,24330.9937,0.00528435
5e150c8b5fd7df7b642140df,Exchange - RTB - YouAppi,338644.62852432387,24188.902,0.00525349
5f9b336ea3b86126bbdb3aa1,Exchange - RTB - Aarki,303959.6056106413,21711.4004,0.00471541
63924801f7a526001bc728e2,Exchange - RTB - Yandex,297124.21819391235,21223.1584,0.00460937
62451df8df1c7b0011064d0d,Exchange - RTB - DoMob,295713.11092663446,21122.3651,0.00458748
61dba28ceabd16001728ae11,Exchange - RTB - Advlion,281694.95486819965,20121.0682,0.00437002
61c23cfa1958de001706a194,Exchange- RTB- Acuityads,272741.34324460034,19481.5245,0.00423112
61936e419aca75001740e38a,Exchange - RTB - Remerge,255348.45493892275,18239.1754,0.00396129
5e8e56f8fc8d4200150b3c16,Exchange - RTB - Appier,248226.86291023187,17730.4902,0.00385081
60c86e9b217f2400175cfe6b,Exchange - RTB - Bigabid,247163.7036289998,17654.5503,0.00383432
561e8d936b8d90f61a000d2f,Exchange - RTB - Jampp,244262.1894184087,17447.2992,0.00378931
644fff26ff6cc5001440892f,Exchange - RTB - BetweenX NWS,205795.59615660217,14699.6854,0.00319257
62d4edd34b2125001b0a042a,Exchange - RTB - Galaxy,198265.5617818954,14161.8258,0.00307575
64c165a37c1dd00011cb65f1,Exchange - RTB - RevX,162837.28324980076,11631.2345,0.00252614
649482d5cec8d700113d2881,Exchange - RTB - InMobi iDSP,146871.73480118613,10490.8382,0.00227846
6391345e690bb000176c1058,Exchange - RTB - Kidoz,145507.52064174914,10393.3943,0.0022573
67ef127dc1727d00118d86e2,Exchange - RTB - Criteo,141170.65117658017,10083.6179,0.00219002
63d743e53639240014ba0ddd,Exchange - RTB - OperaUnite,129121.13040373544,9222.9379,0.00200309
624a723e1bad4b0011a0cfd7,Exchange - RTB - Xtend,117423.96222519997,8387.4259,0.00182163
685d0956892f9d0011d79cb7,Exchange - RTB - Zmaticoo,105733.72892622105,7552.4092,0.00164028
5f8f4996f2a95d39439fccf1,Exchange - RTB - Bidmachine,102857.78592336415,7346.9847,0.00159566
69a6eb8e8bd5a04249ce2e3d,Exchange - RTB - Coupang,101583.47382249728,7255.9624,0.00157589
671bd87469f356001105653b,Exchange - RTB - Tradplus,94299.97817494311,6735.7127,0.0014629
67cffc9a23012b0011aed182,Exchange - RTB - Shareit,77057.06632588289,5504.0762,0.00119541
631c290e3f7bdc001bdfb779,Exchange - RTB - Novabeyond,76512.41783795958,5465.1727,0.00118696
60c9b375fb988e0017d6e500,Exchange - RTB - Appreciate,73962.32662400037,5283.0233,0.0011474
60ebaee89459b10017db3907,Exchange - RTB - Magnite,56093.57598974425,4006.684,0.0008702
62563a74f5c7a20011b32398,Exchange - RTB - Smaato,49501.26469697474,3535.8046,0.00076793
5b9827f6abdbc240d1d45071,Exchange - RTB - OpenX,48569.490708000005,3469.2493,0.00075347
6168e52a9008de00174bc182,Exchange - RTB - Flatads,44828.62800837965,3202.0449,0.00069544
63d743303639240014ba0dd0,Exchange - RTB - Microcloud,43248.382820261024,3089.1702,0.00067092
