rtb_connection_id,rtb_connection_name,spend_14d,daily_spend,pct_of_network
5f6415539290720015d69d84,RTB - Liftoff US - Video,13137631.532929542,938402.2524,0.20380787
64f1298ce61809722e836fa8,RTB - Liftoff US - Video (Android and Kochava),10163317.400230644,725951.2429,0.15766647
5f6415d4fd2311001528e9ef,RTB - Liftoff - Banner,2248705.785647944,160621.8418,0.03488482
674d58062be0a4da17375426,RTB - Temu Hybrid US,1900502.4772692847,135750.1769,0.02948304
696a8b40850b5555fd0cb734,Albatross Americas - Fullscreen Display EP Test,1807472.5766357875,129105.184,0.02803984
67690a997f53d01c71ab4768,RTB - Temu Hybrid EU,1641535.1566804124,117252.5112,0.02546561
6488abee95097b18bf6f12b6,RTB - Moloco Video US EP (iOS Click Settings),1609988.931230997,114999.2094,0.02497622
6279c195e1e538a5d1e64090,RTB - Liftoff Native,1605999.2613699334,114714.233,0.02491433
673598849d6a7bcf892e103c,RTB - Temu Hybrid Glo,1476646.7401323055,105474.7672,0.02290765
6780bd430510f6af103e8a71,RTB - Temu Hybrid US iOS,1378960.8203721307,98497.2015,0.02139222
618a2a7eacd257d58a04fb44,RTB - Bidease Video,1012315.2121349041,72308.2294,0.01570434
679322307f3abac79b0c54d4,RTB - Temu Hybrid EU iOS,1007633.1389118938,71973.7956,0.0156317
680a6c96c788ddae0e26b7a3,RTB - Rhebus HK Thunder - US - Video,982225.7743200029,70158.9839,0.01523755
64a5e5d6272809611bca93b7,RTB - Moloco Video US EP (Android Click Settings),711572.8547589974,50826.6325,0.01103883
6447f2b719cf692424a1aa34,RTB - Moloco Video EU EP (iOS Click Settings),680917.6884659972,48636.9777,0.01056327
62c25c35fde7e51b65a10256,RTB - Mintegral US Video AD TEST,648540.0706692481,46324.2908,0.01006099
5fbc0775e217bf001607c514,RTB - Personaly Video,605274.4869169992,43233.8919,0.0093898
685a21266d0d8332fec4ca4a,RTB - ByteDance Global (Main) - new,593634.4208622251,42402.4586,0.00920922
5bc0e200eb95ad0016cfb668,RTB - Moloco Video EU EP (Android Click Settings),550563.8961639991,39325.9926,0.00854106
6526e22dc0528e9f115f3b6f,RTB - Topon Video,549319.2368725225,39237.0883,0.00852175
60c06e573c721d0016a2184e,RTB - Mintegral  Video NO US,542335.6803724769,38738.2629,0.00841341
6466ec2e03589dafe3125756,RTB- Yeahmobi US Main EP,538551.9525816181,38467.9966,0.00835471
65b7e6e970cf2071ef5f7404,RTB - Kwai Video,475448.82050351414,33960.63,0.00737577
63c1a6cfdcb25879b250b23b,RTB - Moloco Native US EP,438219.0360110061,31301.3597,0.00679822
5e704fab77219f0016ddb3b6,RTB - Webeye - US Main EP,436180.98087157204,31155.7843,0.0067666
6494b97f1dc30324c5cbec24,RTB - Moloco Video APAC EP (iOS Click Settings),423234.5200569989,30231.0371,0.00656576
64f7be44642a5689719e0fed,RTB - Bidease Video 3P Tester,396638.23644639296,28331.3026,0.00615316
5fffe814b914c60016220ff2,RTB - Opera USA Video,382600.2645528798,27328.5903,0.00593539
67a243669a82038cc57dc441,RTB - Start.io - Hybrid Interstitial Test Unlimited,380090.38852306874,27149.3135,0.00589645
5fffe93223b7ae0016876e86,RTB - Opera EU Video,366166.9141471224,26154.7796,0.00568045
5fffe8bb475b140016af8530,RTB - Opera APAC Video,359796.10170426464,25699.7216,0.00558162
66d7fe326ca72c3b7f276659,Meister-Winazon,346475.7928000015,24748.2709,0.00537498
64888a3e5a52a321f59110b8,RTB - RTB House Video EMEA EP,326331.01404695906,23309.3581,0.00506247
5e568cd78853580010a4044d,RTB - Webeye - Primary,310992.39273617713,22213.7423,0.00482451
607717d4b6c2cb001602a37b,RTB - Smadex Video,309305.9591736513,22093.2828,0.00479835
67c0fee1761d7078edb41104,RTB - RTB House Video PL,306732.93884389324,21909.4956,0.00475844
695d62a965f848fb8e72b523,RTB - Adikteev Video (DID PF),293023.5983962755,20930.257,0.00454576
6793206500696fce1a6ca07e,RTB - Temu Hybrid Glo iOS,284338.4114008084,20309.8865,0.00441102
65119d580802af8c8b70caf4,RTB - Dataseat Video (IOS Exploit) Tester,268262.06548849575,19161.5761,0.00416163
64a5e782a9fb64648ab7d626,RTB - Moloco Video APAC EP (Android Click Settings),267778.6492929996,19127.0464,0.00415413
6a0666260ca1ae43e1370c77,RTB - Dataseat Video (IOS Exploit) Allow List,255835.44632160926,18273.9605,0.00396885
639249d6606d1d85ff944a46,Exchange - RTB - Yandex Video (High Performing),250870.2296106525,17919.3021,0.00389182
624520df75fd8b6b8d22b62e,Exchange - RTB - Domob Video,247142.080795871,17653.0058,0.00383399
6153f87074f11f888a818e06,Exchange - RTB - BigoDsp EU Video 2nd,234505.74495003297,16750.4104,0.00363796
5f9b33d146a46f00108de996,RTB - Aarki Video,233438.40563327272,16674.1718,0.0036214
64a3cf8ca9fb64648ab7be46,RTB - Yeahmobi SG Video,228785.0526312808,16341.7895,0.00354921
636d848965338d35d19044d5,RTB - Webeye - Primary Tester,223917.2454602482,15994.089,0.00347369
6153f73630e6957821184079,Exchange - RTB - BigoDsp  EU Video 2nd,223116.86588477207,15936.919,0.00346128
5fd85b0af20710001613f7ea,RTB - Kayzen - EU Video,216675.01179513638,15476.7866,0.00336134
699ccb2e74d791ee71fa048c,RTB - Albatross EU Fullscreen Display Test,214717.4617552576,15336.9616,0.00333097
621f1ca28fe6c30240ef650e,Exchange - RTB - Advlion APAC Video 10058,204358.38903250024,14597.0278,0.00317027
67f966197026cf29aeaabc48,RTB - Thunder Monetize - Americas - Banner,203843.68114000058,14560.2629,0.00316229
685a24eb57e688edba53be38,RTB - ByteDance - JP only (Main) - new,198992.65933656992,14213.7614,0.00308703
665e5c2fb51b30a6bc6dc00d,RTB - RTBHouse Video APAC test,187556.18677650738,13396.8705,0.00290961
680a6df1c788ddae0e26b7a7,RTB - Rhebus HK Thunder - EMEA - Video,184397.62966999944,13171.2593,0.00286061
5e150d008dc36c0016202f25,RTB - YouAppi Video,170439.0412132412,12174.2172,0.00264407
68a44d31ab7c18b08d2d2e97,RTB - Temu Hybrid EU iOS Exp,153948.21788389987,10996.3013,0.00238824
66d733acb6de74f94003eaa3,RTB - Remerge Video - IDFA - Top Geos,153616.75974485595,10972.6257,0.0023831
615ff8cd38009092a90489bd,Exchange - RTB - Bluesea US Video,149250.97973249998,10660.7843,0.00231537
68623979c91f8ce8aec2fe66,RTB - Bluesea US Video,148932.81472659923,10638.0582,0.00231044
6135c2fb610d4761b5399d12,Exchange - RTB - BigoDsp APAC Video,146791.09869016174,10485.0785,0.00227721
685a231457e688edba53be35,RTB - ByteDance - KR only (Main) - new,146657.55147066968,10475.5394,0.00227514
645a4c3b3a2af463761020e5,RTB - RTB House Video RoW EP,141953.59979816736,10139.5428,0.00220217
66cde8e279ffc97e9107ca53,RTB - Rhebus HK Thunder - US - Banner,141804.12462000013,10128.866,0.00219985
66cde92cfef7bbff52d0d6d1,RTB - Rhebus HK Thunder - EMEA - Banner,133670.60495000015,9547.9004,0.00207367
5f86383c18eece0010058e72,RTB - Moloco Banner US EP,131541.9574820013,9395.8541,0.00204065
6a02bec227baf5dc37a91a04,RTB - ByteDance Global - WL - Duolingo (all other),128511.45584959027,9179.3897,0.00199364
67accef8ad5bfbdfbe83a124,RTB - Start.io - Rewarded Hybrid,126288.0576851182,9020.5755,0.00195914
67f9678f665fb3221ee9d624,RTB - Thunder Monetize - Americas - Video,124801.22810000011,8914.3734,0.00193608
663168de875e54ea5d18aebe,RTB - Acuityads Static Interstitial [New EP],123893.39787349997,8849.5284,0.00192199
60c8775df704550016bda0fd,RTB - Bigabid Interstitial,123603.54723400017,8828.8248,0.0019175
654deb0b37437ddf41f2ffb8,RTB - Webeye - United States,122014.17398888624,8715.2981,0.00189284
64948379b924984742321394,RTB - InMobi iDSP Video EP,116665.9305241329,8333.2808,0.00180987
6135c347b711070e7ce88ef2,Exchange - RTB - BigoDsp US Video Android 1135,115856.50249836854,8275.4645,0.00179732
69c325d3ade9a1a007b14150,Criteo - EMEA EP - Fullscreen Video,111601.2521888603,7971.518,0.0017313
63d76103fc1d3b922d5f2729,Exchange - RTB - OperaUnite Video,109825.82331281193,7844.7017,0.00170376
6447f45143c3e314872e6c13,RTB - Moloco Native EU EP,109118.79175000096,7794.1994,0.00169279
6226cb012387d4c387d0f866,Exchange - RTB - Ignite  Video 12,98047.98500457685,7003.4275,0.00152105
680a6ef9da8e5a572a733ba2,RTB - Rhebus HK Thunder - APAC - Video,96831.07726000037,6916.5055,0.00150217
65aff764b7a227c94c21a0f3,RTB - Moloco Video APAC EP India/Indonesia Only (Android Click Settings),92641.47295900065,6617.2481,0.00143717
68a44f02f0c5212b46f5210f,RTB - Temu Hybrid US iOS Exp,92456.49165146965,6604.0351,0.0014343
6447f37043c3e314872e6c08,RTB - Moloco Banner EU EP,91171.30368000017,6512.236,0.00141437
64c171571a7ef661763e2fe1,RTB - RevX Video US,89276.72516770991,6376.9089,0.00138498
69a6ecbb9d514fc87771ac2e,RTB - Coupang - Fullscreen Video Object Only,84952.45025586015,6068.0322,0.00131789
62ff5e23cd7daf41a2caf0e8,Exchange - RTB - Galaxy US Banner,84206.85437927963,6014.7753,0.00130633
636b48408f2f0440e07a9200,Exchange - RTB - Bluesea Video EU,83542.39628679915,5967.314,0.00129602
60c06d797ff8af0016c93940,RTB - Mintegral Banner,80827.99593427489,5773.4283,0.00125391
64c995c3d864f19c11871979,RTB - Jampp Video 3P Tester,80552.2079755614,5753.7291,0.00124963
66678bb421064ac8d9f1e437,RTB - Start.io - Static Interstitial Limited Hybrid,78277.14661247055,5591.2248,0.00121434
6813d3eafa80161168fbffe6,RTB - RTB House Video APAC Throttled,78040.09785843246,5574.2927,0.00121066
66ba382691fb3c84912f81b0,RTB - Appier Video KR - DO NOT PAUSE,76754.23838595688,5482.4456,0.00119071
62d4ee496de9db577f319ec1,Exchange - RTB - Galaxy Banner,76320.88184477962,5451.4916,0.00118399
60c06de4baf1a10016f0a466,RTB - Mintegral  Video,74619.14984615565,5329.9393,0.00115759
641b2396b9b821526fe44cc3,RTB - Moloco Native APAC EP,63195.03152099988,4513.9308,0.00098036
66312df8f1c607e22b2a6e4e,RTB - BetweenX NWS Static Interstitial EP,62971.28836197927,4497.9492,0.00097689
5f9b340d46a46f00108de997,RTB - Aarki Banner,62584.406985001064,4470.3148,0.00097089
66cde97c340c253115b70b75,RTB - Rhebus HK Thunder - APAC - Banner,61183.55997000004,4370.2543,0.00094916
67d1279c32432829c9a3757d,Exchange - RTB - Shareit Video,60979.74035712686,4355.6957,0.000946
6716391091a29b91e15cd2d0,Appier TW,60496.52749354117,4321.1805,0.0009385
620deedf524ea89e56ea7acf,Exchange - RTB - Advlion US EP Video 5142,60010.03921499993,4286.4314,0.00093095
607718045820a60016c5234f,RTB - Smadex Banner,59540.28007003058,4252.8771,0.00092367
668f69932a1c508e1b391b34,Exchange - RTB - Ignite video 19,58628.12735261309,4187.7234,0.00090952
59cbf587d5db88f16f0015d6,RTB - Jampp Video,55957.07272811162,3996.9338,0.00086808
64ddc8dd6c18248a35ac5728,Exchange - RTB - Shareit (Xtend) - Video - SG EP,54412.32469959996,3886.5946,0.00084411
671f05adfd2e2f574a64e370,RTB - Tradplus Video - US EP,52371.956767620824,3740.8541,0.00081246
5f8cfcb5023016001682fa3a,RTB - Webeye - US Main EP - MREC,51939.52566125075,3709.9661,0.00080575
618a2b05c9484e4393ccdec3,RTB - Bidease Banner,51506.99297316349,3679.0709,0.00079904
61e94ccaaf20c2cac3ecdc55,Exchange - RTB - Ignite Video 01,51353.318260385706,3668.0942,0.00079666
6a065c95b3a0ff86506731ae,RTB - Dataseat Banner (IOS Exploit) Allow List,50100.47218356469,3578.6052,0.00077722
6552476a37437ddf41f327db,RTB - Bigabid Rewarded,49751.18616100016,3553.6562,0.0007718
5f8f4aceda7fd800163b064c,RTB - Bidmachine - Video (US Endpoint),49418.586510840214,3529.899,0.00076664
645009811e3a53ba53810b74,RTB - BetweenX NWS Video EP,47044.86602348409,3360.3476,0.00072982
66105db19017769c22684511,RTB - BetweenX NWS Video EP (Russia 2X),46969.02858796115,3354.9306,0.00072864
69498ccc4edfe61694687960,RTB - YouAppi Video - Prefiltering Americas,46963.46430469003,3354.5332,0.00072856
69c556003b503c4cfcca447d,Exchange - RTB - Kidoz GB Interstitial/Rewarded,46767.07593603813,3340.5054,0.00072551
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,46668.68950758204,3333.4778,0.00072398
5e89fdd31d4efd001639e10b,RTB - Yeahmobi,45808.590256871816,3272.0422,0.00071064
69029c57be65a80d7a5618bf,RTB - Acuityads Static Interstitial [New EP] - APAC,43712.47154800016,3122.3194,0.00067812
61936f8d5972cc30ef6ad456,RTB - Remerge Video - IDFA,43259.96745106718,3089.9977,0.0006711
6169927d8a4854900a3f8d4e,RTB - Bidmachine - Video (EU Endpoint),42485.51046074851,3034.6793,0.00065909
6695d48759ef9c2f46ea381d,Exchange - RTB - Domob SG Video,42274.213168103335,3019.5867,0.00065581
672b098b6efcd43430706608,Exchange - RTB - Novabeyond iOS Video - SG EP,42274.15621351953,3019.5826,0.00065581
6852c44337dd771efa0f2240,RTB - RTB House Native EMEA EP,41591.72146428385,2970.8372,0.00064522
5fd73d75d06c830016c1b5f4,RTB - Kayzen - USA Video,41391.96846150106,2956.5692,0.00064213
645007f7e5cc4f781441ec60,RTB - BetweenX NWS Banner EP,41123.718953461896,2937.4085,0.00063796
666a6fcb1d57fb5d3c6006e1,Exchange - RTB - Ignite Video 05,40942.409962256024,2924.4579,0.00063515
69afe5dca09dbafebe40d7cf,RTB - Yeahmobi US EP - low ecpr,40848.615767119874,2917.7583,0.0006337
625d1c3bc2b4fd5c8638dc04,Exchange - RTB - Ignite Video 09,40563.731583861045,2897.4094,0.00062928
697123c2be49e7d9f2aa6fad,RTB - Adikteev Banner (DID PF),40401.500433055684,2885.8215,0.00062676
6502bd52453f6c5b7c68c3bf,Exchange - RTB - Shareit (Xtend) Static Interstitial - SG EP,38975.30921180001,2783.9507,0.00060464
6135c438ab396f94ab41f6ea,Exchange - RTB - BigoDsp EU Banner,38470.17823605064,2747.8699,0.0005968
69084fd6c383dc19689afae4,RTB - Kwai Video- ios,38396.678034976605,2742.6199,0.00059566
677f95457514db2924226e26,RTB - Webeye - Primary - MREC,38337.680321950975,2738.4057,0.00059474
641d694f43228b35db8d6b6d,Exchange - RTB - Microcloud Video SG server,38053.19266179278,2718.0852,0.00059033
663144fa2d6ba1e4e8feda47,RTB - OpenX Static Interstitial,36559.41781199971,2611.387,0.00056716
61936f32954556a188764b4c,RTB - Remerge Video - No ID,36501.66563450408,2607.2618,0.00056626
665e5bdd21064ac8d9f14fea,RTB - RTBHouse Video US,36250.74843614882,2589.3392,0.00056237
64c17064a4e2a7e85a57c3f9,RTB - RevX Video APAC,35376.25583033008,2526.8754,0.0005488
5fbc07b0b3a7a6001676e391,RTB - Personaly Banner,34410.7744146002,2457.9125,0.00053382
69825dda1160b3d4570ddd07,RTB - Appier JP / ES Prefiltering,33824.25282649227,2416.0181,0.00052473
66e9e548c49ca9fc1118694e,RTB - Start.io - US CTR Test,33819.7963673726,2415.6997,0.00052466
685a263857e688edba53be43,RTB - Bytedance - CA AU EG NZ (Main) - new,33766.15419672999,2411.8682,0.00052382
68621e5997dd436f2105f6a2,Exchange - RTB - Zmaticoo - US Video,33398.40496308681,2385.6004,0.00051812
62a830a7975125fe4e90d762,Exchange - RTB - Bluesea banner US,33314.582938000116,2379.6131,0.00051682
6926420c247abc20257195ba,RTB - Acuityads Banner [176742092 EP] - APAC,33236.71302340011,2374.0509,0.00051561
60f0c55d8b63dd00161567a6,RTB - Moloco Banner APAC EP,33054.2395930004,2361.0171,0.00051278
668605e4415080a6e4ca4bd2,Exchange - RTB - Ignite Video 07,32414.92574573215,2315.3518,0.00050286
64ecf86c2f56a48df271382d,RTB - LoopMe Static Interstitial,32329.794157800017,2309.271,0.00050154
66f5872776b6c430af39d5d1,RTB - Start.io - APAC Static Interstitial Medium,30945.07281094116,2210.3623,0.00048006
60c9b8690b948b0016617881,RTB - Appreciate Video Android,30856.58463700001,2204.0418,0.00047869
671f064cfd2e2f574a64e372,RTB - Tradplus Video - SG EP,30409.073428847292,2172.0767,0.00047174
69c1634afc479fd5f00ce392,RTB - Bigabid Interstitial - Prefiltering,30107.688298999943,2150.5492,0.00046707
6a0b75322eee62f963e5c27d,Exchange - RTB - Kidoz Interstitial CA,30107.18066353113,2150.5129,0.00046706
66479098b20aaa65a1d32658,Exchange - RTB - Kidoz Rewarded,30073.590165377223,2148.1136,0.00046654
69fe102dddd145e4d7db0d08,RTB - Jampp Video - JP Unthrottled,29380.76970970517,2098.6264,0.00045579
6494839e6fdf35233e02c1f5,RTB - InMobi iDSP Banner EP,29194.099612293976,2085.2928,0.0004529
63e68f6866294762ad55a756,RTB - Smadex Native,29191.725423849995,2085.1232,0.00045286
5fd85a9f13c8bf00165ad093,RTB - Kayzen - EU Banner,28736.48181924248,2052.6058,0.0004458
63584b46acf218c5afba21e9,RTB - Brave Banner,27805.549252000015,1986.1107,0.00043136
5eb9d39f6285bc0016aa70df,RTB - YouAppi Banner,26986.793030337223,1927.6281,0.00041865
