account_id,account_name,blocked_rtb_account_id,rtb_account_name,entity_network_daily_spend,entity_pct_of_network,total_network_daily_spend,account_daily_spend,estimated_daily_uplift
561e8d936b8d90f61a0013cf,IP Timoshkov,5fd73c61617f68000fb6584f,Exchange - RTB - Kayzen,24604.3198,0.00534371,4604347.5307,2346.2249,12.54
561e8d936b8d90f61a0013cf,IP Timoshkov,62d4edd34b2125001b0a042a,Exchange - RTB - Galaxy,14161.8258,0.00307575,4604347.5307,2346.2249,7.22
64d9a8d8bedba60011a50172,SMALL ANT LIMITED,6135c233b2f85d001747c3d2,Exchange - RTB - Bigodsp,56451.7583,0.01226053,4604347.5307,454.3881,5.57
610de9bf187a5600179618ad,Kings of games d.o.o.,5fd73c61617f68000fb6584f,Exchange - RTB - Kayzen,24604.3198,0.00534371,4604347.5307,229.5588,1.23
5e836c4ef64dd10016aeeb3a,Blue Ox Family Games,62d4edd34b2125001b0a042a,Exchange - RTB - Galaxy,14161.8258,0.00307575,4604347.5307,279.6686,0.86
561e8d936b8d90f61a0013cf,IP Timoshkov,634f8edc0617c5001b20f9a7,Exchange - RTB - Chongda,502.2628,0.00010908,4604347.5307,2346.2249,0.26
626705dafb81ce0011e6bb0a,"Fuller Systems, Inc.",6168e52a9008de00174bc182,Exchange - RTB - Flatads,3202.0449,0.00069544,4604347.5307,330.3986,0.23
61e5330394635f00175ec9b2,PlayaMedia SLU,634f8edc0617c5001b20f9a7,Exchange - RTB - Chongda,502.2628,0.00010908,4604347.5307,614.1833,0.07
561e8d936b8d90f61a000914,A-Star Software LLC,634f8edc0617c5001b20f9a7,Exchange - RTB - Chongda,502.2628,0.00010908,4604347.5307,378.5261,0.04
610de9bf187a5600179618ad,Kings of games d.o.o.,6511fc69b3ff7d001152d3cb,,0.0,0.0,4604347.5307,229.5588,0.0
610de9bf187a5600179618ad,Kings of games d.o.o.,63f7ac42672991001423ea87,,0.0,0.0,4604347.5307,229.5588,0.0
