app_id,total_available_rtb_spend,current_daily_spend,penetration_rate
6285319157eae0083e2e788f,4257941.51,438.2964,0.000103
5a167275c9cf72d3040096a3,4257941.51,200.58610000000002,4.7e-05
6224d540e86004fd4e1a10e4,4250089.09,117.6331,2.8e-05
5fc8e4f2dc972c7f8752043c,4249535.3,224.51,5.3e-05
6256abb9779aeeff574078ba,4249535.3,574.1487,0.000135
6343cb0ada3568e7d2047449,4249535.3,275.0252,6.5e-05
6399c9e179a768f127ce19db,4246548.54,328.207,7.7e-05
63246d89d3a73abffd99d98b,4246548.54,629.7758,0.000148
5f8d72a4132adedfb9596739,4246548.54,122.9153,2.9e-05
5ee8fcf33bf1250001e8fda6,4246548.54,151.2954,3.6e-05
615f9a10fa0513c7a7cd0b66,4245472.64,236.1569,5.6e-05
5f8d4096132adedfb9596609,4239307.9,287.4333,6.8e-05
60803fa90e37bc110d81f548,4238142.33,125.4193,3e-05
5fa43a93c43ed6bc66852dda,4238142.33,214.9205,5.1e-05
66d6ce51aa8e1e9b9d29473b,4238142.33,136.1558,3.2e-05
650bc108b30c764e0a11ff43,4238039.24,466.5621,0.00011
6062d5c4164ce80df004bd5c,4237504.46,101.6763,2.4e-05
64f6f65181bbca3e068a594b,4233869.9,166.1436,3.9e-05
62ed4ab8b2ffde8039b8cfa6,4231659.99,1428.2507,0.000338
650bc0bdd38855ef54aaf03f,4230901.69,220.0915,5.2e-05
632b3259cc2b3652390433c0,4230289.91,138.7897,3.3e-05
55bb5589d84df5163800036f,4221679.57,167.9269,4e-05
6077ff76c69dedee4130b425,4196054.93,211.95420000000001,5.1e-05
560803893b8714180800013a,4192381.31,230.2959,5.5e-05
5a1672ee1bfdc2df040094da,4187793.34,132.3913,3.2e-05
5746d3b3bc8494c95b0000be,4131239.35,359.1963,8.7e-05
6319f337b600daf4b14891a5,4131239.35,78.53280000000001,1.9e-05
624b0ec97b49e16813a934fc,4131239.35,224.1279,5.4e-05
612774acbb43536b5004a882,4131239.35,297.581,7.2e-05
5a5c53e3c014a9840c00186a,4131239.35,116.9922,2.8e-05
56f5a6e1dec0ea8009000056,4131239.35,173.4604,4.2e-05
5ea0ce96c5754f00012c7aff,4131239.35,195.8479,4.7e-05
60a22ff0634788367e4be6dd,4127150.56,435.9438,0.000106
623a4719f6d7cb684c052db2,4125690.85,283.624,6.9e-05
610d3424bccc1737d0d30a3e,4125690.85,251.8252,6.1e-05
5c86c72be9cff40012b65e42,4124053.65,311.2396,7.5e-05
60df03bc7a6be5a6bd8ffb9c,4123998.71,172.4696,4.2e-05
55a4e9c89a7820e13a0000b1,4123998.71,117.6385,2.9e-05
5f757283453b78dee3fdc649,4123998.71,280.5955,6.8e-05
6132019ea7a83f729bc23944,4123998.71,139.8635,3.4e-05
5e69600292f37b00018cedc2,4123998.71,214.8749,5.2e-05
5ee0a81ca0606f00012ba242,4123998.71,240.635,5.8e-05
61e996226e5d870c4caef794,4123386.93,365.08500000000004,8.9e-05
5dade7a0cf8ec00017a9fb09,4123386.93,132.485,3.2e-05
5e8ddc8efbf3c90001b0289b,4122833.14,258.7762,6.3e-05
62df635e31476e584a0f483a,4122833.14,111.9906,2.7e-05
62a6ac4b9b68384dd75eb82a,4122833.14,141.1881,3.4e-05
57f375070e7d72d51d0000b0,4122833.14,319.3433,7.7e-05
632da5f0234deaaaf49d29e9,4122833.14,299.9434,7.3e-05
58bfd2b034416d675d00089e,4122833.14,123.9504,3e-05
5e946f53f50be9000128acfd,4122833.14,221.1855,5.4e-05
623a47c986a1ceb52238887e,4122833.14,138.81550000000001,3.4e-05
5ae212182e8f9d68c348db85,4122833.14,214.613,5.2e-05
6204ba3d9a4a25900dde722a,4122833.14,609.8719,0.000148
60a3704795dfe5c536f41690,4122833.14,168.5642,4.1e-05
5a941d39e51d095027007159,4122833.14,117.86619999999999,2.9e-05
5da72258cf8ec00017a9a59c,4122833.14,338.8847,8.2e-05
61277660f18d4dc66d1141e1,4122833.14,160.3618,3.9e-05
5e69f9aa92f37b00018cf1b2,4122833.14,101.8394,2.5e-05
6214fadb91dcca8e35a5b50e,4122833.14,172.3086,4.2e-05
586642c1b02921a65e00051f,4122118.27,217.60350000000003,5.3e-05
5b5fdaf236df0821379cec73,4121704.59,137.5562,3.3e-05
5ac4a00269e58f7fca3a5690,4121704.59,173.4847,4.2e-05
625e74d7c86a563375351582,4121564.48,106.3499,2.6e-05
60c6caad4941a23c8652926d,4121564.48,264.5018,6.4e-05
624b93a896a7ea6d15abfa47,4121564.48,156.8735,3.8e-05
646c82fa7a9273988e17a239,4119846.38,116.56099999999999,2.8e-05
64493fbeabeffd039af2d895,4119846.38,704.2107,0.000171
64cfa54016d5c6503302f04d,4119846.38,259.0573,6.3e-05
6523e1c5d38855ef54ab0d06,4119846.38,235.8898,5.7e-05
65236bd70e8e377c60312286,4119846.38,122.7072,3e-05
667d3b086204497f762a84b4,4119846.38,332.89009999999996,8.1e-05
67d12e94ccc198741455157e,4119846.38,153.1449,3.7e-05
5fa43a77959e8551bb20d2be,4119846.38,898.6765,0.000218
656de1c480992ce8d921679b,4119846.38,187.1255,4.5e-05
632da51235cc2d93ebf3b4d0,4119846.38,195.8237,4.8e-05
65d4723c7f94e82ba925e29b,4119846.38,156.0206,3.8e-05
661433ced4cf07f390ceb549,4119846.38,230.9789,5.6e-05
67b41606cf89a5b27bdd8e84,4119846.38,218.2014,5.3e-05
6684398a4d6765df32feab87,4119846.38,187.4877,4.6e-05
60eabf4d3665e090158756b9,4117284.64,349.08050000000003,8.5e-05
610a9babaf13cf5a53374730,4116201.23,574.6522,0.00014
599614d1cc569813590078d9,4116146.29,188.4651,4.6e-05
