geo_code,total_spend_7d,daily_spend,pct_of_network,rank
US,13724936.52833747,1960705.2183339242,46.65,1
GB,1870796.2684094948,267256.609772785,6.36,2
DE,1466391.8339949371,209484.54771356244,4.98,3
BR,1305497.0710034308,186499.58157191868,4.44,4
RU,1181888.372887287,168841.1961267553,4.02,5
JP,1125882.5522271032,160840.3646038719,3.83,6
FR,1046079.418554564,149439.9169363663,3.56,7
CA,969436.9312601807,138490.9901800258,3.3,8
ID,830839.6402405822,118691.37717722602,2.82,9
KR,779506.9182727897,111358.13118182709,2.65,10
ES,601985.4997244214,85997.9285320602,2.05,11
AU,547222.1085454137,78174.5869350591,1.86,12
MX,538036.8710242835,76862.4101463262,1.83,13
IT,435967.883885167,62281.12626930957,1.48,14
PL,346509.23492232384,49501.319274617694,1.18,15
PH,334791.44876418944,47827.34982345563,1.14,16
IN,306654.80961978406,43807.829945683436,1.04,17
CO,304898.315661328,43556.902237332564,1.04,18
TH,270538.6625374137,38648.380362487675,0.92,19
NL,266669.70134203794,38095.671620291134,0.91,20
MY,250120.9040481711,35731.5577211673,0.85,21
SA,240774.228533498,34396.318361928286,0.82,22
TR,233552.44593650452,33364.63513378636,0.79,23
VN,228144.61444149166,32592.08777735595,0.78,24
PK,213748.761807548,30535.537401078287,0.73,25
